	htid	intl_frac	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
211	mdp.39015025040745	0.9136577708006276	2.009821482418629	Buchan, John	Greenmantle	1916	Fiction-Novel	Male	White	Britain	118624
549	uc2.ark:/13960/t8rb78c05	0.9132075471698116	1.1333237573816883	Buchan, John	Prester John	1910	Fiction-Novel	Male	White	Britain	87515
451	uc1.32106014299330	0.9130434782608697	0.6673052373675457	Joyce, James	Portrait of An Artist as a Young Man	1916	Fiction-Novel	Male	White	Ireland	103201
158	mdp.39015006194115	0.9115044247787613	0.8659334416978157	West, Rebecca	The Thinking Reed	1936	Fiction-Novel	Female	White	Ireland	146523
442	uc1.32106006269275	0.9112903225806452	0.7332924364205522	Beckett, Samuel	More Pricks than Kicks	1933	Fiction-Stories	Male	White	Ireland	63290
459	uc1.32106016479682	0.9095022624434388	1.1278872085590044	Pater, Walter	Marius the Epicurean	1885	Fiction-Novel	Male	White	Britain	146672
53	inu.30000001017874	0.905	0.9821166260162209	Christie, Agatha	Murder on the Orient Express	1934	Fiction-Novel	Female	White	Britain	76218
533	uc2.ark:/13960/t06w9dv3n	0.9010989010989013	1.137752791877231	Maugham, William Somerset	The Trembling of a Leaf: Little Stories of the South Sea Islands	1921	Fiction-Stories	Male	White	Britain	89806
190	mdp.39015013252823	0.9	0.3920750314357026	Mansfield, Katherine	The Doves' Nest, and Other Stories	1923	Fiction-Stories	Female	White	Australasia	57276
109	mdp.39015001347221	0.8997613365155134	0.5976279188683599	Joyce, James	Finnegan's Wake	1939	Fiction-Novel	Male	White	Ireland	262406
91	inu.39000002572209	0.898876404494382	1.4121183359090421	Firbank, [Arthur Annesley] Ronald	Concerning the Eccentricites of Cardinal Pirelli	1926	Fiction-Novel	Male	White	Britain	23589
270	mdp.39015058132898	0.898285714285714	1.5599538520427916	James, Henry	The Bostonians	1886	Fiction-Novel	Male	White	Us	209936
86	inu.39000001215875	0.8980891719745224	2.185587068478208	Kipling, Rudyard	The Second Jungle Book	1895	Fiction-Stories	Male	White	South Asia	107543
69	inu.32000001674060	0.8978328173374612	1.4616398273193036	Isherwood, Christopher	Goodbye to Berlin	1939	Fiction-Novel	Male	White	Britain	82709
324	nyp.33433074875026	0.8978102189781023	0.9792531038953347	Macaulay, Rose	The Furnace	1907	Fiction-Novel	Female	White	Britain	52362
346	pst.000000657853	0.8977541371158385	2.8989512605432535	Graves, Robert	Claudius the God	1934	Fiction-Novel	Male	White	Britain	218449
406	uc1.$b284297	0.8930041152263375	3.264493269098018	Galsworthy, John	Villa Rubein: A Novel	1900	Fiction-Novel	Male	White	Britain	55720
564	umn.31951002116326o	0.892307692307692	1.5034988077800193	Kipling, Rudyard	Plain Tales from the Hills	1888	Fiction-Stories	Male	White	South Asia	97085
497	uc1.b3834546	0.8901098901098903	1.5301917996125218	Firbank, [Arthur Annesley] Ronald	Prancing Nigger 	1924	Fiction-Novel	Male	White	Britain	22258
128	mdp.39015002742495	0.8899521531100478	0.9131211732400373	Rolfe, Frederick	Stories Toto Told Me	1898	Fiction-Stories	Male	White	Britain	85666
94	inu.39000003583544	0.8871473354231978	1.312782930472898	Greene, Graham	Stamboul Train	1932	Fiction-Novel	Male	White	Britain	90947
108	mdp.39015001145211	0.8863636363636368	1.3655889463520658	Maugham, William Somerset	Cosmopolitans	1936	Fiction-Stories	Male	White	Britain	72356
245	mdp.39015042140270	0.8853161843515549	2.4634808587862644	Kipling, Rudyard	Kim	1901	Fiction-Novel	Male	White	South Asia	141750
368	pst.000030844360	0.8838383838383838	0.5183970630325156	Conrad, Joseph	Victory	1915	Fiction-Novel	Male	White	Europe	142953
74	inu.32000004078566	0.8832487309644672	0.7292558357236848	Conrad, Joseph	A Set of Six	1908	Fiction-Stories	Male	White	Europe	101106
147	mdp.39015005095529	0.8829875518672194	3.2624269510150152	Macaulay, Rose	And No Man's Wit	1940	Fiction-Novel	Female	White	Britain	138241
453	uc1.32106014380650	0.8807947019867549	0.4435928116565157	Conrad, Joseph	An Outcast of the Islands	1896	Fiction-Novel	Male	White	Europe	127404
429	uc1.32106001976155	0.8779661016949155	0.8952418562852331	Conrad, Joseph	Youth: A Narrative, and Two Other Stories	1902	Fiction-Stories	Male	White	Europe	123331
493	uc1.b3834533	0.8774617067833699	1.6376427309004218	Ford, Ford Madox	When The Wicked Man	1931	Fiction-Novel	Male	White	Britain	104445
6	coo.31924008035770	0.8765432098765432	0.49931255065699715	Wilde, Oscar	The Happy Prince and Other Tales	1888	Fiction-Stories	Male	White	Ireland	60716
186	mdp.39015011819813	0.8746987951807228	1.9815279817637876	Lawrence, D. H.	The Escaped Cock	1929	Fiction-Novel	Male	White	Britain	78386
522	uc1.b4410171	0.8745519713261648	1.0939924796741514	Conrad, Joseph	Suspense: A Napoleonic Novel	1925	Fiction-Novel	Male	White	Europe	95451
319	mdp.49015001441162	0.8711656441717792	0.47252164044635964	Schreiner, Olive	The Story of an African Farm	1883	Fiction-Novel	Female	White	Sub-Saharan Africa	129109
494	uc1.b3834537	0.8656195462478183	1.8477054375872974	Ford, Ford Madox	A Little Less Than Gods: A Romance	1928	Fiction-Novel	Male	White	Britain	116068
105	mdp.39015000632300	0.865125240847784	2.701199162579573	Lawrence, D. H.	St. Mawr	1925	Fiction-Stories	Male	White	Britain	71912
171	mdp.39015008995501	0.8640776699029127	2.246783248390124	Conrad, Joseph	The Sisters	1928	Fiction-Novel	Male	White	Europe	17158
169	mdp.39015008922083	0.8632478632478628	1.1137006962447868	Isherwood, Christopher	Mr Norris Changes Trains	1935	Fiction-Novel	Male	White	Britain	78639
213	mdp.39015030710704	0.8617886178861787	0.3987371894957999	Powys, John Cowper	Morwyn, or the Vengance of God	1937	Fiction-Novel	Male	White	Britain	115454
170	mdp.39015008988373	0.8617021276595744	0.8257483347603859	Conrad, Joseph	Tales of Hearsay	1925	Fiction-Stories	Male	White	Europe	42606
112	mdp.39015002174475	0.8591549295774649	1.15723174566063	Yeats, William Butler	The Celtic Twilight	1893	Fiction-Stories	Male	White	Ireland	45926
277	mdp.39015062110369	0.8590057049714734	1.435985085553538	Joyce, James	Ulysses	1922	Fiction-Novel	Male	White	Ireland	319805
59	inu.30000048891463	0.8584337349397593	1.0095811009329647	Rolfe, Frederick	In His Own Image	1901	Fiction-Stories	Male	White	Britain	123080
226	mdp.39015030738333	0.8579881656804734	1.8259943829803742	Firbank, [Arthur Annesley] Ronald	Inclinations	1916	Fiction-Novel	Male	White	Britain	34640
22	coo.31924052984741	0.8577075098814231	0.5017460986793203	James, Henry	The Ambassadors	1903	Fiction-Novel	Male	White	Us	188724
243	mdp.39015040661087	0.852986217457887	1.7948655748497435	Forster, E. M.	A Passage to India	1924	Fiction-Novel	Male	White	Britain	136167
185	mdp.39015011598300	0.8519417475728149	1.5345543449187968	Macaulay, Rose	Staying with Relations	1930	Fiction-Novel	Female	White	Britain	100486
113	mdp.39015002299934	0.8505747126436781	0.6240424265651195	Wells, H. G.	Things to Come	1936	Fiction-Novel	Male	White	Britain	52179
370	pst.000032226942	0.8493150684931507	1.1497732704465815	Maugham, William Somerset	The Narrow Corner	1932	Fiction-Novel	Male	White	Britain	95052
179	mdp.39015010594201	0.8461538461538458	0.46972072043788154	Somerville, Edith	Some Experiences of an Irish R. M. 	1899	Fiction-Novel	Female	White	Ireland	165735
507	uc1.b4083252	0.84375	0.7715515300053268	Wells, H. G.	The Camford Visitation	1937	Fiction-Novel	Male	White	Britain	15523
388	uc1.$b106072	0.8427672955974848	0.7586942026894845	Lewis, Wyndham	The Wild Body: A Soldier of Humour and Other Stories	1927	Fiction-Stories	Male	White	Other	78437
387	uc1.$b105330	0.8399999999999999	1.6518926543658623	Macaulay, Rose	Going Abroad	1934	Fiction-Novel	Female	White	Britain	101958
229	mdp.39015031224069	0.8396226415094341	1.152239184780432	Bennett, Arnold	The Vanguard: A Fantasia	1927	Fiction-Novel	Male	White	Britain	103294
361	pst.000026087894	0.8393351800554014	1.8530997891715506	Wells, H. G.	The World Set Free	1914	Fiction-Novel	Male	White	Britain	72912
287	mdp.39015077636358	0.8379629629629637	1.3381117949192418	Conrad, Joseph	Lord Jim: A Tale	1900	Fiction-Novel	Male	White	Europe	181248
358	pst.000021106644	0.8330708661417312	2.1376168253890895	Maugham, William Somerset	Ashenden: Or, The British Agent	1928	Fiction-Stories	Male	White	Britain	111182
454	uc1.32106014473422	0.8294573643410854	0.4909795135716904	Rider Haggard, H.	King Solomon's Mines	1885	Fiction-Novel	Male	White	Britain	98337
296	mdp.39076001009948	0.821276595744681	1.0930651937091773	Joyce, James	Dubliners	1914	Fiction-Stories	Male	White	Ireland	80466
206	mdp.39015019666547	0.821138211382114	0.4563241294560901	Greene, Graham	The Power and the Glory	1940	Fiction-Novel	Male	White	Britain	100884
333	nyp.33433075767313	0.8208955223880596	0.5122130293026722	Wells, H. G.	The Wonderful Visit	1895	Fiction-Novel	Male	White	Britain	48957
266	mdp.39015055599784	0.8193548387096777	1.37648379723389	Forster, E. M.	A Room With a View	1908	Fiction-Novel	Male	White	Britain	84291
98	inu.39000004311127	0.8148148148148138	1.391719291896772	Kipling, Rudyard	Life's Handicap	1891	Fiction-Stories	Male	White	South Asia	137961
180	mdp.39015010701871	0.8125000000000002	0.5525371101805084	Chesterton, G. K.	The Secret of Father Brown	1927	Fiction-Novel	Male	White	Britain	75866
307	mdp.49015000982976	0.810276679841898	0.887405869652656	Huxley, Aldous	After Many a Summer	1939	Fiction-Novel	Male	White	Britain	106706
332	nyp.33433074968532	0.8093220338983045	1.4682079536911101	du Maurier, George	Trilby	1894	Fiction-Novel	Male	White	Europe	60161
162	mdp.39015008178132	0.8089430894308952	1.2629590193905018	Lewis, Wyndham	Snooty Baronet	1932	Fiction-Novel	Male	White	Other	145803
373	pst.000032609981	0.8045454545454551	0.9460940975948497	Maugham, William Somerset	The Painted Veil	1925	Fiction-Novel	Male	White	Britain	87032
46	hvd.hn5fum	0.8030303030303023	1.6664736187386064	Childers, Erskine	The Riddle of Sands	1903	Fiction-Novel	Male	White	Britain	133407
301	mdp.49015000796806	0.8006993006993006	1.4028806578128625	Rolfe, Frederick	The Desire and Pursuit of the Whole	1934	Fiction-Novel	Male	White	Britain	152604
569	uva.x000427943	0.7999999999999995	0.750322286418705	Douglas, Norman [George]	South Wind	1917	Fiction-Novel	Male	White	Europe	159622
106	mdp.39015000666704	0.7983193277310929	1.5409183564909399	Ford, Ford Madox	The Good Soldier	1915	Fiction-Novel	Male	White	Britain	86712
223	mdp.39015030738069	0.7982062780269049	1.2789936095269467	Firbank, [Arthur Annesley] Ronald	Vainglory	1915	Fiction-Novel	Male	White	Britain	65257
426	uc1.32106001949889	0.7980769230769222	2.100469166528985	Rolfe, Frederick	Hadrian the Seventh: A Romance	1904	Fiction-Novel	Male	White	Britain	148251
463	uc1.32106019041554	0.7975103734439841	1.5232254608851936	James, Henry	Portrait of a Lady	1881	Fiction-Novel	Male	White	Us	296083
8	coo.31924013216811	0.7959183673469387	0.5234463530487939	Richardson, Dorothy	Pointed Roofs	1915	Fiction-Novel	Female	White	Britain	70072
487	uc1.b3810633	0.7941176470588236	0.5719255752939206	Conrad, Joseph	The Nature of a Crime	1923	Fiction-Novel	Male	White	Europe	22250
90	inu.39000001740583	0.7937584803256463	2.39438683047562	Wells, H. G.	The War in the Air, and Particularly how Mr. Bert Smallways Fared While it Lasted	1908	Fiction-Novel	Male	White	Britain	115203
561	umn.31951001206673a	0.7936507936507935	0.5931902886927506	Firbank, [Arthur Annesley] Ronald	Valmouth: A Romantic Novel	1919	Fiction-Novel	Male	White	Britain	39750
403	uc1.$b244748	0.7919320594479822	2.1911357261881226	Macaulay, Rose	I Would Be Private	1937	Fiction-Novel	Female	White	Britain	80453
285	mdp.39015066862098	0.7879282218597071	1.2716394861475364	Rider Haggard, H.	She	1887	Fiction-Novel	Male	White	Britain	180421
289	mdp.39015078801274	0.7876823338735823	1.5402461633857256	Kipling, Rudyard	Stalky & Co	1899	Fiction-Stories	Male	White	South Asia	149929
445	uc1.32106008792647	0.7864077669902912	0.6594587003528672	James, Henry	The Aspern Papers and The Turn of the Screw	1888	Fiction-Novel	Male	White	Us	116915
81	inu.32000009144157	0.7859922178988319	0.7296082255771535	Huxley, Aldous	Those Barren Leaves	1925	Fiction-Novel	Male	White	Britain	131836
138	mdp.39015003681684	0.7854785478547848	1.2238595322525043	Galsworthy, John	Tatterdemalion	1920	Fiction-Stories	Male	White	Britain	92662
173	mdp.39015009039564	0.7842465753424654	1.0760106421558773	Aldington, Richard	Seven Against Reeves: A Comedy Farce	1938	Fiction-Novel	Male	White	Britain	101568
310	mdp.49015000993858	0.7830188679245278	1.1444282575092992	Maugham, William Somerset	Christmas Holiday	1939	Fiction-Novel	Male	White	Britain	103999
554	uc2.ark:/13960/t9s17xn03	0.7826086956521741	0.08352970662056919	Webb, Mary	Gone to Earth	1917	Fiction-Novel	Female	White	Britain	103057
393	uc1.$b244156	0.78125	0.26644111143851507	Powys, Theodore Francis	Black Bryony	1923	Fiction-Novel	Male	White	Britain	44951
364	pst.000028366003	0.7804878048780488	0.39709315353869645	Lawrence, D. H.	The Virgin and the Gipsy	1930	Fiction-Stories	Male	White	Britain	38644
391	uc1.$b242750	0.7804878048780487	0.23848423071488659	Douglas, Norman [George]	In the Beginning	1927	Fiction-Novel	Male	White	Europe	64345
104	mdp.39015000631930	0.7802690582959642	0.8279512928358186	Lawrence, D. H.	The Woman Who Rode Away, and Other Stories	1928	Fiction-Stories	Male	White	Britain	100807
456	uc1.32106014703547	0.7799511002444982	1.6580744064695139	Lawrence, D. H.	Kangaroo	1923	Fiction-Novel	Male	White	Britain	184646
242	mdp.39015039610442	0.7748344370860931	0.9167004359424323	Munro, Hector Hugh	The Chronicles of Clovis	1911	Fiction-Novel	Male	White	South Asia	61651
543	uc2.ark:/13960/t3zs2w44g	0.7735849056603772	0.36773197125580015	Wells, H. G.	The Undying Fire	1919	Fiction-Novel	Male	White	Britain	53943
135	mdp.39015003681395	0.7702702702702703	0.7792565711167241	Galsworthy, John	Jocelyn	1898	Fiction-Novel	Male	White	Britain	71084
474	uc1.b3759956	0.7694610778443126	1.2557791528825548	Wells, H. G.	Apropos of Dolores	1938	Fiction-Novel	Male	White	Britain	99546
432	uc1.32106001990495	0.7651006711409407	1.7035531762380458	Huxley, Aldous	Brief Candles: Stories	1930	Fiction-Stories	Male	White	Britain	98207
286	mdp.39015076134736	0.7638888888888884	1.469537311350095	Maugham, William Somerset	The Moon and Sixpence: A Novel	1919	Fiction-Novel	Male	White	Britain	91688
448	uc1.32106011381107	0.7635135135135136	0.9897204492077832	Stevenson, Robert Louis	The Master of Ballantrae	1889	Fiction-Novel	Male	White	Britain	111936
168	mdp.39015008846571	0.7609427609427619	3.2770471205616483	Aldington, Richard	All Men Are  Enemies	1933	Fiction-Novel	Male	White	Britain	203524
228	mdp.39015030846771	0.7606837606837604	0.6842425470482981	Bowen, Elizabeth	Ann Lee's, and Other Stories	1926	Fiction-Stories	Female	White	Ireland	63998
295	mdp.39015092894172	0.760416666666667	0.6268603789528264	Douglas, Norman [George]	Unprofessional Tales	1901	Fiction-Stories	Male	White	Europe	57318
369	pst.000031167109	0.7599999999999999	0.13900953224900886	MacDonald, George	The Princess and Curdie	1883	Fiction-Novel	Male	White	Britain	67311
524	uc1.b4582173	0.7590909090909097	0.9658705161510255	Chesterton, G. K.	The Return of Don Quixote	1927	Fiction-Novel	Male	White	Britain	85250
529	uc1.b5336132	0.7590361445783131	0.39181689213091236	Mansfield, Katherine	Bliss, and Other Stories	1920	Fiction-Stories	Female	White	Australasia	79284
184	mdp.39015011506139	0.7579365079365086	0.7669191906307237	Lewis, Wyndham	Tarr	1918	Fiction-Novel	Male	White	Other	122982
353	pst.000010073353	0.7577092511013211	0.8797165502856195	Conrad, Joseph	Romance: A Novel	1903	Fiction-Novel	Male	White	Europe	193154
308	mdp.49015000991985	0.7575757575757578	0.26824492279735074	Lewis, Wyndham	The Childermass: Section 1	1928	Fiction-Novel	Male	White	Other	138132
435	uc1.32106002020342	0.7569721115537853	1.1979619872370106	Waugh, Evelyn	Black Mischief	1932	Fiction-Novel	Male	White	Britain	78419
475	uc1.b3759957	0.7569546120058558	2.6144422504583837	Wells, H. G.	The Autocracy of Mr. Parham	1930	Fiction-Novel	Male	White	Britain	97776
100	loc.ark:/13960/t2v419n7g	0.756183745583038	0.4623742807140418	Powys, John Cowper	Wood and Stone: A Romance	1915	Fiction-Novel	Male	White	Britain	229078
