Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	[ 51.50045457  -0.15626499]	[ 51.5030302  -0.1502745]	[ 51.50560582  -0.144284  ]	Hathi	[ 51.50369293  -0.14511729]	[ 51.50416561  -0.14403706]	[ 51.50463829  -0.14295683]	[ 0.5897492   0.19499179]	
Foreign	[ 51.50045457  -0.15626499]	[ 51.5030302  -0.1502745]	[ 51.50560582  -0.144284  ]	London	[ 51.508757    -0.13295053]	[ 51.51074359  -0.12830522]	[ 51.51273019  -0.12365991]	[  5.37535397e-06   3.79450102e-08]	###
Foreign	[ 51.50045457  -0.15626499]	[ 51.5030302  -0.1502745]	[ 51.50560582  -0.144284  ]	Prominent	[ 51.49994543  -0.15822213]	[ 51.50167521  -0.15468063]	[ 51.50340499  -0.15113913]	[ 0.51979548  0.31171411]	
Hathi	[ 51.50369293  -0.14511729]	[ 51.50416561  -0.14403706]	[ 51.50463829  -0.14295683]	London	[ 51.508757    -0.13295053]	[ 51.51074359  -0.12830522]	[ 51.51273019  -0.12365991]	[  2.96331717e-05   1.24710836e-05]	###
Hathi	[ 51.50369293  -0.14511729]	[ 51.50416561  -0.14403706]	[ 51.50463829  -0.14295683]	Prominent	[ 51.49994543  -0.15822213]	[ 51.50167521  -0.15468063]	[ 51.50340499  -0.15113913]	[  8.20312638e-03   6.66454891e-07]	###
London	[ 51.508757    -0.13295053]	[ 51.51074359  -0.12830522]	[ 51.51273019  -0.12365991]	Prominent	[ 51.49994543  -0.15822213]	[ 51.50167521  -0.15468063]	[ 51.50340499  -0.15113913]	[  3.25292658e-08   2.52764405e-14]	###
