Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.013387861585222175	0.018230709214649234	0.02307355684407629	Hathi	0.014592900311359987	0.015313068946925624	0.01603323758249126	0.38624642361830597	
Foreign	0.013387861585222175	0.018230709214649234	0.02307355684407629	London	0.011824251354302148	0.015097619676528645	0.018370987998755143	0.27207091231378777	
Foreign	0.013387861585222175	0.018230709214649234	0.02307355684407629	Prominent	0.01057023077182308	0.013008503583156384	0.015446776394489688	0.07636363340336216	
Hathi	0.014592900311359987	0.015313068946925624	0.01603323758249126	London	0.011824251354302148	0.015097619676528645	0.018370987998755143	0.9380798803905535	
Hathi	0.014592900311359987	0.015313068946925624	0.01603323758249126	Prominent	0.01057023077182308	0.013008503583156384	0.015446776394489688	0.1394120460923265	
London	0.011824251354302148	0.015097619676528645	0.018370987998755143	Prominent	0.01057023077182308	0.013008503583156384	0.015446776394489688	0.3889474166554552	
