Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.037077698492412894	0.06586618696411586	0.09465467543581883	Hathi	0.07062157518256287	0.07355384186827522	0.07648610855398758	0.60384867662828	
Foreign	0.037077698492412894	0.06586618696411586	0.09465467543581883	London	0.0716827845084835	0.08831162875222774	0.10494047299597198	0.1508915046839913	
Foreign	0.037077698492412894	0.06586618696411586	0.09465467543581883	Prominent	0.08345364548388695	0.09252546959028145	0.10159729369667594	0.06682632039694325	
Hathi	0.07062157518256287	0.07355384186827522	0.07648610855398758	London	0.0716827845084835	0.08831162875222774	0.10494047299597198	0.15264509793616599	
Hathi	0.07062157518256287	0.07355384186827522	0.07648610855398758	Prominent	0.08345364548388695	0.09252546959028145	0.10159729369667594	0.00023627407921139872	###
London	0.0716827845084835	0.08831162875222774	0.10494047299597198	Prominent	0.08345364548388695	0.09252546959028145	0.10159729369667594	0.6837967703024523	
