Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.2848556879118219	0.35483203576504047	0.424808383618259	Hathi	0.40340371851449996	0.41111397161171126	0.41882422470892255	0.10237163185091608	
Foreign	0.2848556879118219	0.35483203576504047	0.424808383618259	London	0.6224982598869162	0.6664269203637126	0.7103555808405091	1.2194086407289159e-12	###
Foreign	0.2848556879118219	0.35483203576504047	0.424808383618259	Prominent	0.4597239793618918	0.4845610619986261	0.5093981446353604	0.00027802140492006264	###
Hathi	0.40340371851449996	0.41111397161171126	0.41882422470892255	London	0.6224982598869162	0.6664269203637126	0.7103555808405091	3.0739119385906247e-21	###
Hathi	0.40340371851449996	0.41111397161171126	0.41882422470892255	Prominent	0.4597239793618918	0.4845610619986261	0.5093981446353604	9.494407866584625e-08	###
London	0.6224982598869162	0.6664269203637126	0.7103555808405091	Prominent	0.4597239793618918	0.4845610619986261	0.5093981446353604	1.6982816996672786e-10	###
