Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.005278849441277402	0.007709099527942973	0.010139349614608544	Hathi	0.00637971412512269	0.007025231093357588	0.007670748061592486	0.8203726139944257	
Foreign	0.005278849441277402	0.007709099527942973	0.010139349614608544	London	0.011666544424792095	0.027609927476137795	0.0435533105274835	0.044567536717885124	#
Foreign	0.005278849441277402	0.007709099527942973	0.010139349614608544	Prominent	0.008430599040728182	0.00994405007661153	0.01145750111249488	0.2098384884437698	
Hathi	0.00637971412512269	0.007025231093357588	0.007670748061592486	London	0.011666544424792095	0.027609927476137795	0.0435533105274835	2.6481439116705847e-14	###
Hathi	0.00637971412512269	0.007025231093357588	0.007670748061592486	Prominent	0.008430599040728182	0.00994405007661153	0.01145750111249488	0.034996733097400146	#
London	0.011666544424792095	0.027609927476137795	0.0435533105274835	Prominent	0.008430599040728182	0.00994405007661153	0.01145750111249488	0.00017117114832279937	###
