Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	-0.0006238968216084918	0.012563975291366554	0.0257518474043416	Hathi	0.014179180980643824	0.015345824003671644	0.016512467026699465	0.6374839884903662	
Foreign	-0.0006238968216084918	0.012563975291366554	0.0257518474043416	London	0.00874434496759353	0.014304054542828978	0.019863764118064425	0.7732756618012283	
Foreign	-0.0006238968216084918	0.012563975291366554	0.0257518474043416	Prominent	0.005939132790145636	0.00917772264569456	0.012416312501243483	0.5271810159936362	
Hathi	0.014179180980643824	0.015345824003671644	0.016512467026699465	London	0.00874434496759353	0.014304054542828978	0.019863764118064425	0.7992534713569177	
Hathi	0.014179180980643824	0.015345824003671644	0.016512467026699465	Prominent	0.005939132790145636	0.00917772264569456	0.012416312501243483	0.0024715313445736655	##
London	0.00874434496759353	0.014304054542828978	0.019863764118064425	Prominent	0.005939132790145636	0.00917772264569456	0.012416312501243483	0.16170283648057118	
