Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	443.34801554558874	533.2896028683929	623.231190191197	Hathi	275.6793943198425	282.51621752785974	289.35304073587696	1.1229284142659298e-25	###
Foreign	443.34801554558874	533.2896028683929	623.231190191197	London	241.93629701029522	274.30533432331504	306.67437163633485	9.539792238326374e-07	###
Foreign	443.34801554558874	533.2896028683929	623.231190191197	Prominent	236.38199545617374	252.7120858276847	269.04217619919564	2.5099858277151805e-21	###
Hathi	275.6793943198425	282.51621752785974	289.35304073587696	London	241.93629701029522	274.30533432331504	306.67437163633485	0.7371171434459014	
Hathi	275.6793943198425	282.51621752785974	289.35304073587696	Prominent	236.38199545617374	252.7120858276847	269.04217619919564	0.010764068636657211	#
London	241.93629701029516	274.305334323315	306.6743716363348	Prominent	236.38199545617374	252.7120858276847	269.04217619919564	0.26372772642370085	
