	htid	spec_nongb_subcountry	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
490	uc1.b3834532	0.6776859504132232	0.5000472653790932	Ford, Ford Madox	Some Do Not..., A Novel	1924	Fiction-Novel	Male	White	Britain	144071
206	mdp.39015020699826	0.6774193548387096	0.16843819593118023	White, T. H.	The Sword in the Stone	1939	Fiction-Novel	Male	White	Britain	109578
363	pst.000029123872	0.6772486772486758	0.6494424699430807	Moore, George	Esther Waters	1894	Fiction-Novel	Male	White	Ireland	173270
152	mdp.39015005775112	0.6767676767676776	0.7618517472159752	Waugh, Evelyn	Decline and Fall	1928	Fiction-Novel	Male	White	Britain	77369
463	uc1.a0001378843	0.6764705882352946	0.17122249888607602	Anstey, F.	Vice Versa	1882	Fiction-Novel	Male	White	Britain	118228
83	inu.39000000700414	0.6758241758241762	0.7417678738387884	Wells, H. G.	Christina Alberta's Father	1925	Fiction-Novel	Male	White	Britain	146085
109	mdp.39015002148933	0.6756756756756757	1.2631393794732977	Smith, Stevie	Novel on Yellow Paper	1936	Fiction-Novel	Female	White	Britain	69761
32	dul1.ark:/13960/t5p855w55	0.6753246753246755	0.7554851620762723	Beerbohm, Max	Seven Men	1919	Fiction-Stories	Male	White	Britain	60683
545	uc2.ark:/13960/t7vm4dr7d	0.6740740740740754	0.7580235335643222	Ford, Ford Madox	Mr. Fleight	1913	Fiction-Novel	Male	White	Britain	106036
155	mdp.39015005971810	0.6737588652482269	0.5203982750583565	Lehmann, Rosamond	The Weather in the Streets: A Novel	1936	Fiction-Novel	Female	White	Britain	161319
547	uc2.ark:/13960/t8rb78c05	0.6735537190082634	1.6463991217604148	Buchan, John	Prester John	1910	Fiction-Novel	Male	White	Britain	87515
256	mdp.39015053044510	0.6724137931034483	0.9705233707053447	Wells, H. G.	The Sea Lady: A Tissue of Moonshine	1902	Fiction-Novel	Male	White	Britain	71163
97	inu.39000004311127	0.6722488038277507	1.8039404836257265	Kipling, Rudyard	Life's Handicap	1891	Fiction-Stories	Male	White	South Asia	137961
75	inu.32000004673150	0.6720430107526878	0.7016227005060961	Hardy, Thomas	The Trumpet-Major	1880	Fiction-Novel	Male	White	Britain	157838
107	mdp.39015001145211	0.670940170940168	1.9255001829202816	Maugham, William Somerset	Cosmopolitans	1936	Fiction-Stories	Male	White	Britain	72356
123	mdp.39015002714957	0.6708860759493673	0.795707945368878	Richardson, Dorothy	The Tunnel	1919	Fiction-Novel	Female	White	Britain	118224
524	uc1.b4717712	0.6704545454545453	0.61847120922038	Wells, H. G.	Tales of Space and Time	1899	Fiction-Stories	Male	White	Britain	84716
178	mdp.39015010701871	0.6703296703296703	0.7141615470022119	Chesterton, G. K.	The Secret of Father Brown	1927	Fiction-Novel	Male	White	Britain	75866
262	mdp.39015055182078	0.6677215189873392	2.3021542033231137	Ford, Ford Madox	No Enemy: A Tale of Reconstruction	1929	Fiction-Novel	Male	White	Britain	81725
516	uc1.b4095607	0.6673819742489271	2.368228690757525	Ford, Ford Madox	An English Girl: A Romance	1907	Fiction-Novel	Male	White	Britain	117156
212	mdp.39015030719531	0.6666666666666667	1.3900178712499205	Wells, H. G.	The Adventures of Tommy	1929	Fiction-Stories	Male	White	Britain	1285
170	mdp.39015009004717	0.6666666666666659	1.529400003156621	Aldington, Richard	Soft Answers 	1932	Fiction-Stories	Male	White	Britain	107446
526	uc1.b4973388	0.6661466458658358	1.393177398715886	Lawrence, D. H.	The Boy in the Bush	1924	Fiction-Novel	Male	White	Britain	273939
10	coo.31924013493758	0.6629629629629659	1.7761475981134578	Kipling, Rudyard	Rewards and Fairies	1910	Fiction-Novel	Male	White	Britain	90508
23	coo.31924074619218	0.6614173228346456	0.6093238742549608	Stevenson, Robert Louis	Catriona	1893	Fiction-Novel	Male	White	Britain	124096
385	uc1.$b105330	0.6613756613756633	2.2073578682798263	Macaulay, Rose	Going Abroad	1934	Fiction-Novel	Female	White	Britain	101958
46	hvd.hn5fum	0.6603773584905684	2.128835078852136	Childers, Erskine	The Riddle of Sands	1903	Fiction-Novel	Male	White	Britain	133407
156	mdp.39015006194115	0.6601941747572807	1.2556104867446316	West, Rebecca	The Thinking Reed	1936	Fiction-Novel	Female	White	Ireland	146523
442	uc1.32106007991901	0.6585365853658559	0.5063872530138858	du Maurier, Daphne	Rebecca	1938	Fiction-Novel	Female	White	Britain	192825
374	pst.000044205362	0.6577181208053672	0.9862288469363905	Maugham, William Somerset	Cakes and Ale: Or the Skeleton in the Cupboard	1930	Fiction-Novel	Male	White	Britain	89952
319	njp.32101068137924	0.6549118387909288	1.166459676121564	Disraeli, Benjamin	Endymion	1880	Fiction-Novel	Male	White	Britain	202639
504	uc1.b4083133	0.6538461538461539	1.1132004669078062	Wells, H. G.	All Aboard for Ararat	1940	Fiction-Novel	Male	White	Britain	27812
538	uc2.ark:/13960/t24b37r0x	0.6530612244897988	1.0105004475454142	Ford, Ford Madox	The Portrait	1910	Fiction-Novel	Male	White	Britain	115484
565	umn.31951p00148123s	0.6515151515151515	0.4365861013058454	Ford, Ford Madox	The Benefactor: A Tale of a Small Circle	1905	Fiction-Novel	Male	White	Britain	90007
147	mdp.39015005111680	0.6514285714285717	0.7602362786379226	Forster, E. M.	Howards End	1910	Fiction-Novel	Male	White	Britain	137054
527	uc1.b5336132	0.6507936507936514	0.4731046901730373	Mansfield, Katherine	Bliss, and Other Stories	1920	Fiction-Stories	Female	White	Australasia	79284
340	osu.32435018323915	0.650190114068444	1.0330579830235134	Bennett, Arnold	The Price of Love: A Tale	1914	Fiction-Novel	Male	White	Britain	151577
198	mdp.39015016867767	0.6499999999999996	0.8208407683652417	Bowen, Elizabeth	The Last September	1929	Fiction-Novel	Female	White	Ireland	101548
296	mdp.39076005037002	0.649350649350651	0.9116872706175565	Galsworthy, John	Flowering Wilderness	1932	Fiction-Novel	Male	White	Britain	100572
382	pst.000062475938	0.6483516483516482	1.2463710377465969	Conrad, Joseph	The Secret Agent: A Simple Tale	1907	Fiction-Novel	Male	White	Europe	130412
207	mdp.39015020726702	0.6481481481481476	0.48306859429669274	Bowen, Elizabeth	The Cat Jumps, and Other Stories	1934	Fiction-Stories	Female	White	Ireland	66556
502	uc1.b4080428	0.6478873239436603	1.0058237403912214	Wells, H. G.	Brynhild	1937	Fiction-Novel	Male	White	Britain	84056
357	pst.000021133824	0.6470588235294119	1.7598783121278843	Stevenson, Robert Louis	Treasure Island	1883	Fiction-Novel	Male	White	Britain	17254
470	uc1.b3575558	0.6470588235294118	1.2446688144554234	Yeats, William Butler	Adoration of the Magi	1897	Fiction-Stories	Male	White	Ireland	8132
366	pst.000030844360	0.6457142857142858	0.728864892184439	Conrad, Joseph	Victory	1915	Fiction-Novel	Male	White	Europe	142953
164	mdp.39015008456900	0.6447602131438734	3.457487339914391	Moore, George	The Brook Kerith	1916	Fiction-Novel	Male	White	Ireland	193901
310	mdp.49015000998766	0.6440677966101698	0.404030965942878	Powys, Theodore Francis	Mr. Tasker's Gods	1925	Fiction-Novel	Male	White	Britain	86944
421	uc1.31822038204798	0.6438356164383571	0.48419252645833993	Macaulay, Rose	The Making of a Bigot	1914	Fiction-Novel	Female	White	Britain	89765
293	mdp.39015092894172	0.6438356164383555	0.7582878351919641	Douglas, Norman [George]	Unprofessional Tales	1901	Fiction-Stories	Male	White	Europe	57318
254	mdp.39015050807257	0.6428571428571429	1.082009142956679	Macaulay, Rose	Non-Combatants and Others	1916	Fiction-Novel	Female	White	Britain	77037
148	mdp.39015005250439	0.6428571428571427	0.23470951834756323	Milne, A. A.	House at Pooh Corner	1928	Fiction-Novel	Male	White	Britain	35514
354	pst.000019744087	0.6422018348623838	1.3531754441186203	Maugham, William Somerset	The Magician	1908	Fiction-Novel	Male	White	Britain	95919
183	mdp.39015011598300	0.641025641025644	2.0797149538549506	Macaulay, Rose	Staying with Relations	1930	Fiction-Novel	Female	White	Britain	100486
356	pst.000021106644	0.6408317580340264	2.832849137001202	Maugham, William Somerset	Ashenden: Or, The British Agent	1928	Fiction-Stories	Male	White	Britain	111182
100	mdp.39015000017742	0.6400000000000015	1.230723041476824	Aldington, Richard	Road to Glory	1930	Fiction-Stories	Male	White	Britain	72566
514	uc1.b4095604	0.639593908629442	1.1332891259893527	Ford, Ford Madox	Mr. Apollo: A Just Possible Story	1908	Fiction-Novel	Male	White	Britain	103497
175	mdp.39015010378282	0.6382978723404257	0.7616700402758061	Bowen, Elizabeth	Friends and Relations	1931	Fiction-Novel	Female	White	Ireland	73479
