	htid	spec_world_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
135	mdp.39015003681395	0.3243243243243243	0.7792565711167241	Galsworthy, John	Jocelyn	1898	Fiction-Novel	Male	White	Britain	71084
151	mdp.39015005273563	0.32390745501285517	0.5626670283794102	Lewis, Wyndham	The Apes of God	1930	Fiction-Novel	Male	White	Other	258755
338	osu.32435007395684	0.32258064516129037	0.397723399177217	Lawrence, D. H.	The Trespasser	1912	Fiction-Novel	Male	White	Britain	87517
511	uc1.b4093278	0.3223684210526324	0.8899734587127509	Galsworthy, John	Maid in Waiting	1931	Fiction-Novel	Male	White	Britain	127846
327	nyp.33433074926431	0.3218390804597706	0.9218722244452056	Bennett, Arnold	Hugo: A Fantasia on Modern Themes	1906	Fiction-Novel	Male	White	Britain	70643
462	uc1.32106017680692	0.32183908045977055	1.0487265218120174	Woolf, Virginia	Orlando	1928	Fiction-Novel	Female	White	Britain	93147
61	inu.30000067523815	0.32167832167832056	1.5131549676629992	Benson, E. F.	Lucia in London	1927	Fiction-Novel	Male	White	Britain	106112
65	inu.30000117261093	0.32145886344359015	1.2476356607858765	Conan Doyle, Arthur	The Adventures of Sherlock Holmes	1891	Fiction-Novel	Male	White	Britain	353685
297	mdp.39076001541874	0.32129963898916875	0.8751751760272216	Forster, E. M.	The Longest Journey	1907	Fiction-Novel	Male	White	Britain	118461
459	uc1.32106016479682	0.3212669683257934	1.1278872085590044	Pater, Walter	Marius the Epicurean	1885	Fiction-Novel	Male	White	Britain	146672
539	uc2.ark:/13960/t22b9778q	0.320574162679425	0.542344545085565	Galsworthy, John	Beyond	1917	Fiction-Novel	Male	White	Britain	144232
248	mdp.39015046387364	0.32011331444759206	0.6940299594358632	Wells, H. G.	Country of the Blind	1911	Fiction-Stories	Male	White	Britain	190365
336	nyp.33433107875183	0.31999999999999995	0.33642076098274337	Garnett, David	Lady Into Fox	1922	Fiction-Novel	Male	White	Britain	27813
21	coo.31924014495349	0.3194444444444439	1.462626017374578	Huxley, Aldous	Two or Three Graces, and Other Stories	1926	Fiction-Stories	Male	White	Britain	73697
318	mdp.49015001344812	0.31868131868132005	0.7778871066091575	Greene, Graham	The Confidential Agent	1939	Fiction-Novel	Male	White	Britain	87568
417	uc1.$b794703	0.31818181818181723	1.1027650869562233	Galsworthy, John	The Burning Spear, Being the Experiences of Mr. John Lavender in a Time of War	1919	Fiction-Novel	Male	White	Britain	82134
559	uiug.30112056502336	0.31715210355987067	1.4109621175564657	Thomas, Edward	The Happy-Go-Lucky Morgans	1913	Fiction-Novel	Male	White	Britain	81966
364	pst.000028366003	0.31707317073170727	0.39709315353869645	Lawrence, D. H.	The Virgin and the Gipsy	1930	Fiction-Stories	Male	White	Britain	38644
517	uc1.b4095606	0.3170731707317067	0.7149554622598815	Ford, Ford Madox	A Man Could Stand Up--A Novel	1926	Fiction-Novel	Male	White	Britain	85853
377	pst.000045759383	0.31645569620253194	0.7280087450460588	Hardy, Thomas	A Group of Noble Dames	1891	Fiction-Stories	Male	White	Britain	81229
93	inu.39000003171605	0.3149606299212609	1.1763628801208212	Conan Doyle, Arthur	The Memoirs of Sherlock Holmes	1893	Fiction-Novel	Male	White	Britain	121220
290	mdp.39015079150069	0.3147208121827419	1.5377361236885105	Wilde, Oscar	The Picture of Dorian Gray	1891	Fiction-Novel	Male	White	Ireland	95897
347	pst.000002047836	0.3141993957703933	1.2228627780597021	Maugham, William Somerset	Of Human Bondage	1915	Fiction-Novel	Male	White	Britain	303922
203	mdp.39015018978745	0.313559322033897	1.7356820338379129	Stevenson, Robert Louis	The Wrong Box	1889	Fiction-Novel	Male	White	Britain	101780
425	uc1.32106001938288	0.31306990881458746	0.6668277776876659	Hardy, Thomas	Wessex Tales	1888	Fiction-Novel	Male	White	Britain	184660
148	mdp.39015005100105	0.3100436681222707	0.8328371319860807	Jacobs, W. W.	Light Freights	1901	Fiction-Stories	Male	White	Britain	102912
270	mdp.39015058132898	0.3097142857142861	1.5599538520427916	James, Henry	The Bostonians	1886	Fiction-Novel	Male	White	Us	209936
231	mdp.39015031225116	0.308243727598565	1.465745995022289	Bennett, Arnold	Teresa of Watling Street: A Fantasia on Modern Themes	1904	Fiction-Novel	Male	White	Britain	71242
508	uc1.b4088177	0.3076923076923077	0.2605254189928667	Nesbit, Edith	The Railway Children	1906	Fiction-Novel	Female	White	Britain	74704
149	mdp.39015005111680	0.30752212389380335	1.2343471982127678	Forster, E. M.	Howards End	1910	Fiction-Novel	Male	White	Britain	137054
435	uc1.32106002020342	0.30677290836653337	1.1979619872370106	Waugh, Evelyn	Black Mischief	1932	Fiction-Novel	Male	White	Britain	78419
571	uva.x000926858	0.3033175355450242	0.6014393060187955	James, Henry	The Golden Bowl	1904	Fiction-Novel	Male	White	Us	131305
303	mdp.49015000915224	0.3028064992614477	0.8069992850911347	Bennett, Arnold	Imperial Palace	1930	Fiction-Novel	Male	White	Britain	313983
144	mdp.39015005021566	0.29891304347826	0.613499695342338	Orwell, George	A Clergyman's Daughter	1935	Fiction-Novel	Male	White	South Asia	112252
402	uc1.$b244736	0.29761904761904906	0.9330397473650852	Macaulay, Rose	Keeping Up Appearances	1928	Fiction-Novel	Female	White	Britain	101086
397	uc1.$b244162	0.29729729729729715	0.1489130439842497	Powys, Theodore Francis	The Two Thieves	1933	Fiction-Stories	Male	White	Britain	92995
546	uc2.ark:/13960/t71v5hr9z	0.2960526315789469	0.47432255897827513	Galsworthy, John	Saint's Progress	1919	Fiction-Novel	Male	White	Britain	119939
275	mdp.39015060845628	0.2954822954822934	1.670059558593158	Wells, H. G.	Tono-Bungay	1909	Fiction-Novel	Male	White	Britain	183545
43	hvd.32044090347501	0.2944785276073618	0.5263017743571984	Galsworthy, John	Five Tales	1918	Fiction-Stories	Male	White	Britain	115916
455	uc1.32106014553967	0.2942942942942948	0.9701824380981255	Greene, Graham	Brighton Rock	1938	Fiction-Novel	Male	White	Britain	128464
274	mdp.39015060669036	0.2939958592132505	1.453138111453231	Wells, H. G.	A Modern Utopia	1905	Fiction-Novel	Male	White	Britain	124403
220	mdp.39015030719705	0.2923076923076933	0.8326232488353378	Wells, H. G.	Twelve Stories and a Dream	1903	Fiction-Stories	Male	White	Britain	87655
278	mdp.39015065539754	0.29166666666666663	0.8973173967538607	Warner, Sylvia	Lolly Willowes	1926	Fiction-Novel	Female	White	Britain	60063
126	mdp.39015002715129	0.2912621359223298	1.0178836367828727	Richardson, Dorothy	Revolving Lights	1923	Fiction-Novel	Female	White	Britain	75746
437	uc1.32106002021704	0.2910052910052918	0.7021484135848965	Williams, Charles	War in Heaven	1930	Fiction-Novel	Male	White	Britain	100745
271	mdp.39015060668566	0.2909336941813262	3.124488502211812	Wells, H. G.	The War of the Worlds	1898	Fiction-Novel	Male	White	Britain	88523
18	coo.31924013615509	0.2907801418439715	0.5559649637719954	Galsworthy, John	The Dark Flower	1913	Fiction-Novel	Male	White	Britain	94921
120	mdp.39015002710260	0.28859060402684544	0.8955668688978602	Powell, Anthony	Venusberg	1932	Fiction-Novel	Male	White	Britain	62270
461	uc1.32106017177491	0.28806584362139864	1.6577737318557637	Chesterton, G. K.	The Club of Queer Trades	1905	Fiction-Stories	Male	White	Britain	54862
81	inu.32000009144157	0.2879377431906625	0.7296082255771535	Huxley, Aldous	Those Barren Leaves	1925	Fiction-Novel	Male	White	Britain	131836
403	uc1.$b244748	0.28662420382165715	2.1911357261881226	Macaulay, Rose	I Would Be Private	1937	Fiction-Novel	Female	White	Britain	80453
513	uc1.b4095427	0.28661087866108714	1.8219935264339282	Ford, Ford Madox	Vive Le Roy: A Novel	1936	Fiction-Novel	Male	White	Britain	98191
492	uc1.b3834532	0.2862068965517242	0.7533764550289183	Ford, Ford Madox	Some Do Not..., A Novel	1924	Fiction-Novel	Male	White	Britain	144071
457	uc1.32106014704156	0.28571428571428575	0.3210404768476088	James, Henry	The Awkward Age	1899	Fiction-Novel	Male	White	Us	179536
235	mdp.39015031241972	0.28571428571428575	0.13481412476636603	James, Henry	The Two Magics	1898	Fiction-Stories	Male	White	Us	97168
371	pst.000032564228	0.28395061728395066	0.8195355975802938	Burnett, Frances Hodgston	Little Lord Fauntleroy	1886	Fiction-Novel	Female	White	Britain	73984
323	njp.32101068574498	0.28368794326241215	0.809044364445011	Macaulay, Rose	Abbots Verney	1906	Fiction-Novel	Female	White	Britain	130457
450	uc1.32106013771271	0.2831325301204819	0.7903727477027089	James, Henry	Washington Square	1881	Fiction-Novel	Male	White	Us	78608
521	uc1.b4098055	0.28191489361702143	0.6044573148031235	Aldington, Richard	The Colonel's Daughter	1931	Fiction-Novel	Male	White	Britain	116408
512	uc1.b4095308	0.28080229226361	1.3822278486785773	Ford, Ford Madox	A Call: The Tale of Two Passions	1910	Fiction-Novel	Male	White	Britain	94501
207	mdp.39015019950834	0.28070175438596534	0.8261177596610012	Munro, Hector Hugh	Reginald in Russia, and Other Sketches	1910	Fiction-Stories	Male	White	South Asia	25824
83	inu.39000000350780	0.2806324110671937	0.5962867641916083	Powys, John Cowper	Wolf Solent	1929	Fiction-Novel	Male	White	Britain	317604
183	mdp.39015011356758	0.2795969773299742	1.7799979099188201	Bennett, Arnold	The Grand Babylon Hotel: A Fantasia on Modern Themes	1902	Fiction-Novel	Male	White	Britain	83476
460	uc1.32106016823210	0.27954545454545454	1.156020659181844	Forster, E. M.	Maurice	1914	Fiction-Novel	Male	White	Britain	142455
157	mdp.39015005971810	0.27931034482758615	0.6728265068124109	Lehmann, Rosamond	The Weather in the Streets: A Novel	1936	Fiction-Novel	Female	White	Britain	161319
541	uc2.ark:/13960/t28913645	0.2792792792792785	0.7285442195557307	Macaulay, Rose	The Lee Shore	1913	Fiction-Novel	Female	White	Britain	114048
272	mdp.39015060668574	0.2791666666666676	1.1709352782715439	Wells, H. G.	The Invisible Man	1897	Fiction-Novel	Male	White	Britain	76713
399	uc1.$b244475	0.2781456953642389	0.9993015396744174	Richardson, Dorothy	Dawn's Left Hand	1931	Fiction-Novel	Female	White	Britain	56555
451	uc1.32106014299330	0.2771739130434779	0.6673052373675457	Joyce, James	Portrait of An Artist as a Young Man	1916	Fiction-Novel	Male	White	Ireland	103201
136	mdp.39015003681411	0.2767295597484285	0.6845781865241148	Galsworthy, John	The Island Pharisees	1904	Fiction-Novel	Male	White	Britain	86929
177	mdp.39015010378282	0.2739130434782599	1.171534856924566	Bowen, Elizabeth	Friends and Relations	1931	Fiction-Novel	Female	White	Ireland	73479
480	uc1.b3759972	0.2736842105263166	1.0762294061064483	Wells, H. G.	Mr. Blettsworthy on Rampole Island	1928	Fiction-Novel	Male	White	Britain	99113
127	mdp.39015002742446	0.2727272727272728	1.3982375496486967	Rolfe, Frederick	Don Tarquinio: A Kataleptic Phantasmatic Romance	1905	Fiction-Novel	Male	White	Britain	47111
567	umn.31951p00148123s	0.27184466019417525	0.4283034316872872	Ford, Ford Madox	The Benefactor: A Tale of a Small Circle	1905	Fiction-Novel	Male	White	Britain	90007
348	pst.000005348527	0.27152317880794696	0.6981617879935109	Conrad, Joseph	The Inheritors: An Extravagant Story	1901	Fiction-Novel	Male	White	Europe	80949
454	uc1.32106014473422	0.27131782945736416	0.4909795135716904	Rider Haggard, H.	King Solomon's Mines	1885	Fiction-Novel	Male	White	Britain	98337
52	iau.31858005598952	0.2705479452054806	1.76927713942833	Bennett, Arnold	The Loot of Cities: Being the Adventures of a Millionaire in Search of Joy (A Fantasia)	1905	Fiction-Stories	Male	White	Britain	61770
34	hvd.32044004999371	0.27000000000000063	0.4475526145963872	Wells, H. G.	The History of Mr. Polly	1910	Fiction-Novel	Male	White	Britain	83627
481	uc1.b3759999	0.26993865030674824	0.505470876325794	Aldington, Richard	Very Heaven	1937	Fiction-Novel	Male	White	Britain	120693
57	inu.30000038183293	0.26964769647696163	2.693228491466288	Conan Doyle, Arthur	A Study in Scarlet	1887	Fiction-Novel	Male	White	Britain	102559
557	uiug.30112041400711	0.26907630522088344	1.075651332261334	Bentley, E. C.	Trent's Last Case	1913	Fiction-Novel	Male	White	Britain	86640
389	uc1.$b106204	0.26701570680628267	0.7878167464913772	Maugham, William Somerset	The Mixture as Before	1940	Fiction-Novel	Male	White	Britain	90740
54	inu.30000007685427	0.2656826568265682	0.7627348291270057	Waugh, Alec	The Loom of Youth	1917	Fiction-Novel	Male	White	Britain	132980
516	uc1.b4095604	0.26486486486486305	1.3380260804965718	Ford, Ford Madox	Mr. Apollo: A Just Possible Story	1908	Fiction-Novel	Male	White	Britain	103497
113	mdp.39015002299934	0.26436781609195403	0.6240424265651195	Wells, H. G.	Things to Come	1936	Fiction-Novel	Male	White	Britain	52179
497	uc1.b3834546	0.26373626373626347	1.5301917996125218	Firbank, [Arthur Annesley] Ronald	Prancing Nigger 	1924	Fiction-Novel	Male	White	Britain	22258
240	mdp.39015037454173	0.26349892008639325	2.020700863823889	Stevenson, Robert Louis	Weir of Hermiston	1896	Fiction-Novel	Male	White	Britain	85757
514	uc1.b4095551	0.26315789473684215	0.7974009503433401	Firbank, [Arthur Annesley] Ronald	Santal	1921	Fiction-Novel	Male	White	Britain	8918
237	mdp.39015032477062	0.26229508196721396	0.6265371827769725	Huxley, Aldous	Eyeless in Gaza	1936	Fiction-Novel	Male	White	Britain	182198
575	wu.89099304214	0.2619047619047619	0.7444845281490545	Richardson, Dorothy	Backwater	1916	Fiction-Novel	Female	White	Britain	63344
29	coo1.ark:/13960/t6zw21192	0.2611275964391682	1.2975332897279248	Bennett, Arnold	The Pretty Lady: A Novel	1918	Fiction-Novel	Male	White	Britain	97208
152	mdp.39015005641033	0.2610294117647066	1.0843345838240146	Maugham, William Somerset	Six Stories Written in the First Person Singular	1931	Fiction-Stories	Male	White	Britain	93885
554	uc2.ark:/13960/t9s17xn03	0.2608695652173912	0.08352970662056919	Webb, Mary	Gone to Earth	1917	Fiction-Novel	Female	White	Britain	103057
24	coo1.ark:/13960/t05x2w944	0.260869565217391	0.7439565271105354	Woolf, Virginia	Monday or Tuesday	1921	Fiction-Stories	Female	White	Britain	23142
342	osu.32435018323915	0.2600000000000012	0.9876823660806587	Bennett, Arnold	The Price of Love: A Tale	1914	Fiction-Novel	Male	White	Britain	151577
4	aeu.ark:/13960/t9k373624	0.25925925925925924	0.43067764555191285	Bennett, Arnold	The Glimpse: An Adventure of the Soul	1909	Fiction-Novel	Male	White	Britain	93856
317	mdp.49015001344549	0.2589641434262941	1.227547479741524	Huxley, Aldous	Little Mexican, and Other Stories	1924	Fiction-Stories	Male	White	Britain	76529
201	mdp.39015016884994	0.25735294117647073	0.6054498073218061	Chesterton, G. K.	The Incredulity of Father Brown	1926	Fiction-Stories	Male	White	Britain	84072
238	mdp.39015034647183	0.2573099415204685	0.757408225756888	Huxley, Aldous	Brave New World	1932	Fiction-Novel	Male	White	Britain	84500
359	pst.000021133824	0.2571428571428572	1.5184442883155502	Stevenson, Robert Louis	Treasure Island	1883	Fiction-Novel	Male	White	Britain	17254
307	mdp.49015000982976	0.25691699604742985	0.887405869652656	Huxley, Aldous	After Many a Summer	1939	Fiction-Novel	Male	White	Britain	106706
354	pst.000013460631	0.25668449197860926	1.2235693829931935	Bowen, Elizabeth	To the North	1932	Fiction-Novel	Female	White	Ireland	114402
228	mdp.39015030846771	0.2564102564102567	0.6842425470482981	Bowen, Elizabeth	Ann Lee's, and Other Stories	1926	Fiction-Stories	Female	White	Ireland	63998
236	mdp.39015032333562	0.255681818181817	0.8978596243695997	Munro, Hector Hugh	Beasts and Super-Beasts	1914	Fiction-Novel	Male	White	South Asia	73366
176	mdp.39015009375976	0.2555910543131012	1.5427610849904745	Aldington, Richard	Death of a Hero	1929	Fiction-Novel	Male	White	Britain	151868
301	mdp.49015000796806	0.25524475524475515	1.4028806578128625	Rolfe, Frederick	The Desire and Pursuit of the Whole	1934	Fiction-Novel	Male	White	Britain	152604
561	umn.31951001206673a	0.25396825396825423	0.5931902886927506	Firbank, [Arthur Annesley] Ronald	Valmouth: A Romantic Novel	1919	Fiction-Novel	Male	White	Britain	39750
360	pst.000022830753	0.2539682539682536	1.0541774438599252	Wells, H. G.	Star-Begotten: A Biological Fantasia	1937	Fiction-Novel	Male	White	Britain	44735
184	mdp.39015011506139	0.25396825396825323	0.7669191906307237	Lewis, Wyndham	Tarr	1918	Fiction-Novel	Male	White	Other	122982
408	uc1.$b312377	0.2538461538461544	0.9326023010639367	Rhys, Jean	After Leaving Mr Mackenzie	1931	Fiction-Novel	Female	White	Caribbean	52172
208	mdp.39015020699826	0.25373134328358243	0.2288453273063107	White, T. H.	The Sword in the Stone	1939	Fiction-Novel	Male	White	Britain	109578
12	coo.31924013536150	0.25294117647058956	1.399912437738823	Bennett, Arnold	The Statue	1908	Fiction-Novel	Male	White	Britain	90901
538	uc2.ark:/13960/t1vd70k9k	0.2514970059880246	1.8435552081295103	Ford, Ford Madox	The Young Lovell: A Romance	1913	Fiction-Novel	Male	White	Britain	135616
115	mdp.39015002578469	0.25128205128205167	0.9516081997087368	Wilde, Oscar	Lord Arthur Savile's Crime and Other Stories	1891	Fiction-Stories	Male	White	Ireland	76695
289	mdp.39015078801274	0.2512155591572119	1.5402461633857256	Kipling, Rudyard	Stalky & Co	1899	Fiction-Stories	Male	White	South Asia	149929
277	mdp.39015062110369	0.25101874490627823	1.435985085553538	Joyce, James	Ulysses	1922	Fiction-Novel	Male	White	Ireland	319805
381	pst.000051483654	0.2509363295880156	0.9210435056616252	Maugham, William Somerset	Theatre: A Novel	1937	Fiction-Novel	Male	White	Britain	108498
140	mdp.39015003681916	0.25000000000000033	0.41074936897335507	Galsworthy, John	A Motley	1910	Fiction-Stories	Male	White	Britain	54672
385	uc1.$b104376	0.2500000000000001	0.1255113430612077	Powys, Theodore Francis	Unclay	1932	Fiction-Novel	Male	White	Britain	107352
563	umn.31951002059229q	0.25000000000000006	1.734091853321335	Powys, Theodore Francis	A Stubborn Tree	1926	Fiction-Stories	Male	White	Britain	2590
70	inu.32000001881533	0.25	0.3269489626630457	Powys, Theodore Francis	Make Thyself Many	1935	Fiction-Stories	Male	White	Britain	4579
552	uc2.ark:/13960/t9g450491	0.25	0.30284197431659476	Galsworthy, John	Awakening	1920	Fiction-Stories	Male	White	Britain	9887
428	uc1.32106001975207	0.24999999999999994	0.0784718639998997	Compton-Burnett, Ivy	Men and Wives	1931	Fiction-Novel	Female	White	Britain	114469
370	pst.000032226942	0.2499999999999998	1.1497732704465815	Maugham, William Somerset	The Narrow Corner	1932	Fiction-Novel	Male	White	Britain	95052
259	mdp.39015053230523	0.2495948136142649	1.3131105862532526	Wells, H. G.	Marriage	1912	Fiction-Novel	Male	White	Britain	175863
139	mdp.39015003681742	0.2493297587131368	1.2931492142999377	Galsworthy, John	The Silver Spoon	1926	Fiction-Novel	Male	White	Britain	107957
261	mdp.39015053611367	0.24924924924924957	1.8570558341889094	Wells, H. G.	The Research Magnificent	1915	Fiction-Novel	Male	White	Britain	134227
329	nyp.33433074926712	0.24888888888888838	0.8241518460258117	Benson, E. F.	Queen Lucia	1920	Fiction-Novel	Male	White	Britain	102180
229	mdp.39015031224069	0.2484276729559748	1.152239184780432	Bennett, Arnold	The Vanguard: A Fantasia	1927	Fiction-Novel	Male	White	Britain	103294
544	uc2.ark:/13960/t4hm5k49t	0.24817518248175183	0.31939884031299415	Lawrence, D. H.	The White Peacock	1911	Fiction-Novel	Male	White	Britain	160538
532	uc2.ark:/13960/fk8pc2tq9r	0.24791666666666845	0.7907145007706331	James, Henry	The Wings of the Dove	1902	Fiction-Novel	Male	White	Us	227202
193	mdp.39015014506813	0.2461538461538461	0.911693737899844	Hardy, Thomas	The Well-Beloved	1897	Fiction-Novel	Male	White	Britain	106737
133	mdp.39015003679985	0.2459016393442613	0.8820188654359039	Galsworthy, John	Captures	1923	Fiction-Stories	Male	White	Britain	77654
242	mdp.39015039610442	0.245033112582781	0.9167004359424323	Munro, Hector Hugh	The Chronicles of Clovis	1911	Fiction-Novel	Male	White	South Asia	61651
197	mdp.39015014841145	0.2447916666666673	0.5945244632842948	Maugham, William Somerset	Mrs. Craddock	1902	Fiction-Novel	Male	White	Britain	120871
283	mdp.39015066650105	0.24390243902439013	0.36681622836509814	Webb, Mary	Precious Bane	1924	Fiction-Novel	Female	White	Britain	125501
314	mdp.49015001002139	0.2430278884462154	0.693485262445198	Sayers, Dorothy	The Nine Tailors	1934	Fiction-Novel	Female	White	Britain	135465
102	mdp.39015000606981	0.24154589371980756	0.8062490376693803	Orwell, George	Coming up for Air	1939	Fiction-Novel	Male	White	South Asia	96093
337	nyp.33433115574562	0.24146341463414497	2.029555717619523	Ford, Ford Madox	Zeppelin Nights	1915	Fiction-Stories	Male	White	Britain	75609
265	mdp.39015055469319	0.24137931034482699	1.2296428862446902	Orwell, George	Burmese Days	1934	Fiction-Novel	Male	White	South Asia	123577
194	mdp.39015014510633	0.24074074074074076	0.2876537560020518	Mansfield, Katherine	Something Childish, and Other Stories	1924	Fiction-Stories	Female	White	Australasia	70261
326	nyp.33433074892724	0.24025974025973973	0.9578768393018866	Maugham, William Somerset	Orientations	1899	Fiction-Stories	Male	White	Britain	60173
369	pst.000031167109	0.2400000000000001	0.13900953224900886	MacDonald, George	The Princess and Curdie	1883	Fiction-Novel	Male	White	Britain	67311
534	uc2.ark:/13960/t0pr7q78x	0.23972602739726054	0.6263224039067014	Ford, Ford Madox	The Panel: A Sheer Comedy	1912	Fiction-Novel	Male	White	Britain	87246
112	mdp.39015002174475	0.23943661971830973	1.15723174566063	Yeats, William Butler	The Celtic Twilight	1893	Fiction-Stories	Male	White	Ireland	45926
122	mdp.39015002711458	0.2380952380952382	0.11469095761241717	Powys, Theodore Francis	Mockery Gap	1925	Fiction-Novel	Male	White	Britain	68530
387	uc1.$b105330	0.23777777777777787	1.6518926543658623	Macaulay, Rose	Going Abroad	1934	Fiction-Novel	Female	White	Britain	101958
138	mdp.39015003681684	0.23762376237623833	1.2238595322525043	Galsworthy, John	Tatterdemalion	1920	Fiction-Stories	Male	White	Britain	92662
434	uc1.32106001997508	0.23720930232558218	0.4945309515654808	Lewis, Wyndham	The Revenge for Love	1937	Fiction-Novel	Male	White	Other	162718
520	uc1.b4097966	0.23717948717948728	0.6495585869072203	Bagnold, Enid	National Velvet	1935	Fiction-Novel	Female	White	Britain	89887
116	mdp.39015002606757	0.23529411764705796	0.9302152083545149	Ford, Ford Madox	No More Parades: A Novel	1925	Fiction-Novel	Male	White	Britain	109440
464	uc1.32106019227708	0.23504273504273424	1.0927595769220466	Jerome, Jerome K.	Three Men in a Boat	1889	Fiction-Novel	Male	White	Britain	80146
196	mdp.39015014689973	0.2348066298342528	1.407735328101048	Sassoon, Siegfried	Memoir of an Infantry Officer	1930	Fiction-Novel	Male	White	Britain	96245
170	mdp.39015008988373	0.23404255319148937	0.8257483347603859	Conrad, Joseph	Tales of Hearsay	1925	Fiction-Stories	Male	White	Europe	42606
98	inu.39000004311127	0.23391812865497214	1.391719291896772	Kipling, Rudyard	Life's Handicap	1891	Fiction-Stories	Male	White	South Asia	137961
570	uva.x000618958	0.23333333333333384	1.0758573257705355	Maugham, William Somerset	The Explorer	1907	Fiction-Novel	Male	White	Britain	93929
190	mdp.39015013252823	0.23333333333333325	0.3920750314357026	Mansfield, Katherine	The Doves' Nest, and Other Stories	1923	Fiction-Stories	Female	White	Australasia	57276
146	mdp.39015005041283	0.23333333333333287	0.6559780303710779	Chesterton, G. K.	The Wisdom of Father Brown	1912	Fiction-Novel	Male	White	Britain	85584
356	pst.000019744087	0.23300970873786447	1.205714414533439	Maugham, William Somerset	The Magician	1908	Fiction-Novel	Male	White	Britain	95919
444	uc1.32106007991901	0.2327272727272728	0.5337771392575823	du Maurier, Daphne	Rebecca	1938	Fiction-Novel	Female	White	Britain	192825
20	coo.31924014172187	0.23255813953488372	0.7038317797326348	Woolf, Virginia	Kew Gardens	1919	Fiction-Stories	Female	White	Britain	22866
198	mdp.39015016414727	0.23204419889502836	0.6490231976713694	Maugham, William Somerset	Ah, King: Six Stories	1933	Fiction-Stories	Male	White	Britain	104378
210	mdp.39015022200417	0.23170731707317074	1.1412302928585571	Macaulay, Rose	Orphan Island	1925	Fiction-Novel	Female	White	Britain	107570
10	coo.31924013493758	0.23094688221709042	1.7905709907266691	Kipling, Rudyard	Rewards and Fairies	1910	Fiction-Novel	Male	White	Britain	90508
226	mdp.39015030738333	0.23076923076923078	1.8259943829803742	Firbank, [Arthur Annesley] Ronald	Inclinations	1916	Fiction-Novel	Male	White	Britain	34640
88	inu.39000001458897	0.23066298342541472	2.819396045261926	Kipling, Rudyard	Puck of Pook's Hill	1906	Fiction-Stories	Male	White	South Asia	96111
375	pst.000033636887	0.22991071428571336	2.10451491833996	Conan Doyle, Arthur	The Sign of Four	1889	Fiction-Novel	Male	White	Britain	79674
165	mdp.39015008337951	0.22950819672131145	0.34710925784534646	Lehmann, Rosamond	Dusty Answer	1927	Fiction-Novel	Female	White	Britain	131548
36	hvd.32044010252005	0.22950819672131115	1.4553629887501487	Buchan, John	The Thirty-Nine steps	1915	Fiction-Novel	Male	White	Britain	47062
71	inu.32000002529826	0.2272727272727266	0.9489508067520442	West, Rebecca	The Harsh Voice: Four Short Novels	1935	Fiction-Novel	Female	White	Ireland	104124
319	mdp.49015001441162	0.22699386503067456	0.47252164044635964	Schreiner, Olive	The Story of an African Farm	1883	Fiction-Novel	Female	White	Sub-Saharan Africa	129109
291	mdp.39015079156165	0.22691292875989527	1.313609840980037	James, Henry	The Spoils of Poynton	1897	Fiction-Novel	Male	White	Us	107985
64	inu.30000102875915	0.22636815920397912	1.3347392295713123	Stevenson, Robert Louis	Kidnapped	1886	Fiction-Novel	Male	White	Britain	112725
56	inu.30000035055387	0.22580645161290383	0.5170509351805341	Lawrence, D. H.	The Rainbow	1915	Fiction-Novel	Male	White	Britain	224398
232	mdp.39015031234613	0.22580645161290333	0.2271396326474455	Hartley, Leslie Poles	Night Fears, and Other Stories	1924	Fiction-Stories	Male	White	Britain	51081
330	nyp.33433074942974	0.22580645161290328	0.24659977843281966	Conrad, Joseph	The Shadow Line	1917	Fiction-Novel	Male	White	Europe	47050
221	mdp.39015030724986	0.22580645161290322	0.6429146286873909	Chesterton, G. K.	Tales of the Long Bow	1925	Fiction-Stories	Male	White	Britain	72187
467	uc1.b3174276	0.2254428341384877	1.1612639962941942	Gissing, George	Born in Exile	1892	Fiction-Novel	Male	White	Britain	200148
167	mdp.39015008568647	0.22504892367906118	1.1467605774104137	Wells, H. G.	The Holy Terror	1939	Fiction-Novel	Male	White	Britain	166778
91	inu.39000002572209	0.22471910112359564	1.4121183359090421	Firbank, [Arthur Annesley] Ronald	Concerning the Eccentricites of Cardinal Pirelli	1926	Fiction-Novel	Male	White	Britain	23589
372	pst.000032609554	0.22457627118644005	0.9887927762455084	Kipling, Rudyard	The Light that Failed	1890	Fiction-Novel	Male	White	South Asia	89330
168	mdp.39015008846571	0.22390572390572352	3.2770471205616483	Aldington, Richard	All Men Are  Enemies	1933	Fiction-Novel	Male	White	Britain	203524
73	inu.32000002887836	0.22342733188720124	1.4958014246114346	Wells, H. G.	The World of William Clissold	1926	Fiction-Novel	Male	White	Britain	115350
569	uva.x000427943	0.22187500000000043	0.750322286418705	Douglas, Norman [George]	South Wind	1917	Fiction-Novel	Male	White	Europe	159622
439	uc1.32106005418808	0.22181818181818186	1.5971196436832205	Chesterton, G. K.	The Flying Inn	1914	Fiction-Stories	Male	White	Britain	128889
189	mdp.39015012924240	0.22162162162162177	0.8446580375306669	Green, Henry	Blindness	1926	Fiction-Novel	Male	White	Britain	81975
