	htid	spec_world_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
328	nyp.33433074926589	0.4983277591973226	0.6237009835673104	Bennett, Arnold	These Twain	1915	Fiction-Novel	Male	White	Britain	179426
244	mdp.39015041313043	0.49519230769230765	0.6896996970229851	Huxley, Aldous	Antic Hay	1923	Fiction-Novel	Male	White	Britain	112874
47	hvd.hwijhj	0.49517684887459884	0.8911510031439249	Bennett, Arnold	Hilda Lessways	1911	Fiction-Novel	Male	White	Britain	130617
339	osu.32435015440100	0.49206349206349187	0.3352048387975615	Grahame, Kenneth	The Wind in the Willows	1908	Fiction-Stories	Male	White	Britain	70343
409	uc1.$b322675	0.4883720930232558	0.8444947251469133	Bennett, Arnold	Lilian 	1922	Fiction-Novel	Male	White	Britain	57172
13	coo.31924013586551	0.4881516587677711	1.7725800879152047	Bennett, Arnold	The Card: A Story of Adventure in the Five Towns	1911	Fiction-Novel	Male	White	Britain	89104
438	uc1.32106005288425	0.4880000000000002	0.83945225590442	Grossmith, George	The Diary of a Nobody	1894	Fiction-Novel	Male	White	Britain	55732
477	uc1.b3759962	0.48475609756097565	1.2093362617502843	Wells, H. G.	The Dream	1924	Fiction-Novel	Male	White	Britain	101512
405	uc1.$b251513	0.4846153846153847	1.1797472813507368	Chesterton, G. K.	Four Faultless Felons 	1930	Fiction-Stories	Male	White	Britain	82485
349	pst.000006670955	0.48157894736842133	1.2104825225393465	Galsworthy, John	In Chancery	1920	Fiction-Novel	Male	White	Britain	117494
382	pst.000056831450	0.47682119205298135	0.60215115257721	Bennett, Arnold	Anna of the Five Towns: A Novel	1902	Fiction-Novel	Male	White	Britain	93856
298	mdp.39076005037002	0.4766666666666658	1.1164384471081088	Galsworthy, John	Flowering Wilderness	1932	Fiction-Novel	Male	White	Britain	100572
365	pst.000029123872	0.4760869565217414	0.9936308622607466	Moore, George	Esther Waters	1894	Fiction-Novel	Male	White	Ireland	173270
473	uc1.b3741636	0.47572815533980634	0.7833597223388373	Stevenson, Robert Louis	The Black Arrow	1888	Fiction-Novel	Male	White	Britain	98423
1	aeu.ark:/13960/t19k5p86c	0.4722222222222212	0.8693208546802095	Bennett, Arnold	Leonora: A Novel	1903	Fiction-Novel	Male	White	Britain	92996
351	pst.000006721145	0.47126436781609204	0.41944467771562083	Walpole, Hugh	Mr. Perrin and Mr. Traill	1911	Fiction-Novel	Male	White	Britain	77631
483	uc1.b3796882	0.4700460829493087	0.7078591651067159	Bennett, Arnold	Elsie and the Child	1924	Fiction-Stories	Male	White	Britain	114737
284	mdp.39015066681548	0.46969696969696967	0.533275875145719	Hardy, Thomas	Life's Little Ironies	1894	Fiction-Stories	Male	White	Britain	92643
302	mdp.49015000914540	0.4692737430167596	1.8839248534658393	Bennett, Arnold	Buried Alive: A Tale of These Days	1908	Fiction-Novel	Male	White	Britain	71123
246	mdp.39015043188716	0.4677419354838698	0.3862463863932374	Hardy, Thomas	Tess of the D'Urbervilles	1891	Fiction-Novel	Male	White	Britain	180235
227	mdp.39015030742442	0.46428571428571425	0.30794555259141976	Douglas, Norman [George]	They Went	1920	Fiction-Novel	Male	White	Europe	68062
413	uc1.$b783912	0.4609494640122506	1.4806466626918346	Macaulay, Rose	They Were Defeated	1932	Fiction-Novel	Female	White	Britain	165064
16	coo.31924013586882	0.45959595959595945	1.1784434340731047	Bennett, Arnold	A Man From the North	1898	Fiction-Stories	Male	White	Britain	62885
419	uc1.$b85948	0.45839636913767023	0.9572468390978067	Bennett, Arnold	The Old Wives' Tale	1908	Fiction-Novel	Male	White	Britain	258445
465	uc1.a0001378843	0.4571428571428564	0.2215992637158417	Anstey, F.	Vice Versa	1882	Fiction-Novel	Male	White	Britain	118228
488	uc1.b3811079	0.45652173913043476	0.8304180369174975	Bennett, Arnold	The Night Visitor, and Other Stories	1931	Fiction-Stories	Male	White	Britain	124395
378	pst.000045760310	0.4545454545454545	1.3479211862077836	Bennett, Arnold	Tales of the Five Towns	1905	Fiction-Stories	Male	White	Britain	61087
308	mdp.49015000991985	0.45454545454545414	0.26824492279735074	Lewis, Wyndham	The Childermass: Section 1	1928	Fiction-Novel	Male	White	Other	138132
572	uva.x030581232	0.44955156950672176	0.8550974802142376	Galsworthy, John	The Forsyte Saga	1922	Fiction-Novel	Male	White	Britain	390427
491	uc1.b3834403	0.4479166666666659	0.36867556486710296	Galsworthy, John	The Country House	1907	Fiction-Novel	Male	White	Britain	97458
187	mdp.39015012884543	0.44514501891550706	1.2806293389817913	Mackenzie, Compton	Sinister Street	1913	Fiction-Novel	Male	White	Britain	231761
279	mdp.39015065979588	0.44444444444444453	0.5008435567200985	Lehmann, Rosamond	Invitation to the Waltz	1932	Fiction-Novel	Female	White	Britain	67256
366	pst.000029198023	0.4358974358974359	0.21854318958141575	Lewis, C. S.	Out of the Silent Planet	1938	Fiction-Novel	Male	White	Britain	66791
321	njp.32101068137924	0.43587174348697294	1.8433089156505202	Disraeli, Benjamin	Endymion	1880	Fiction-Novel	Male	White	Britain	202639
424	uc1.32106001930137	0.43568464730290324	0.9320998318406745	Chesterton, G. K.	The Innocence of Father Brown	1911	Fiction-Novel	Male	White	Britain	96771
485	uc1.b3796888	0.4352159468438521	1.45224846375803	Bennett, Arnold	The Grim Smile of the Five Towns	1907	Fiction-Novel	Male	White	Britain	77574
498	uc1.b3835494	0.4332129963898917	0.9009500706284798	Galsworthy, John	Over the River	1933	Fiction-Novel	Male	White	Britain	115072
322	njp.32101068574464	0.43209876543209874	0.2956559048331878	Lawrence, D. H.	The Prussian Officer and Other Stories	1914	Fiction-Stories	Male	White	Britain	102539
213	mdp.39015030710704	0.43089430894309055	0.3987371894957999	Powys, John Cowper	Morwyn, or the Vengance of God	1937	Fiction-Novel	Male	White	Britain	115454
27	coo1.ark:/13960/t3417ht19	0.42941176470588044	0.8259188090403874	Bennett, Arnold	Mr. Prohack	1922	Fiction-Novel	Male	White	Britain	154075
479	uc1.b3759971	0.42857142857142855	0.5571579386809967	Wells, H. G.	Men Like Gods	1923	Fiction-Novel	Male	White	Britain	94046
466	uc1.b000790794	0.42857142857142844	0.44541376658613596	West, Rebecca	Return of the Soldier	1918	Fiction-Novel	Female	White	Ireland	35292
107	mdp.39015001130619	0.4260869565217396	0.5898130164574162	Barrie, J. M.	Auld Licht Idylls	1888	Fiction-Novel	Male	White	Britain	72975
293	mdp.39015080830469	0.4253164556962054	0.7744658254101295	Hardy, Thomas	The Woodlanders	1887	Fiction-Novel	Male	White	Britain	190891
125	mdp.39015002714957	0.42477876106194545	1.073209886976324	Richardson, Dorothy	The Tunnel	1919	Fiction-Novel	Female	White	Britain	118224
547	uc2.ark:/13960/t7vm4dr7d	0.42435424354243545	0.9565475647639399	Ford, Ford Madox	Mr. Fleight	1913	Fiction-Novel	Male	White	Britain	106036
523	uc1.b4538464	0.4233576642335759	0.3215984133603081	Conrad, Joseph	The Rescue	1920	Fiction-Novel	Male	White	Europe	159440
103	mdp.39015000610488	0.42248062015503873	0.48047222217787516	Woolf, Virginia	Night and Day	1919	Fiction-Novel	Female	White	Britain	200975
41	hvd.32044021127915	0.4218289085545746	0.8352918779568405	Wells, H. G.	The Wife of Sir Isaac Harman	1914	Fiction-Novel	Male	White	Britain	151898
344	osu.32435053039384	0.42105263157894723	0.9932848685926837	Trollope, Anthony	The Duke's Children	1880	Fiction-Novel	Male	White	Britain	264894
72	inu.32000002820936	0.4193548387096774	0.6329797913401074	Conrad, Joseph	Almayer's Folly	1895	Fiction-Novel	Male	White	Europe	73320
368	pst.000030844360	0.4191919191919192	0.5183970630325156	Conrad, Joseph	Victory	1915	Fiction-Novel	Male	White	Europe	142953
560	umn.319510012033642	0.4189189189189177	0.8634705835785037	Gissing, George	The Unclassed	1884	Fiction-Novel	Male	White	Britain	160378
86	inu.39000001215875	0.4187898089171959	2.185587068478208	Kipling, Rudyard	The Second Jungle Book	1895	Fiction-Stories	Male	White	South Asia	107543
395	uc1.$b244158	0.41666666666666696	0.13499542831686975	Powys, Theodore Francis	Kindness in a Corner	1930	Fiction-Novel	Male	White	Britain	66540
128	mdp.39015002742495	0.41626794258373206	0.9131211732400373	Rolfe, Frederick	Stories Toto Told Me	1898	Fiction-Stories	Male	White	Britain	85666
410	uc1.$b386778	0.41621621621621513	0.7662860658769639	Wells, H. G.	The Food of the Gods, and how it Came to Earth	1904	Fiction-Novel	Male	White	Britain	90359
142	mdp.39015004253061	0.413427561837454	0.7956594362871044	Hornung, E. W.	The Amateur Cracksman	1899	Fiction-Stories	Male	White	Britain	133122
404	uc1.$b244757	0.411764705882352	0.9266387080777222	Macaulay, Rose	What Not: A Prophetic Comedy	1918	Fiction-Novel	Female	White	Britain	68664
260	mdp.39015053230531	0.40890688259109176	0.9562641638610696	Wells, H. G.	The Soul of a Bishop	1917	Fiction-Novel	Male	White	Britain	96674
