Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.004815354081957775	0.007743576576071331	0.010671799070184887	Hathi	0.012360133981168314	0.01317515124172293	0.013990168502277545	0.13852163702112405	
Foreign	0.004815354081957775	0.007743576576071331	0.010671799070184887	London	0.007325040395934695	0.010992469084631156	0.014659897773327615	0.184244562780421	
Foreign	0.004815354081957775	0.007743576576071331	0.010671799070184887	Prominent	0.00840492952743721	0.010999537790687944	0.013594146053938678	0.1874982112658917	
Hathi	0.012360133981168314	0.01317515124172293	0.013990168502277545	London	0.007325040395934695	0.010992469084631156	0.014659897773327615	0.5116745806487351	
Hathi	0.012360133981168314	0.01317515124172293	0.013990168502277545	Prominent	0.00840492952743721	0.010999537790687944	0.013594146053938678	0.29986947368052763	
London	0.007325040395934695	0.010992469084631156	0.014659897773327615	Prominent	0.00840492952743721	0.010999537790687944	0.013594146053938678	0.9976505548354977	
