Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.6844729741818262	0.7343237063942581	0.7841744386066901	Hathi	0.6970074430975787	0.7025418704147137	0.7080762977318488	0.2924723989124028	
Foreign	0.6844729741818262	0.7343237063942581	0.7841744386066901	London	0.3871121035079981	0.42539604621250665	0.46367998891701523	9.48491497378652e-18	###
Foreign	0.6844729741818262	0.7343237063942581	0.7841744386066901	Prominent	0.5720089204777538	0.5961715942543843	0.6203342680310148	2.1924249581229024e-06	###
Hathi	0.6970074430975787	0.7025418704147137	0.7080762977318488	London	0.3871121035079981	0.42539604621250665	0.46367998891701523	7.462327355369285e-33	###
Hathi	0.6970074430975787	0.7025418704147137	0.7080762977318488	Prominent	0.5720089204777538	0.5961715942543843	0.6203342680310148	1.3637168123889755e-13	###
London	0.3871121035079981	0.42539604621250665	0.46367998891701523	Prominent	0.5720089204777538	0.5961715942543843	0.6203342680310148	1.341542194288871e-12	###
