htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
uc1.$b87357,Prominent,"Chesterton, G. K.",The Sword of Wood,1928,Fiction-Stories,Male,White,Britain,England,5887
uc1.$b243988,Prominent,"Powys, Theodore Francis",Mr. Weston's Good Wine,1927,Fiction-Novel,Male,White,Britain,England,98836
mdp.39015012896208,Prominent,"Wells, H. G.",The Island of Dr Moreau,1896,Fiction-Novel,Male,White,Britain,England,54446
wu.89065155434,Prominent,"Forster, E. M.",The Celestial Omnibus and Other Stories,1911,Fiction-Stories,Male,White,Britain,England,39475
mdp.39015005250439,Prominent,"Milne, A. A.",House at Pooh Corner,1928,Fiction-Novel,Male,White,Britain,England,35514
nyp.33433107875183,Prominent,"Garnett, David",Lady Into Fox,1922,Fiction-Novel,Male,White,Britain,England,27813
mdp.39015013252823,Prominent,"Mansfield, Katherine","The Doves' Nest, and Other Stories",1923,Fiction-Stories,Female,White,Australasia,New Zealand,57276
uc1.a0001378843,Prominent,"Anstey, F.",Vice Versa,1882,Fiction-Novel,Male,White,Britain,England,118228
mdp.39015014510633,Prominent,"Mansfield, Katherine","Something Childish, and Other Stories",1924,Fiction-Stories,Female,White,Australasia,New Zealand,70261
mdp.39015056229209,Prominent,"Wells, H. G.",The Time Machine,1895,Fiction-Novel,Male,White,Britain,England,44304
mdp.39015031241972,Prominent,"James, Henry",The Two Magics,1898,Fiction-Stories,Male,White,Us,Us,97168
uc1.b4064067,Prominent,"Beerbohm, Max",The Dreadful Dragon of Hay Hill,1928,Fiction-Stories,Male,White,Britain,England,24711
mdp.39015031234613,Prominent,"Hartley, Leslie Poles","Night Fears, and Other Stories",1924,Fiction-Stories,Male,White,Britain,England,51081
coo1.ark:/13960/t5db8kz2x,Prominent,"Sinclair, May",The Life and Death of Harriett Frean,1922,Fiction-Novel,Female,White,Britain,England,27030
uc1.$b244162,Prominent,"Powys, Theodore Francis",The Two Thieves,1933,Fiction-Stories,Male,White,Britain,England,92995
uc1.b3810633,Prominent,"Conrad, Joseph",The Nature of a Crime,1923,Fiction-Novel,Male,White,Europe,Poland - England,22250
umn.31951p00148123s,Prominent,"Ford, Ford Madox",The Benefactor: A Tale of a Small Circle,1905,Fiction-Novel,Male,White,Britain,England,90007
pst.000028366003,Prominent,"Lawrence, D. H.",The Virgin and the Gipsy,1930,Fiction-Stories,Male,White,Britain,England,38644
uc1.$b244163,Prominent,"Powys, Theodore Francis","The White Paternoster, and Other Stories",1931,Fiction-Stories,Male,White,Britain,England,79137
uc1.b4083133,Prominent,"Wells, H. G.",All Aboard for Ararat,1940,Fiction-Novel,Male,White,Britain,England,27812
mdp.39015030738119,Prominent,"Firbank, [Arthur Annesley] Ronald",The Artificial Princess,1934,Fiction-Novel,Male,White,Britain,England,24377
uc1.$b104376,Prominent,"Powys, Theodore Francis",Unclay,1932,Fiction-Novel,Male,White,Britain,England,107352
umn.31951002059229q,Prominent,"Powys, Theodore Francis",A Stubborn Tree,1926,Fiction-Stories,Male,White,Britain,England,2590
uc1.$b244159,Prominent,"Powys, Theodore Francis",Mark Only,1924,Fiction-Novel,Male,White,Britain,England,72085
inu.32000005560109,Prominent,"Compton-Burnett, Ivy",More Women Than Men,1933,Fiction-Novel,Female,White,Britain,England,90797
nyp.33433074942974,Prominent,"Conrad, Joseph",The Shadow Line,1917,Fiction-Novel,Male,White,Europe,Poland - England,47050
uc1.b4095551,Prominent,"Firbank, [Arthur Annesley] Ronald",Santal,1921,Fiction-Novel,Male,White,Britain,England,8918
uc2.ark:/13960/t9s17xn03,Prominent,"Webb, Mary",Gone to Earth,1917,Fiction-Novel,Female,White,Britain,England,103057
coo.31924014172187,Prominent,"Woolf, Virginia",Kew Gardens,1919,Fiction-Stories,Female,White,Britain,England,22866
mdp.39015019950834,Prominent,"Munro, Hector Hugh","Reginald in Russia, and Other Sketches",1910,Fiction-Stories,Male,White,South Asia,Burma - England,25824
uc2.ark:/13960/t3zs2w44g,Prominent,"Wells, H. G.",The Undying Fire,1919,Fiction-Novel,Male,White,Britain,England,53943
uc1.$b244158,Prominent,"Powys, Theodore Francis",Kindness in a Corner,1930,Fiction-Novel,Male,White,Britain,England,66540
inu.30000038731067,Prominent,"Powys, Theodore Francis",Fables,1934,Fiction-Stories,Male,White,Britain,England,72989
coo1.ark:/13960/t05x2w944,Prominent,"Woolf, Virginia",Monday or Tuesday,1921,Fiction-Stories,Female,White,Britain,England,23142
mdp.39015013439065,Prominent,"Compton-Burnett, Ivy",Pastors and Masters: A Study,1925,Fiction-Novel,Female,White,Britain,England,39319
umn.31951001206673a,Prominent,"Firbank, [Arthur Annesley] Ronald",Valmouth: A Romantic Novel,1919,Fiction-Novel,Male,White,Britain,England,39750
uc1.b3575558,Prominent,"Yeats, William Butler",Adoration of the Magi,1897,Fiction-Stories,Male,White,Ireland,Ireland,8132
uc1.b3759961,Prominent,"Wells, H. G.",The Croquet Player: A Story,1937,Fiction-Novel,Male,White,Britain,England,19291
mdp.39015030727195,Prominent,"Compton-Burnett, Ivy",A Family and a Fortune,1939,Fiction-Novel,Female,White,Britain,England,119223
uc1.b4089521,Prominent,"Beerbohm, Max",The Happy Hypocrite: A Fairy Tale for Tired Men,1897,Fiction-Stories,Male,White,Britain,England,13489
inu.32000007265780,Prominent,"Lawrence, D. H.",Sun,1928,Fiction-Stories,Male,White,Britain,England,8359
uc1.$b242750,Prominent,"Douglas, Norman [George]",In the Beginning,1927,Fiction-Novel,Male,White,Europe,Austria - Britain,64345
miun.afb2696.0001.001,Prominent,"Wells, H. G.",The Brothers: A Story,1938,Fiction-Novel,Male,White,Britain,England,32208
mdp.39015003676882,Prominent,"Forster, E. M.",The Eternal Moment and Other Stories,1928,Fiction-Stories,Male,White,Britain,England,35235
mdp.39015030719531,Prominent,"Wells, H. G.",The Adventures of Tommy,1929,Fiction-Stories,Male,White,Britain,England,1285
inu.32000001881533,Prominent,"Powys, Theodore Francis",Make Thyself Many,1935,Fiction-Stories,Male,White,Britain,England,4579
uc2.ark:/13960/t9g450491,Prominent,"Galsworthy, John",Awakening,1920,Fiction-Stories,Male,White,Britain,England,9887
inu.30000121090348,Prominent,"Powys, Theodore Francis",A Strong Girl and the Bride,1926,Fiction-Stories,Male,White,Britain,England,3842
pst.000031167109,Prominent,"MacDonald, George",The Princess and Curdie,1883,Fiction-Novel,Male,White,Britain,Scotland,67311
mdp.39015002711391,Prominent,"Powys, Theodore Francis",Uriah on the Hill,1930,Fiction-Stories,Male,White,Britain,England,6706
inu.39000001387062,Prominent,"Potter, Beatrix",Peter Rabbit,1902,Fiction-Novel,Female,White,Britain,England,3215
