htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
uc1.b3796882,Prominent,"Bennett, Arnold",Elsie and the Child,1924,Fiction-Stories,Male,White,Britain,England,114737
hvd.hwjx3w,Prominent,"Galsworthy, John",The Freelands,1915,Fiction-Novel,Male,White,Britain,England,121705
uc1.32106001938288,Prominent,"Hardy, Thomas",Wessex Tales,1888,Fiction-Novel,Male,White,Britain,England,184660
uc2.ark:/13960/t28913645,Prominent,"Macaulay, Rose",The Lee Shore,1913,Fiction-Novel,Female,White,Britain,England,114048
mdp.39015002692823,Prominent,"Waugh, Evelyn",Scoop,1938,Fiction-Novel,Male,White,Britain,England,81224
mdp.39015079150069,Prominent,"Wilde, Oscar",The Picture of Dorian Gray,1891,Fiction-Novel,Male,White,Ireland,Ireland - England,95897
inu.30000001017874,Prominent,"Christie, Agatha",Murder on the Orient Express,1934,Fiction-Novel,Female,White,Britain,England,76218
mdp.39015053230531,Prominent,"Wells, H. G.",The Soul of a Bishop,1917,Fiction-Novel,Male,White,Britain,England,96674
pst.000032564228,Prominent,"Burnett, Frances Hodgston",Little Lord Fauntleroy,1886,Fiction-Novel,Female,White,Britain,England - Us,73984
uc1.b4098055,Prominent,"Aldington, Richard",The Colonel's Daughter,1931,Fiction-Novel,Male,White,Britain,England,116408
uc2.ark:/13960/t8rb78c05,Prominent,"Buchan, John",Prester John,1910,Fiction-Novel,Male,White,Britain,Scotland,87515
inu.39000004633983,Prominent,"Chesterton, G. K.",The Ball and the Cross,1909,Fiction-Novel,Male,White,Britain,England,94132
uiug.30112041400711,Prominent,"Bentley, E. C.",Trent's Last Case,1913,Fiction-Novel,Male,White,Britain,England,86640
aeu.ark:/13960/t12n7s247,Prominent,"Bennett, Arnold",The Ghost: A Fantasia on Modern Themes,1907,Fiction-Novel,Male,White,Britain,England,69578
uc1.b3759999,Prominent,"Aldington, Richard",Very Heaven,1937,Fiction-Novel,Male,White,Britain,England,120693
uc1.b3811092,Prominent,"Bennett, Arnold","The Woman Who Stole Everything, and Other Stories",1927,Fiction-Stories,Male,White,Britain,England,107100
uc1.b3759972,Prominent,"Wells, H. G.",Mr. Blettsworthy on Rampole Island,1928,Fiction-Novel,Male,White,Britain,England,99113
osu.32435061047858,Prominent,"Conan Doyle, Arthur",The Lost World,1912,Fiction-Novel,Male,White,Britain,Scotland,87731
mdp.39015031224093,Prominent,"Bennett, Arnold",Dream of Destiny: An Unfinished Novel and Venus Rising from the Sea,1932,Fiction-Novel,Male,White,Britain,England,73067
mdp.39015030719705,Prominent,"Wells, H. G.",Twelve Stories and a Dream,1903,Fiction-Stories,Male,White,Britain,England,87655
mdp.39076005037002,Prominent,"Galsworthy, John",Flowering Wilderness,1932,Fiction-Novel,Male,White,Britain,England,100572
uc1.32106017680692,Prominent,"Woolf, Virginia",Orlando,1928,Fiction-Novel,Female,White,Britain,England,93147
mdp.39015046387364,Prominent,"Wells, H. G.",Country of the Blind,1911,Fiction-Stories,Male,White,Britain,England,190365
mdp.39015002606757,Prominent,"Ford, Ford Madox",No More Parades: A Novel,1925,Fiction-Novel,Male,White,Britain,England,109440
mdp.39015002709866,Prominent,"Powys, John Cowper",Ducdame,1925,Fiction-Novel,Male,White,Britain,England,169352
uc1.$b312377,Prominent,"Rhys, Jean",After Leaving Mr Mackenzie,1931,Fiction-Novel,Female,White,Caribbean,Dominica,52172
mdp.39015010701871,Prominent,"Chesterton, G. K.",The Secret of Father Brown,1927,Fiction-Novel,Male,White,Britain,England,75866
uc1.$b787245,Prominent,"Myers, L. H.",Prince Jali,1931,Fiction-Novel,Male,White,Britain,England,88609
coo.31924006118453,Prominent,"Carroll, Lewis",Sylvie and Bruno,1889,Fiction-Novel,Male,White,Britain,England,85961
mdp.39015048709714,Prominent,"de la Mare, Walter",Memoirs of a Midget,1921,Fiction-Novel,Male,White,Britain,England,181100
inu.32000004673150,Prominent,"Hardy, Thomas",The Trumpet-Major,1880,Fiction-Novel,Male,White,Britain,England,157838
mdp.39015030719598,Prominent,"Wells, H. G.",The King Who Was a King,1929,Fiction-Novel,Male,White,Britain,England,50411
mdp.39015003681411,Prominent,"Galsworthy, John",The Island Pharisees,1904,Fiction-Novel,Male,White,Britain,England,86929
uc1.$b787246,Prominent,"Myers, L. H.",Strange Glory,1936,Fiction-Novel,Male,White,Britain,England,60850
uc1.32106011340103,Prominent,"James, Henry",What Maisie Knew,1897,Fiction-Novel,Male,White,Us,Us,125914
uiug.30112042040854,Prominent,"Sinclair, May","Mary Olivier, A Life",1919,Fiction-Novel,Female,White,Britain,England,143632
mdp.39015030724986,Prominent,"Chesterton, G. K.",Tales of the Long Bow,1925,Fiction-Stories,Male,White,Britain,England,72187
mdp.39015030719606,Prominent,"Wells, H. G.",Love and Mr Lewisham,1900,Fiction-Novel,Male,White,Britain,England,79924
uc1.b4095604,Prominent,"Ford, Ford Madox",Mr. Apollo: A Just Possible Story,1908,Fiction-Novel,Male,White,Britain,England,103497
mdp.39015016415567,Prominent,"Hartley, Leslie Poles",Simonetta Perkins,1926,Fiction-Novel,Male,White,Britain,England,26995
umn.31951002117987b,Prominent,"Myers, L. H.",The Near and the Far,1929,Fiction-Novel,Male,White,Britain,England,98714
uc1.32106017177491,Prominent,"Chesterton, G. K.",The Club of Queer Trades,1905,Fiction-Stories,Male,White,Britain,England,54862
uc1.b3835494,Prominent,"Galsworthy, John",Over the River,1933,Fiction-Novel,Male,White,Britain,England,115072
coo.31924013205749,Prominent,"Allen, Grant",The Woman Who Did,1895,Fiction-Novel,Male,White,Other,Canada,53555
mdp.39015066069033,Prominent,"Stevenson, Robert Louis",The New Arabian Nights,1882,Fiction-Stories,Male,White,Britain,Scotland,123433
mdp.39015005100105,Prominent,"Jacobs, W. W.",Light Freights,1901,Fiction-Stories,Male,White,Britain,England,102912
