	htid	occurs_100k	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
47	hvd.hwijhj	238.10070664614835	1	Bennett, Arnold	Hilda Lessways	1911	Fiction-Novel	Male	White	Britain	130617
367	pst.000029575206	238.00564440263642	1	Priestley, J. B.	The Good Companions	1929	Fiction-Novel	Male	White	Britain	318900
511	uc1.b4093278	237.78608638518176	1	Galsworthy, John	Maid in Waiting	1931	Fiction-Novel	Male	White	Britain	127846
307	mdp.49015000982976	237.1000693494283	1	Huxley, Aldous	After Many a Summer	1939	Fiction-Novel	Male	White	Britain	106706
202	mdp.39015018629371	237.05215147332456	1	West, Rebecca	Harriet Hume	1929	Fiction-Novel	Female	White	Ireland	99978
99	inu.39000004633983	235.83903454723153	1	Chesterton, G. K.	The Ball and the Cross	1909	Fiction-Novel	Male	White	Britain	94132
133	mdp.39015003679985	235.6607515388784	1	Galsworthy, John	Captures	1923	Fiction-Stories	Male	White	Britain	77654
353	pst.000010073353	235.04561127390548	1	Conrad, Joseph	Romance: A Novel	1903	Fiction-Novel	Male	White	Europe	193154
297	mdp.39076001541874	233.83223170494983	1	Forster, E. M.	The Longest Journey	1907	Fiction-Novel	Male	White	Britain	118461
161	mdp.39015008045257	233.7151135773445	1	Bowen, Elizabeth	The Death of the Heart	1938	Fiction-Novel	Female	White	Ireland	146332
1	aeu.ark:/13960/t19k5p86c	232.26805453998054	1	Bennett, Arnold	Leonora: A Novel	1903	Fiction-Novel	Male	White	Britain	92996
158	mdp.39015006194115	231.3629942056883	1	West, Rebecca	The Thinking Reed	1936	Fiction-Novel	Female	White	Ireland	146523
55	inu.30000020646570	231.05424570849635	1	Maugham, William Somerset	The Merry-Go-Round	1904	Fiction-Novel	Male	White	Britain	144122
560	umn.319510012033642	230.70495953310353	1	Gissing, George	The Unclassed	1884	Fiction-Novel	Male	White	Britain	160378
486	uc1.b3796889	229.6457331822778	1	Bennett, Arnold	Helen with the High Hand: An Idyllic Diversion	1910	Fiction-Novel	Male	White	Britain	65318
76	inu.32000004673150	229.3490794358768	1	Hardy, Thomas	The Trumpet-Major	1880	Fiction-Novel	Male	White	Britain	157838
383	pst.000057254876	228.633884656994	1	Greene, Graham	A Gun for Sale	1936	Fiction-Novel	Male	White	Britain	89663
572	uva.x030581232	228.46780576138633	1	Galsworthy, John	The Forsyte Saga	1922	Fiction-Novel	Male	White	Britain	390427
189	mdp.39015012924240	225.67856053674882	1	Green, Henry	Blindness	1926	Fiction-Novel	Male	White	Britain	81975
409	uc1.$b322675	225.6349261876445	1	Bennett, Arnold	Lilian 	1922	Fiction-Novel	Male	White	Britain	57172
249	mdp.39015046789809	225.59177556841087	1	Meredith, George	Diana of the Crossways	1885	Fiction-Novel	Male	White	Britain	186177
137	mdp.39015003681668	225.44634740554844	1	Galsworthy, John	To Let	1921	Fiction-Novel	Male	White	Britain	110004
14	coo.31924013586569	225.3030710344736	1	Bennett, Arnold	The City of Pleasure: A Fantasia on Modern Themes	1907	Fiction-Novel	Male	White	Britain	78117
233	mdp.39015031240875	224.98102569662828	1	Isherwood, Christopher	The Memorial	1932	Fiction-Novel	Male	White	Britain	73784
438	uc1.32106005288425	224.2876623842673	1	Grossmith, George	The Diary of a Nobody	1894	Fiction-Novel	Male	White	Britain	55732
542	uc2.ark:/13960/t3xs5n992	224.20128292956332	1	Ashford, Daisy	The Young Visiters	1919	Fiction-Novel	Female	White	Britain	16057
66	inu.30000117262042	223.78059978642253	1	Lawrence, D. H.	Lady Chatterley's Lover	1928	Fiction-Novel	Male	White	Britain	147019
41	hvd.32044021127915	223.17607868437918	1	Wells, H. G.	The Wife of Sir Isaac Harman	1914	Fiction-Novel	Male	White	Britain	151898
148	mdp.39015005100105	222.52021144278635	1	Jacobs, W. W.	Light Freights	1901	Fiction-Stories	Male	White	Britain	102912
220	mdp.39015030719705	222.46306542695746	1	Wells, H. G.	Twelve Stories and a Dream	1903	Fiction-Stories	Male	White	Britain	87655
488	uc1.b3811079	221.87386952851836	1	Bennett, Arnold	The Night Visitor, and Other Stories	1931	Fiction-Stories	Male	White	Britain	124395
472	uc1.b3575558	221.3477619281849	1	Yeats, William Butler	Adoration of the Magi	1897	Fiction-Stories	Male	White	Ireland	8132
104	mdp.39015000631930	221.2147965915067	1	Lawrence, D. H.	The Woman Who Rode Away, and Other Stories	1928	Fiction-Stories	Male	White	Britain	100807
207	mdp.39015019950834	220.7249070631967	1	Munro, Hector Hugh	Reginald in Russia, and Other Sketches	1910	Fiction-Stories	Male	White	South Asia	25824
27	coo1.ark:/13960/t3417ht19	220.67175077072918	1	Bennett, Arnold	Mr. Prohack	1922	Fiction-Novel	Male	White	Britain	154075
170	mdp.39015008988373	220.62620288222303	1	Conrad, Joseph	Tales of Hearsay	1925	Fiction-Stories	Male	White	Europe	42606
329	nyp.33433074926712	220.19964768056397	1	Benson, E. F.	Queen Lucia	1920	Fiction-Novel	Male	White	Britain	102180
269	mdp.39015058086136	219.0684827126394	1	Wells, H. G.	When the Sleeper Wakes: A Story of the Years to Come	1899	Fiction-Novel	Male	White	Britain	104990
371	pst.000032564228	218.96626297577842	1	Burnett, Frances Hodgston	Little Lord Fauntleroy	1886	Fiction-Novel	Female	White	Britain	73984
345	osu.32435061047858	216.57110941400444	1	Conan Doyle, Arthur	The Lost World	1912	Fiction-Novel	Male	White	Britain	87731
323	njp.32101068574498	216.1631802049712	1	Macaulay, Rose	Abbots Verney	1906	Fiction-Novel	Female	White	Britain	130457
303	mdp.49015000915224	215.6167690607459	1	Bennett, Arnold	Imperial Palace	1930	Fiction-Novel	Male	White	Britain	313983
102	mdp.39015000606981	215.41631544441267	1	Orwell, George	Coming up for Air	1939	Fiction-Novel	Male	White	South Asia	96093
490	uc1.b3811092	214.75256769374383	1	Bennett, Arnold	The Woman Who Stole Everything, and Other Stories	1927	Fiction-Stories	Male	White	Britain	107100
514	uc1.b4095551	213.05225386858035	1	Firbank, [Arthur Annesley] Ronald	Santal	1921	Fiction-Novel	Male	White	Britain	8918
142	mdp.39015004253061	212.58695031625192	1	Hornung, E. W.	The Amateur Cracksman	1899	Fiction-Stories	Male	White	Britain	133122
