Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	623.7547656285942	781.0213163074849	938.2878669863755	Hathi	274.7286551500783	279.42079149934915	284.11292784862	1.4555327351873924e-63	###
Foreign	623.7547656285942	781.0213163074849	938.2878669863755	London	238.09237936602568	272.1152283734785	306.1380773809313	7.952095851001014e-15	###
Foreign	623.7547656285942	781.0213163074849	938.2878669863755	Prominent	268.8904231232108	288.3336488727591	307.77687462230745	1.732628242868317e-27	###
Hathi	274.7286551500783	279.42079149934915	284.11292784862	London	238.09237936602568	272.1152283734785	306.1380773809313	0.7091713860994759	
Hathi	274.7286551500783	279.42079149934915	284.11292784862	Prominent	268.8904231232108	288.3336488727591	307.77687462230745	0.4799142563669647	
London	238.09237936602568	272.1152283734785	306.1380773809313	Prominent	268.8904231232108	288.3336488727591	307.77687462230745	0.3918329594435096	
