Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.0003854287888139835	0.001831189481391471	0.0032769501739689584	Hathi	0.003242139743529415	0.0035270398803254237	0.0038119400171214325	0.2024084248474484	
Foreign	0.0003854287888139835	0.001831189481391471	0.0032769501739689584	London	0.004947343071237217	0.007284492795738323	0.00962164252023943	0.0005423478337179367	###
Foreign	0.0003854287888139835	0.001831189481391471	0.0032769501739689584	Prominent	0.007186968513693987	0.009098949609446962	0.011010930705199937	0.000817879970728333	###
Hathi	0.003242139743529415	0.0035270398803254237	0.0038119400171214325	London	0.004947343071237217	0.007284492795738323	0.00962164252023943	0.0006747035648570701	###
Hathi	0.003242139743529415	0.0035270398803254237	0.0038119400171214325	Prominent	0.007186968513693987	0.009098949609446962	0.011010930705199937	1.0263732927466295e-17	###
London	0.004947343071237217	0.007284492795738323	0.00962164252023943	Prominent	0.007186968513693987	0.009098949609446962	0.011010930705199937	0.3340198403059921	
