Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.007476652647588755	0.012683414834114384	0.017890177020640014	Hathi	0.008137732187792276	0.009005363360943713	0.00987299453409515	0.34691682149079717	
Foreign	0.007476652647588755	0.012683414834114384	0.017890177020640014	London	0.019462186454635565	0.057525702072213754	0.09558921768979195	0.03680405936312183	#
Foreign	0.007476652647588755	0.012683414834114384	0.017890177020640014	Prominent	0.01446476738117978	0.018291128237499146	0.022117489093818513	0.13355752747414482	
Hathi	0.008137732187792276	0.009005363360943713	0.00987299453409515	London	0.019462186454635565	0.057525702072213754	0.09558921768979195	1.079702294222694e-29	###
Hathi	0.008137732187792276	0.009005363360943713	0.00987299453409515	Prominent	0.01446476738117978	0.018291128237499146	0.022117489093818513	3.7173641359763866e-05	###
London	0.019462186454635565	0.057525702072213754	0.09558921768979195	Prominent	0.01446476738117978	0.018291128237499146	0.022117489093818513	0.0016959319423275458	##
