Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	535.9310989884024	617.1372597247009	698.3434204609995	Hathi	276.665279075383	280.55134869817374	284.43741832096447	1.182777411799705e-76	###
Foreign	535.9310989884024	617.1372597247009	698.3434204609995	London	249.50853583745143	273.0758011584945	296.6430664795376	3.0342033372677556e-17	###
Foreign	535.9310989884024	617.1372597247009	698.3434204609995	Prominent	254.63224675136482	267.18334581474613	279.7344448781275	2.5146921622254664e-43	###
Hathi	276.665279075383	280.55134869817374	284.43741832096447	London	249.50853583745143	273.0758011584945	296.6430664795376	0.6239655692505232	
Hathi	276.665279075383	280.55134869817374	284.43741832096447	Prominent	254.63224675136482	267.18334581474613	279.7344448781275	0.11178110516686522	
London	249.50853583745143	273.0758011584945	296.6430664795376	Prominent	254.63224675136482	267.18334581474613	279.7344448781275	0.6605226217674776	
