Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.38078756368413486	0.4245428458224459	0.4682981279607569	Hathi	0.3974915703550217	0.40208040922517096	0.40666924809532023	0.285316232744454	
Foreign	0.38078756368413486	0.4245428458224459	0.4682981279607569	London	0.6582469441149817	0.6854632536263771	0.7126795631377724	4.008872417534623e-22	###
Foreign	0.38078756368413486	0.4245428458224459	0.4682981279607569	Prominent	0.446011214995208	0.46402959726961596	0.4820479795440239	0.0752718324788706	
Hathi	0.3974915703550217	0.40208040922517096	0.40666924809532023	London	0.6582469441149817	0.6854632536263771	0.7126795631377724	1.523370420841398e-55	###
Hathi	0.3974915703550217	0.40208040922517096	0.40666924809532023	Prominent	0.446011214995208	0.46402959726961596	0.4820479795440239	6.336193705532573e-10	###
London	0.6582469441149817	0.6854632536263771	0.7126795631377724	Prominent	0.446011214995208	0.46402959726961596	0.4820479795440239	1.2403837511881502e-30	###
