	htid	spec_gb_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
183	mdp.39015011598300	0.0983606557377049	0.6029277570176611	Macaulay, Rose	Staying with Relations	1930	Fiction-Novel	Female	White	Britain	100486
256	mdp.39015053044510	0.09649122807017536	1.5910784913441955	Wells, H. G.	The Sea Lady: A Tissue of Moonshine	1902	Fiction-Novel	Male	White	Britain	71163
152	mdp.39015005691608	0.09523809523809525	0.4013857048225087	James, Henry	The Sense of the Past	1917	Fiction-Novel	Male	White	Us	103927
168	mdp.39015008922083	0.09375	0.40415969195063267	Isherwood, Christopher	Mr Norris Changes Trains	1935	Fiction-Novel	Male	White	Britain	78639
533	uc2.ark:/13960/t1cj8gv9c	0.09374999999999999	0.43118006831145694	Conrad, Joseph	Within the Tides: Tales	1915	Fiction-Stories	Male	White	Europe	73711
33	gri.ark:/13960/t3kw8z43q	0.09285714285714296	2.106138559200295	Ford, Ford Madox	Ladies Whose Bright Eyes	1911	Fiction-Novel	Male	White	Britain	132042
66	inu.30000117262042	0.09248554913294803	1.168728515669722	Lawrence, D. H.	Lady Chatterley's Lover	1928	Fiction-Novel	Male	White	Britain	147019
339	osu.32435017894775	0.0924657534246577	1.7759674796214657	Wells, H. G.	Mr. Britling Sees it Through	1916	Fiction-Novel	Male	White	Britain	163301
425	uc1.32106001975207	0.0909090909090909	0.09544337718300475	Compton-Burnett, Ivy	Men and Wives	1931	Fiction-Novel	Female	White	Britain	114469
507	uc1.b4091384	0.09090909090909083	0.7702331508940947	Lawrence, D. H.	The Lost Girl	1920	Fiction-Novel	Male	White	Britain	170213
217	mdp.39015030719648	0.09063444108761344	4.246898954861374	Wells, H. G.	The Secret Places of the Heart	1922	Fiction-Novel	Male	White	Britain	77410
428	uc1.32106001987129	0.08974358974358974	0.8929889735609643	Greene, Graham	The Man Within	1929	Fiction-Novel	Male	White	Britain	86754
264	mdp.39015055599784	0.08928571428571433	0.6598539526970272	Forster, E. M.	A Room With a View	1908	Fiction-Novel	Male	White	Britain	84291
408	uc1.$b439708	0.08695652173913045	0.5221923306931158	Bowen, Elizabeth	Encounters	1925	Fiction-Stories	Female	White	Ireland	43746
37	hvd.32044011328713	0.08695652173913042	0.5679859195529737	Lawrence, D. H.	England, My England	1922	Fiction-Stories	Male	White	Britain	80438
187	mdp.39015012924240	0.08474576271186444	1.42968902630607	Green, Henry	Blindness	1926	Fiction-Novel	Male	White	Britain	81975
426	uc1.32106001976155	0.08333333333333337	0.2899153762413263	Conrad, Joseph	Youth: A Narrative, and Two Other Stories	1902	Fiction-Stories	Male	White	Europe	123331
549	uc2.ark:/13960/t9h41nk9h	0.08333333333333334	0.4309793254529886	Macaulay, Rose	Mystery at Geneva	1922	Fiction-Novel	Female	White	Britain	55309
34	hvd.32044004999371	0.08333333333333331	0.5700798907405349	Wells, H. G.	The History of Mr. Polly	1910	Fiction-Novel	Male	White	Britain	83627
85	inu.39000001020226	0.08247422680412371	1.8884906764460594	Bowen, Elizabeth	The House in Paris	1935	Fiction-Novel	Female	White	Ireland	102030
351	pst.000010073353	0.08181818181818179	0.56562680259075	Conrad, Joseph	Romance: A Novel	1903	Fiction-Novel	Male	White	Europe	193154
251	mdp.39015048709714	0.08000000000000004	0.41132377677179965	de la Mare, Walter	Memoirs of a Midget	1921	Fiction-Novel	Male	White	Britain	181100
552	uiug.30112041393841	0.07964601769911503	1.6651860750680432	Bennett, Arnold	The Lion's Share	1916	Fiction-Novel	Male	White	Britain	134799
88	inu.39000001458897	0.07926829268292652	3.3895476964851645	Kipling, Rudyard	Puck of Pook's Hill	1906	Fiction-Stories	Male	White	South Asia	96111
130	mdp.39015003675322	0.07883817427385906	2.0307075889759347	Ford, Ford Madox	Ladies Whose Bright Eyes (heavily revised)	1935	Fiction-Novel	Male	White	Britain	117872
122	mdp.39015002711458	0.07692307692307693	0.18840985799967866	Powys, Theodore Francis	Mockery Gap	1925	Fiction-Novel	Male	White	Britain	68530
132	mdp.39015003676882	0.07692307692307693	0.36644607829481995	Forster, E. M.	The Eternal Moment and Other Stories	1928	Fiction-Stories	Male	White	Britain	35235
356	pst.000021106644	0.07547169811320753	0.9469180278795172	Maugham, William Somerset	Ashenden: Or, The British Agent	1928	Fiction-Stories	Male	White	Britain	111182
223	mdp.39015030738325	0.07407407407407406	0.626572231837526	Firbank, [Arthur Annesley] Ronald	The Flower Beneath the Foot	1923	Fiction-Novel	Male	White	Britain	42799
453	uc1.32106014703547	0.07222222222222224	0.9682190046689076	Lawrence, D. H.	Kangaroo	1923	Fiction-Novel	Male	White	Britain	184646
118	mdp.39015002709866	0.06818181818181818	0.5160993879144679	Powys, John Cowper	Ducdame	1925	Fiction-Novel	Male	White	Britain	169352
334	nyp.33433107875183	0.06666666666666667	0.5356540896226439	Garnett, David	Lady Into Fox	1922	Fiction-Novel	Male	White	Britain	27813
531	uc2.ark:/13960/t0wp9wh4k	0.062499999999999986	0.41368659883513575	Mansfield, Katherine	In a German Pension	1911	Fiction-Novel	Female	White	Australasia	38414
39	hvd.32044018987289	0.05747126436781606	0.9833424798187462	Maugham, William Somerset	The Hero	1901	Fiction-Novel	Male	White	Britain	87873
518	uc1.b4410171	0.057142857142857134	0.3641904584995518	Conrad, Joseph	Suspense: A Napoleonic Novel	1925	Fiction-Novel	Male	White	Europe	95451
106	mdp.39015000666704	0.05555555555555561	0.824696772470223	Ford, Ford Madox	The Good Soldier	1915	Fiction-Novel	Male	White	Britain	86712
389	uc1.$b243988	0.05555555555555555	0.1808832473350754	Powys, Theodore Francis	Mr. Weston's Good Wine	1927	Fiction-Novel	Male	White	Britain	98836
111	mdp.39015002164583	0.05336617405582901	2.267712832514615	Powys, John Cowper	A Glastonbury Romance	1932	Fiction-Novel	Male	White	Britain	533458
124	mdp.39015002711649	0.05263157894736842	0.2934058871929322	Powys, Theodore Francis	Captain Patch: Twenty-One Stories	1935	Fiction-Stories	Male	White	Britain	64317
79	inu.32000005560356	0.05063291139240507	2.361084955021852	Conrad, Joseph	The Nigger of the Narcissus	1897	Fiction-Novel	Male	White	Europe	33232
179	mdp.39015010701871	0.04761904761904764	0.2749242885158625	Chesterton, G. K.	The Secret of Father Brown	1927	Fiction-Novel	Male	White	Britain	75866
317	mdp.49015001441162	0.047619047619047616	0.16154881590396047	Schreiner, Olive	The Story of an African Farm	1883	Fiction-Novel	Female	White	Sub-Saharan Africa	129109
120	mdp.39015002710260	0.04761904761904761	0.6699022345445459	Powell, Anthony	Venusberg	1932	Fiction-Novel	Male	White	Britain	62270
344	pst.000000657853	0.04624277456647402	0.7865693944364444	Graves, Robert	Claudius the God	1934	Fiction-Novel	Male	White	Britain	218449
293	mdp.39015092894172	0.04347826086956522	0.39854540804810074	Douglas, Norman [George]	Unprofessional Tales	1901	Fiction-Stories	Male	White	Europe	57318
545	uc2.ark:/13960/t8rb78c05	0.04347826086956521	0.2610275461178203	Buchan, John	Prester John	1910	Fiction-Novel	Male	White	Britain	87515
