Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	-0.00028781618599437115	0.0022614715372061456	0.004810759260406663	Hathi	0.002328510423613489	0.0030572457691523773	0.0037859811146912655	0.8081948018558356	
Foreign	-0.00028781618599437115	0.0022614715372061456	0.004810759260406663	London	0.0063188404727227004	0.04442976037265613	0.08254068027258955	0.0486580045654318	#
Foreign	-0.00028781618599437115	0.0022614715372061456	0.004810759260406663	Prominent	0.001770982543735183	0.0031502070566288764	0.00452943156952257	0.5349900774491042	
Hathi	0.002328510423613489	0.0030572457691523773	0.0037859811146912655	London	0.0063188404727227004	0.04442976037265613	0.08254068027258955	3.383441052643222e-27	###
Hathi	0.002328510423613489	0.0030572457691523773	0.0037859811146912655	Prominent	0.001770982543735183	0.0031502070566288764	0.00452943156952257	0.9602840736391778	
London	0.0063188404727227004	0.04442976037265613	0.08254068027258955	Prominent	0.001770982543735183	0.0031502070566288764	0.00452943156952257	0.0007044266437137163	###
