Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.15546550482035373	0.17415845600071814	0.19285140718108254	Hathi	0.2157246279157884	0.2188314389641379	0.2219382500124874	0.0016271674194706643	##
Foreign	0.15546550482035373	0.17415845600071814	0.19285140718108254	London	0.3722330974598201	0.4024887703813633	0.43274444330290657	6.641900703863456e-26	###
Foreign	0.15546550482035373	0.17415845600071814	0.19285140718108254	Prominent	0.25731215543248553	0.2707421726938484	0.2841721899552113	4.557914275400717e-10	###
Hathi	0.2157246279157884	0.2188314389641379	0.2219382500124874	London	0.3722330974598201	0.4024887703813633	0.43274444330290657	2.8329758457649776e-50	###
Hathi	0.2157246279157884	0.2188314389641379	0.2219382500124874	Prominent	0.25731215543248553	0.2707421726938484	0.2841721899552113	2.7658998375891527e-14	###
London	0.3722330974598201	0.4024887703813633	0.43274444330290657	Prominent	0.25731215543248553	0.2707421726938484	0.2841721899552113	1.3623891327077613e-17	###
