Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	[ 51.49531652  -0.1647855 ]	[ 51.50357185  -0.14789986]	[ 51.51182718  -0.13101422]	Hathi	[ 51.50378538  -0.14687272]	[ 51.50460071  -0.14526423]	[ 51.50541604  -0.14365574]	[ 0.82115684  0.76916423]	
Foreign	[ 51.49531652  -0.1647855 ]	[ 51.50357185  -0.14789986]	[ 51.51182718  -0.13101422]	London	[ 51.50761166  -0.13190539]	[ 51.51040343  -0.12456455]	[ 51.51319521  -0.11722371]	[ 0.04425251  0.0047678 ]	##
Foreign	[ 51.49531652  -0.1647855 ]	[ 51.50357185  -0.14789986]	[ 51.51182718  -0.13101422]	Prominent	[ 51.5019215   -0.15980341]	[ 51.50414635  -0.15477701]	[ 51.50637119  -0.14975061]	[ 0.88874338  0.45572782]	
Hathi	[ 51.50378538  -0.14687272]	[ 51.50460071  -0.14526423]	[ 51.50541604  -0.14365574]	London	[ 51.50761166  -0.13190539]	[ 51.51040343  -0.12456455]	[ 51.51319521  -0.11722371]	[  1.94652467e-02   2.60418099e-05]	###
Hathi	[ 51.50378538  -0.14687272]	[ 51.50460071  -0.14526423]	[ 51.50541604  -0.14365574]	Prominent	[ 51.5019215   -0.15980341]	[ 51.50414635  -0.15477701]	[ 51.50637119  -0.14975061]	[  7.36402436e-01   4.16276748e-04]	###
London	[ 51.50761166  -0.13190539]	[ 51.51040343  -0.12456455]	[ 51.51319521  -0.11722371]	Prominent	[ 51.5019215   -0.15980341]	[ 51.50414635  -0.15477701]	[ 51.50637119  -0.14975061]	[  6.18565272e-03   1.66777928e-08]	###
