	author	spec_gb_subcity	weight	pub_date_avg	books	wordcount	ethnicity
35	Hall, Radclyffe	0.1708542713567839	1.010169492753632	1928.0	1	195659	White
56	Mansfield, Katherine	0.1695765850843501	1.8004993761340022	1921.6666666666667	6	378856	White
68	Powys, John Cowper	0.16249441839843917	8.839722801307735	1929.3333333333333	9	2518278	White
40	Household, Geoffrey	0.1600000000000001	1.793989171468241	1939.0	1	69204	White
49	Lawrence, D. H.	0.15567068675549386	12.380192030996621	1921.7368421052631	19	2621119	White
16	Childers, Erskine	0.15384615384615366	0.8710603500450649	1903.0	1	133407	White
48	Kipling, Rudyard	0.15097743075066014	9.603379284817185	1897.6	10	1020993	White
80	Smith, Stevie	0.15086898866176474	3.9761815684472004	1937.0	2	146889	White
1	Allen, Grant	0.1507726086907514	8.000139365576944	1897.2	5	414878	White
74	Rolfe, Frederick	0.1425773435292557	2.555576287083629	1908.4	5	556712	White
10	Bentley, E. C.	0.1358024691358024	0.9285548805545112	1913.0	1	86640	White
99	du Maurier, Daphne	0.12612612612612606	0.5717427161446494	1938.0	1	192825	White
83	Thomas, Edward	0.11695906432748526	2.0720649783970244	1913.0	1	81966	White
93	White, T. H.	0.11111111111111109	0.3263022985199495	1939.0	1	109578	White
32	Green, Henry	0.10731738698647245	1.7491475345746863	1932.5	2	156592	White
63	Nesbit, Edith	0.10000000000000002	0.26590539006701275	1906.0	1	74704	White
98	de la Mare, Walter	0.08000000000000004	0.41132377677179965	1921.0	1	181100	White
17	Christie, Agatha	0.07242681220863471	0.5118961031641541	1930.0	2	166406	White
28	Garnett, David	0.06666666666666667	0.5356540896226439	1922.0	1	27813	White
62	Myers, L. H.	0.05521136728717776	2.1295639834446405	1930.5	6	683667	White
31	Graves, Robert	0.050516610565353046	0.8229745191430716	1934.0	2	409424	White
77	Schreiner, Olive	0.047619047619047616	0.16154881590396047	1883.0	1	129109	White
67	Powell, Anthony	0.04761904761904761	0.6699022345445459	1932.0	1	62270	White
89	Webb, Mary	0.032100409882113934	0.5467668411247637	1920.5	2	228558	White
30	Grahame, Kenneth	0.0	0.05647810374754027	1908.0	1	70343	White
53	MacDonald, George	0.0	0.08853320969633252	1883.0	1	67311	White
66	Potter, Beatrix	0.0	0.6178599147609992	1902.0	1	3215	White
