Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.0011002036547342344	0.003900616500766756	0.0067010293467992775	Hathi	0.0032952805857478324	0.0038648652893915813	0.00443444999303533	0.988877638359541	
Foreign	0.0011002036547342344	0.003900616500766756	0.0067010293467992775	London	0.0033245793439741246	0.009092454917671793	0.01486033049136946	0.13452780406796308	
Foreign	0.0011002036547342344	0.003900616500766756	0.0067010293467992775	Prominent	0.0016364937781094544	0.002917021240971387	0.0041975487038333195	0.48134345054652095	
Hathi	0.0032952805857478324	0.0038648652893915813	0.00443444999303533	London	0.0033245793439741246	0.009092454917671793	0.01486033049136946	0.025952925868571446	#
Hathi	0.0032952805857478324	0.0038648652893915813	0.00443444999303533	Prominent	0.0016364937781094544	0.002917021240971387	0.0041975487038333195	0.5164348007369731	
London	0.0033245793439741246	0.009092454917671793	0.01486033049136946	Prominent	0.0016364937781094544	0.002917021240971387	0.0041975487038333195	0.0034099827066368963	##
