Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	-0.0002693116852083739	0.0054873137448801235	0.01124393917496862	Hathi	0.00427765092459121	0.0048374877137263945	0.005397324502861579	0.8183821180416435	
Foreign	-0.0002693116852083739	0.0054873137448801235	0.01124393917496862	London	0.0031246694455147207	0.011666631251175851	0.020208593056836983	0.34278621044040425	
Foreign	-0.0002693116852083739	0.0054873137448801235	0.01124393917496862	Prominent	0.006707311908353149	0.008941583837043693	0.011175855765734235	0.3251979641343966	
Hathi	0.00427765092459121	0.0048374877137263945	0.005397324502861579	London	0.0031246694455147207	0.011666631251175851	0.020208593056836983	0.0008852166023717265	###
Hathi	0.00427765092459121	0.0048374877137263945	0.005397324502861579	Prominent	0.006707311908353149	0.008941583837043693	0.011175855765734235	4.7331407722706425e-05	###
London	0.003124669445514724	0.011666631251175855	0.020208593056836983	Prominent	0.006707311908353149	0.008941583837043693	0.011175855765734235	0.3839451751405648	
