Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.002590836283088783	0.004947502310293191	0.007304168337497599	Hathi	0.0035377350307787482	0.003838920335232891	0.004140105639687034	0.4316815306837445	
Foreign	0.002590836283088783	0.004947502310293191	0.007304168337497599	London	0.005085624609038379	0.009246437230918657	0.013407249852798935	0.11795532887395085	
Foreign	0.002590836283088783	0.004947502310293191	0.007304168337497599	Prominent	0.006540278004536968	0.008179554689547688	0.009818831374558409	0.09102468277480813	
Hathi	0.0035377350307787482	0.003838920335232891	0.004140105639687034	London	0.005085624609038379	0.009246437230918657	0.013407249852798935	5.529069906445696e-06	###
Hathi	0.0035377350307787482	0.003838920335232891	0.004140105639687034	Prominent	0.006540278004536968	0.008179554689547688	0.009818831374558409	1.008338853146494e-10	###
London	0.005085624609038379	0.009246437230918657	0.013407249852798935	Prominent	0.006540278004536968	0.008179554689547688	0.009818831374558409	0.5757895507633719	
