Group 1	Low 1	Mean 1	High 1	Group 2	Low 2	Mean 2	High 2	p-value	sig
Foreign	0.0009927906932756525	0.009147562959647547	0.01730233522601944	Hathi	0.002603542395148219	0.003025297818447643	0.003447053241747067	0.004593290583446431	##
Foreign	0.0009927906932756525	0.009147562959647547	0.01730233522601944	London	0.0025758012546530755	0.007157969076604472	0.011740136898555869	0.6462589431261492	
Foreign	0.0009927906932756525	0.009147562959647547	0.01730233522601944	Prominent	0.0049254236135661995	0.006837504298294487	0.008749584983022774	0.46854588417534226	
Hathi	0.002603542395148219	0.003025297818447643	0.003447053241747067	London	0.0025758012546530764	0.007157969076604472	0.011740136898555867	0.006260883262752756	##
Hathi	0.002603542395148219	0.003025297818447643	0.003447053241747067	Prominent	0.0049254236135661995	0.006837504298294487	0.008749584983022774	8.13815680046535e-07	###
London	0.0025758012546530755	0.007157969076604472	0.011740136898555869	Prominent	0.0049254236135661995	0.006837504298294487	0.008749584983022774	0.888928732518043	
