	htid	pub_date_htrc	title_htrc
1010	uc2.ark:/13960/t2k64gm5g	1921	Deadlock/Richardson, Dorothy M. (Dorothy Miller),
1011	uc1.$b244474	1923	Revolving lights/Richardson, Dorothy Miller,
1012	uc1.b3346991	1925	The trap/(Dorothy Miller), Richardson, Dorothy M.
1013	uc1.$b244475	1931	Dawn's left hand/Richardson, Dorothy Miller,
1014			
1015			
1016			
1017			
1018	uc1.b3327156		
1019	hvd.hn5pqd	1896	A clever wife/(William Pett), Ridge, W. Pett
1020	uc2.ark:/13960/t26971q18	1896	The second opportunity of Mr. Staplehurst;/(William Pett), Ridge, W. Pett
1021			
1022			
1023	uiug.30112052915037	1898	Mord Em'ly/(William Pett), Ridge, W. Pett
1024	iau.31858024419412	1913	A son of the state/Ridge, William Pett,
1025	uiug.30112052915128	1899	Outside the radius/(William Pett), Ridge, W. Pett
1026	nyp.33433112051077	1900	A breaker of laws/(William Pett), Ridge, W. Pett
1027	hvd.32044086836491	1901	London only/(William Pett), Ridge, W. Pett
1028			
1029	uiug.30112051972989	1903	Erb/(William Pett), Ridge, W. Pett
1030	uc1.b3562130	    	George and the general/(William Pett), Ridge, W. Pett
1031			
1032			
1033			
1034			
1035	nyp.33433066620364	1908	Speaking rather seriously/(William Pett), Ridge, W. Pett
1036	nyp.33433081588182	1907	Name of Garland/(William Pett), Ridge, W. Pett
1037			
1038			
1039	mdp.39015063952645	1912	Love at Paddington/Ridge, W. Pett (William Pett),
1040			
1041	uiug.30112051972997	1915	The happy recruit/(William Pett), Ridge, W. Pett
1042	uiug.30112051973003	1915	The Kennedy people/(William Pett), Ridge, W. Pett
1043			
1044	uiug.30112052915045	1916	Madame Prince/(William Pett), Ridge, W. Pett
1045	uc2.ark:/13960/t4wh2gq5h	1917	The amazing years/(William Pett), Ridge, W. Pett
1046			
1047	nyp.33433112051069	1919	The bustling hours/(William Pett), Ridge, W. Pett
1048			
1049			
1050			
1051			
1052			
1053			
1054			
1055			
1056	mdp.39015029559997	1985	The unbelonging/Riley, Joan.
1057			
1058			
1059			
1060	none		
1061			
1062			
1063			
1064	coo1.ark:/13960/t88g95z7q	1919	Dope/Rohmer, Sax,
1065			
1066			
1067	hvd.32044080925282	1899	The Hooligan nights;/Rook, Clarence,
1068			
1069			
1070	nyp.33433112050806	1869	A London romance/Ross, Charles H. (Charles Henry),
1071			
1072			
1073			
1074			
1075			
1076			
1077			
1078	mdp.39015028443581	1960	Escape to an autumn pavement/Salkey, Andrew
1079	mdp.39015002758822	1969	The adventures of Catullus Kelly/Salkey, Andrew.
1080			
1081	hvd.hn2zic	1909	The power of gold/Sangster, Rena Urania Nott.
1082	uc1.b3139739	1958	The cautious heart/Sansom, William,
1083			
1084	uc1.32106017532224	1928	Lord Peter views the body/(Dorothy Leigh), Sayers, Dorothy L.
1085	mdp.39015054072536	1959	Murder must advertise/(Dorothy Leigh), Sayers, Dorothy L.
1086	mdp.39015008672498	1960	Gaudy night/Sayers, Dorothy L. (Dorothy Leigh),
1087			
1088			
1089			
1090			
1091			
1092			
1093	uc1.$b244904	1956	The lonely Londoners/Selvon, Samuel.
1094	uc1.$b244907	1957	Ways of sunlight/Selvon, Samuel.
1095	mdp.39015005596922	1965	The housing lark/Selvon, Samuel.
1096	mdp.39015046410471	1975	Moses ascending/Selvon, Samuel.
1097			
1098			
1099	uc1.$b149282	    	The wind shifts/Sharp, Alan.
1100			
1101			
1102	uc2.ark:/13960/t4th8dd8r	1907	The good comrade/(Una Lucy), Silberrad, Una L.
1103			
1104	nyp.33433044609513	1901	Princess Puck/Silberrad, Una L.,
1105	uc2.ark:/13960/t6rx95b11	1908	Desire/Silberrad, Una Lucy,
1106	nyp.33433115575536	1909	Ordinary people/Silberrad, Una L.,
1107			
1108	uc2.ark:/13960/t3vt1xp7j	1902	Living London; its work and its play, its humour and and its pathos, its sights and its scenes;/Sims, George Robert,
1109			
1110	hvd.hn1ric	1900	In London's heart/Sims, George Robert,
1111	mdp.39015030712072	1964	The Raker/Sinclair, Andrew.
1112	mdp.39015060120980	2004	White Chappell, scarlet tracings/Sinclair, Iain.
1113	inu.30000029791955	1991	Downriver, (or the vessels of wrath)/Sinclair, Iain,
1114	mdp.39015032216973	1994	Radon daughters/Sinclair, Iain.
1115			
1116			
1117			
1118			
1119			
1120			
1121			
1122	uiuo.ark:/13960/t3rv16c0v	1845	The fortunes of the Scattergood family/Smith, Albert,
1123	mdp.39015002148933	1969	Novel on yellow paper;/Smith, Stevie,
1124			
1125			
1126			
1127	mdp.39015029491399	1983	Sumitra's story/Smith, Rukshana.
1128			
1129			
1130			
1131	uc2.ark:/13960/t1td9q74t	1911	Henry Northcote/Snaith, John Collis.
1132	hvd.hnsy5x	1907	William Jordan Junior/(John Collis), Snaith, J. C.
1133	uc1.$b312551	1909	Araminta/(John Collis), Snaith, J. C.
1134	nyp.33433112053925	1912	The principal girl/(John Collis), Snaith, J. C.
1135			
1136			
1137			
1138			
1139			
1140	mdp.39015000609530	1960	The ballad of Peckham Rye/Spark, Muriel.
1141	mdp.39076005050799	1963	The girls of slender means/Spark, Muriel.
1142	mdp.39015017696298	1990	A far cry from Kensington/Spark, Muriel.
1143	mdp.39015019579385	1990	Symposium/Spark, Muriel.
1144			
1145			
1146			
1147			
1148			
1149			
1150			
1151			
1152			
1153			
1154			
1155			
1156			
1157			
1158			
1159			
1160			
1161			
1162			
1163			
1164			
1165			
1166			
1167			
1168			
1169			
1170			
1171			
1172	none		
1173	none		
1174	none		
1175	none		
1176			
1177			
1178			
1179			
1180	mdp.39015008889852	1961	Flight into Camden/Storey, David,
1181			
1182			
1183			
1184			
1185			
1186			
1187			
1188			
1189	uiug.30112055289364	    	Alone in London/Stretton, Hesba,
1190			
1191	mdp.39015047645919	1806	A winter in London;/Surr, T. S. (Thomas Skinner),
1192			
1193			
1194			
1195	mdp.39015066062780	1961	In a summer season/Taylor, Elizabeth,
1196			
1197			
1198	inu.32000001889098	1929	Kif/Tey, Josephine,
1199	pst.000016290648	1967	The expensive halo/Tey, Josephine,
1200	mdp.39015008818026	1953	The man in the queue/Tey, Josephine,
1201			
1202			
1203			
1204	yale.39002067738550	1906	The heart of England/Thomas, Edward,
1205	uiug.30112056502336	1913	The happy-go-lucky Morgans/Thomas, Edward,
1206			
1207	mdp.39015050112039	2000	Bad girls, good women/Thomas, Rosie.
1208			
1209			
1210			
1211			
1212			
1213			
1214			
1215			
1216			
1217			
1218			
1219			
1220	uc2.ark:/13960/t45q4zm6r	1921	London river/(Henry Major), Tomlinson, H. M.
1221			
1222			
1223			
1224	uc1.b3472564	1977	The man from next door/Tracy, Honor,
1225	mdp.39015018619703	1964	The Old Boys/Trevor, William,
1226	uc1.$b114014	1965	The boarding house/Trevor, William,
1227	uc1.32106002037619	1973	Elizabeth alone/Trevor, William,
1228	uc2.ark:/13960/t8mc93k14	1860	The three clerks/Trollope, Anthony,
1229	hvd.32044100881291	1865	Can you forgive her?/Trollope, Anthony,
1230			
1231	mdp.39015029211698	1991	Plague/Ure, Jean.
1232			
1233			
1234			
1235			
1236			
1237			
1238			
1239			
1240	mdp.39015008627278	1962	Strike the father dead;/Wain, John.
1241	mdp.39015008442041	1967	The smaller sky/Wain, John.
1242			
1243			
1244	hvd.32044051096691	1920	The four just men/Wallace, Edgar,
1245	inu.32000002536631	1929	The dark eyes of London/Wallace, Edgar,
1246			
1247			
1248	uiuo.ark:/13960/t19k7mj5d	1900	Fortitude/Walpole, Hugh, Sir,
1249			
1250	hvd.hn1k74	1893	St. Dunstan's clock/Ward, E.
1251	uiuo.ark:/13960/t1mg86494	1887	Scheherazade/Warden, Florence,
1252			
1253			
1254	uc1.b4948663	1978	Office life/Waterhouse, Keith.
1255	mdp.39015001032708	1981	Maggie Muggins, or, Spring in Earl's court/Waterhouse, Keith.
1256	mdp.39015058278451	2000	Tipping the velvet/Waters, Sarah,
1257			
1258	uc1.$b245197	1930	Kept/Waugh, Alec,
1259	mdp.39015002240011	1935	Decline and fall/Waugh, Evelyn,
1260	uc1.32106018261005	1930	Vile bodies/Waugh, Evelyn,
1261			
1262			
1263	mdp.39015034410863	1993	Affliction/Weldon, Fay.
1264	inu.30000123121687	1994	Trainspotting/Welsh, Irvine.
1265	uc1.32106002021076	1929	Harriet Hume/Dame, West, Rebecca,
1266	mdp.39015008654223	1956	The fountain overflows/West, Rebecca,
1267			
1268	mdp.39015019834715	1991	The women of Whitechapel and Jack the Ripper/West, Paul,
1269	chi.19672485	1888	"""Ten o'clock,""/Whistler, James McNeill,"
1270			
1271			
1272	dul1.ark:/13960/t13n2vj0t	1888	The island, or, An adventure of a person of quality/Whiteing, Richard,
1273	uc2.ark:/13960/t4jm27x38	1899	No. 5 John street/Whiteing, Richard,
1274	uc2.ark:/13960/t0cv4f15k	1903	The yellow van/Whiteing, Richard,
1275	coo1.ark:/13960/t4cn7nv2j	1906	Ring in the new/Whiteing, Richard,
1276	coo.31924013569987	1907	All moonshine/Whiteing, Richard,
1277	uc2.ark:/13960/t0rr1rq60	1909	Little people/Whiteing, Richard,
1278	nyp.33433075767602	186u	The Bohemians of London/Whitty, Edward Michael,
1279			
1280			
1281			
1282			
1283			
1284			
1285			
1286			
1287			
1288			
1289			
1290			
1291			
1292			
1293	mdp.39015066681399	1951	The dark lantern/Williamson, Henry,
1294			
1295	inu.30000007046091	1961	Adrift in Soho/Wilson, Colin,
1296			
1297			
1298	mdp.39015005188258	1977	The sweets of Pimlico/Wilson, A. N.,
1299			
1300	uc1.32106015455451	1991	Sexing the cherry/Winterson, Jeanette,
1301			
1302	mdp.39015000610488	1919	Night and day/Woolf, Virginia,
1303	mdp.39015013962207	1925	Mrs. Dalloway/Woolf, Virginia,
1304			
1305			
1306			
1307			
1308			
1309			
1310			
1311			
1312			
1313	uiuo.ark:/13960/t5j96p02r	1892	A romance of modern London/Yorke, Curtis.
1314			
1315	hvd.hwpand	1892	Children of the Ghetto/Zangwill, Israel,
1316	hvd.hw7jde	1899	Ghetto tragedies/Zangwill, Israel,
1317	coo1.ark:/13960/t74t7560n	1907	Ghetto comedies/Zangwill, Israel,
1318			
