	a_last	a_first	htid	pub_date	title	imprint	genre	genre_notes	gender_guess	gender_known	white	race	origin_area	origin_nation	origin_notes	religion	uni_degree	bib_source	notes	entered	ignore	notes_ignore	pub_date_htrc	title_htrc
61	Bailey	Hilary	mdp.39015028752544	1988.0	As Time Goes By									Britain - England				DKM Snell					1988	As time goes by/Bailey, Hilary,
62	Bailey	HIlary	mdp.39015019639668	1990.0	In Search of Love, Money and Revenge									Britain - England				DKM Snell					1990	In search of love, money & revenge/Bailey, Hilary,
63	Bailey 	Hilary		1978.0	Mrs. Mulvaney									Britain - England				DKM Snell						
64	Bainbridge	Beryl		1975.0	The Bottle-Factory Outing									Britain - England				DKM Snell						
65	Bainbridge	Beryl	mdp.39015051321019	1976.0	Sweet William									Britain - England				DKM Snell					1975	Sweet William/Bainbridge, Beryl,
66	Bainbridge	Beryl	inu.30000120966423	1978.0	Injury Time									Britain - England				DKM Snell					1977	Injury time/Bainbridge, Beryl,
67	Bainbridge	Beryl	mdp.39015030848918	1979.0	Young Adolf									Britain - England				DKM Snell					1979	Young Adolf/Bainbridge, Beryl,
68	Bainbridge	Beryl	pst.000012773596	1984.0	Watson's Apology									Britain - England				DKM Snell					1985	Watson's apology/Bainbridge, Beryl,
69	Baker	Henry Barton	uc2.ark:/13960/t1zc7tb4j	1899.0	Stories of the Streets of London									Britain - England				DKM Snell					1899	Stories of the streets of London/Baker, Henry Barton,
70	Ballantyne	R. M.		1877.0	The Fire Brigade; or Fighting the Flames, a Tale									Britain - Scotland				DKM Snell						
71	Ballard	J. G.	pst.000068121068	1973.0	Crash									Britain - England				DKM Snell					1975	Crash/Ballard, J. G.,
72	Ballard	Martin		1973.0	Dockie									Britain - England				DKM Snell						
73	Banks	Lynne Reid	inu.32000009191661	1961.0	The L-Shaped Room									Britain - England				DKM Snell					1960	The L-shaped room/Banks, Lynne Reid,
74	Banks	Lynne Reid	mdp.39015017682173	1981.0	The Writing on the Wall									Britain - England				DKM Snell					1981	The writing on the wall/Banks, Lynne Reid,
75	Barclay	Nick		1997.0	Curvy Lovebox									Britain - England				DKM Snell						
76	Bardwell	Leland		1981.0	The London Winter									Ireland				DKM Snell						
77	Baring	Maurice	loc.ark:/13960/t8bg36950	1922.0	The Puppet Show of Memory	%	Autobiography/Memoir							Britain - England				Literary London	Volume 2, issue 2, People dined against each other, Lorene Birden	Patrick Evans			1922	The puppet show of memory/Baring, Maurice,
78	Barker	Nicola		1995.0	Smallholdings									Britain - England				DKM Snell						
79	Barnard	Simon		1971.0	The Dragon of St. Pancras									Britain - England				DKM Snell						
80	Barnes	Julian	uc1.32106005224586	1980.0	Metroland									Britain - England				DKM Snell	writes crime fiction as Dan Kavanagh				1980	Metroland/Barnes, Julian.
81	Barnes	Trevor		1989.0	A Midsummer Killing									Unknown				DKM Snell						
82	Barnes 	Julian		1980.0	Duffy									Britain - England				DKM Snell	writes crime fiction as Dan Kavanagh					
83	Baron	Alexander		1963.0	Low Life									Britain - England				DKM Snell						
84	Baron	Alexander	mdp.39015051324146	1971.0	The In-Between Time									Britain - England				DKM Snell					1971	The in-between time/Baron, Alexander,
85	Barre	Jean		1939.0	The Jester of Mayfair									Unknown				DKM Snell						
86	Bayer	Valerie T.		1992.0	City of Childhood									Unknown				DKM Snell						
87	Beare 	Geraldine		1992.0	Short Stories from the Strand									Unknown				DKM Snell						
88	Bell	Adrian	uc1.b3796846	1934.0	The Balcony									Britain - England				DKM Snell					1936	The balcony/Bell, Adrian.
89	Bell	Josephine		1938.0	The Port of London Murders									Britain - England				DKM Snell	real name: Doris Bell Collier					
90	Bell	Adrian		1955.0	A Young Man's Fancy									Britain - England				DKM Snell						
91	Bell	Josephine		1963.0	A Flat Tyre in Fulham									Britain - England				DKM Snell	real name: Doris Bell Collier					
92	Benatar	Stephen		1981.0	The Man on the Bridge									Britain - England				DKM Snell						
93	Benatar	Stephen		1983.0	When I was Otherwise									Britain - England				DKM Snell						
94	Benison	C.C.		1996.0	Death at Buckingham Palace									Canadian				DKM Snell	real name: Doug Whiteway					
95	Bennett	Arnold	uc2.ark:/13960/t76t0p36c	1898.0	A Man From the North									Britain - England				DKM Snell					1911	A man from the North/Bennett, Arnold,
96	Bennett	Arnold	mdp.39015017642870	1923.0	Riceyman Steps									Britain - England				DKM Snell					1923	Riceyman steps;/Bennett, Arnold,
97	Bennetts	Pamela		1979.0	Footsteps in the Fog									Britain - England				DKM Snell	also published as Margaret James					
98	Benson	E. F.	uc2.ark:/13960/t1cj8g82c	1916.0	The Freaks of Mayfair									Britain - England				DKM Snell					1916	The freaks of Mayfair/Benson, E. F. (Edward Frederic),
99	Benson	E. F.	inu.30000067523815	1927.0	Lucia in London: a Novel									Britain - England				DKM Snell					1999	Lucia in London/(Edward Frederic), Benson, E. F.
100	Benson 	E. F.		1920.0	Lucia Rising									Britain - England				DKM Snell						
101	Benson 	E. F.	mdp.39015010905241	1937.0	Old London									Britain - England				DKM Snell					1937	Old London/Benson, E. F. (Edward Frederic),
102	Beresford	J. D.	inu.39000002775034	1933.0	The Camberwell Miracle									Britain - England				DKM Snell					1933	The Camberwell miracle/(John Davys), Beresford, J. D.
103	Berger	John	uc1.32106006662065	1964.0	Corker's Freedom									Britain - England				DKM Snell					1979	Corker's freedom/Berger, John.
104	Berkeley	Anthony		1929.0	The Picadilly Murder									Britain - England				DKM Snell						
105	Berridge 	Elizabeth		1961.0	Rose Under Glass									Britain - England				DKM Snell						
106	Berridge 	Elizabeth	uc1.b4538445	1982.0	People at Play									Britain - England				DKM Snell					1982	People at play/Berridge, Elizabeth.
107	Berry	Elizabeth		1997.0	McArandy was Hanged under Tyburn Tree									Unknown				DKM Snell						
108	Besant	Walter	loc.ark:/13960/t6pz5rh20	1901.0	East London	%	Nonfiction - other	sociology						Britain - England				Literary London	Volume 2, issue 2, Aspects of Literary Limehouse, Anne Witchard	Patrick Evans		London nonfiction	1901	East London/Besant, Walter, Sir,
109	Besant	Walter	coo1.ark:/13960/t5bc4jj49	1909.0	London in the Nineteenth Century	%	Nonfiction - other											Literary London	Volume 5, issue 1, Run Softly, Sweet Thames, David Skilton	Patrick Evans		London nonfiction	1909	London in the nineteenth century/Besant, Walter,
110	Besant	Walter	uiuo.ark:/13960/t6h13936j	1886.0	Children of Gibeon									Britain - England				DKM Snell					1886	Children of Gibeon/Besant, Walter, Sir,
111	Besant	Walter		1889.0	The Bell of Saint Paul's									Britain - England				DKM Snell						
112	Besant 	Walter	uiuo.ark:/13960/t04x5k01r	1882.0	All Sorts and Conditions of Men									Britain - England				DKM Snell					1882	All sorts and conditions of men/Besant, Walter, Sir,
113	Betjeman	John		1938.0	The Brissey Report	%	Poetry	No info, but Betjeman was a poet										Literary London	Volume 7, issue 1, the sound of the suburbs, Simon Goulding	Patrick Evans				
114	Billson	Anne	mdp.39015032556519	1993.0	Suckers									Britain - England				DKM Snell					1993	Suckers/Billson, Anne.
115	Binchy	Maeve	uc1.b3917588	1980.0	Victoria Line, Central Line									Ireland				DKM Snell					1993	Victoria Line ; Central Line/Binchy, Maeve.
116	Binchy	Maeve	uc1.32106011994172	1982.0	London Transport									Ireland				DKM Snell					1983	London Transports/Binchy, Maeve.
117	Binchy	Maeve	mdp.39015038919224	1988.0	Silver Wedding									Ireland				DKM Snell					1988	Silver wedding/Binchy, Maeve.
118	Bingham	Charlotte		1983.0	Belgravia									Britain - England				DKM Snell						
119	Bingham	Charlotte		1995.0	Debutantes									Britain - England				DKM Snell						
120	Binstead	Arthur M.		1899.0	Houndsditch Day by Day									Britain - England				DKM Snell						
121	Black 	William	njp.32101067707156	1871.0	The Monarch of Mincing Lane									Britain - Scotland				DKM Snell					1883	The Monarch of Mincing Lane/Black, William,
122	Blackmore	R. D.	umn.319510019913964	1890.0	Kit and Kitty									Britain - England				DKM Snell					1890	Kit and Kitty/Blackmore, R. D. (Richard Doddridge),
123	Blackstock	Charity		1964.0	The Respectable Miss Parkington-Smith									Britain - England				DKM Snell						
124	Blair	Suzi		1992.0	Shorts from Greater London									Unknown				DKM Snell						
125	Blair	Suzi		1993.0	Paper Clips London: Short Stories by Writers from London									Unknown				DKM Snell						
126	Blatchford	Robert	inu.30000055094902	1899.0	Dismal England	%	Nonfiction - other	social commentary on workers						Britain - England				Literary London	Volume 2, issue 1, Downward Mobility, L.J. Nicoletti	Patrick Evans			1899	Dismal England/Blatchford, Robert,
127	Bloch	Robert		1984.0	The Night of the Ripper									American				DKM Snell						
128	Blumenfeld	Simon	mdp.39015057581020	1935.0	Jew Boy									Britain - England				DKM Snell					1986	Jew boy/Blumenfeld, Simon.
129	Blumenfeld	Simon		1938.0	Doctor of the Lost									Britain - England				DKM Snell						
