	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2818	Mendum, Bedloe.	1.0	0.2015225638431122	1899.0	1	18460		Hathi
2842	Meyrink, Gustav,	1.0	0.03775186499572615	1928.0	1	98541		Hathi
2855	Milit͡syna, E.	1.0	0.027448381023853222	1918.0	1	45177		Hathi
3271	Powell-Anderson, Constance.	1.0	0.535536821211236	1922.0	1	4631		Hathi
2873	Mitchell, William,	1.0	0.08434468164294769	1935.0	1	14702		Hathi
3943	Taki, Sei-ichi,	1.0	0.07708547599009212	1910.0	1	32173		Hathi
2882	Mofolo, Thomas,	1.0	0.26667071883756766	1931.0	1	74401		Hathi
2914	Moore, T. Sturge	1.0	0.057483567101549095	1920.0	1	21572		Hathi
4004	Thompson, Mary Wolfe,	1.0	0.04468059726812216	1935.0	1	83260		Hathi
2943	Mortalis,	1.0	0.39193396262095004	1905.0	1	56950		Hathi
3264	Potapenko, Ignatiĭ Nikolaevich,	1.0	0.019148761689901123	1891.0	1	64758		Hathi
3263	Potapenko, I. N.	1.0	0.14819924869941342	1892.0	2	110491		Hathi
3514	Russ, R P	1.0	0.027935648685814437	1938.0	1	88778		Hathi
2095	Hutchinson, Winifred Margaret Lambart,	1.0	0.01989244765571999	1912.0	1	62337		Hathi
3127	Pallen, Condé Bénoist,	1.0	0.021003667228689796	1920.0	1	59039		Hathi
1538	Gaëll, René.	1.0	0.020915808010434276	1916.0	1	59287		Hathi
4225	Webb, Mary,	1.0	0.06511366610149828	1937.0	1	114265		Hathi
643	Bülow, Eduard von,	1.0	0.01788211853074651	1884.0	1	69345		Hathi
1129	Dirr, Adolf,	1.0	0.01054281629256002	1925.0	1	117619		Hathi
1476	Freytag, Gustav,	1.0	0.011437507581878375	1887.0	1	325255		Hathi
1524	Garstin, Norman.	1.0	0.07076818430672661	1900.0	1	35045		Hathi
1536	Gay, John,	1.0	1.3870643283161264	1925.0	1	894		Hathi
1543	Geldart, Edmund Martin,	1.0	0.015307568505760134	1884.0	1	81008		Hathi
1182	Driberg, Jack Herbert.	1.0	0.016207495876547077	1930.0	1	76510		Hathi
3636	Shaw, Gertrude.	1.0	0.038201956546969104	1914.0	1	32460		Hathi
3882	Streuvels, Stijn,	1.0	0.04859644587979061	1915.0	1	51034		Hathi
1098	Deulin, Charles,	1.0	0.471406770391415	1887.0	1	5261		Hathi
4282	Whitfield, Christopher.	1.0	0.12595586688822924	1937.0	1	19690		Hathi
52	880-01	1.0	0.02437224610378775	1905.0	1	152637		Hathi
1584	Gilson, Roy Rolfe,	1.0	0.3412198285734852	1902.0	1	29073		Hathi
1996	Holmes, Clara H.	1.0	0.1319116546475844	1898.0	1	75204		Hathi
4440	comte de, Gobineau, Arthur,	1.0	0.013083579623062494	1926.0	1	94778		Hathi
4357	Woolf, Leonard,	1.0	0.015462753407501927	1913.0	1	80195		Hathi
1325	Faqīr Dihlavī, Mīr Shams al-Dīn,	1.0	0.04005412027244475	1903.0	1	30959		Hathi
1291	Erichsen, Erich Anton,	1.0	0.054719921872542286	1917.0	1	45323		Hathi
1313	Eydoux-Démians, M. [from old catalog]	1.0	0.036032879337322514	1915.0	1	34414		Hathi
1315	Ėrenburg, Ilʹi͡a,	1.0	0.026581682947794578	1929.0	1	139950		Hathi
699	Carter, E.	1.0	0.1284345426737045	1904.0	1	9655		Hathi
1255	Eje, Anders,	1.0	0.10381789212580167	1920.0	1	71666		Hathi
1317	Fadeev, Aleksandr,	1.0	0.015105804720606858	1929.0	1	82090		Hathi
4263	Wheeler, Post,	1.0	0.03161662144041756	1917.0	1	78442		Hathi
4342	Wodehouse, P. G.	1.0	0.06977467417930548	1904.0	1	17772		Hathi
3711	Skram, Amalie,	1.0	0.032993707681849116	1899.0	1	75168		Hathi
1356	Feuillet, Octave,	1.0	0.01737669221034468	1904.0	1	71362		Hathi
1219	Dwinger, Edwin Erich,	1.0	0.02136886971419295	1930.0	1	116060		Hathi
1369	Finger, Charles Joseph,	1.0	0.018100858445335762	1925.0	1	68507		Hathi
1381	Fisher, Vardis,	1.0	0.0485697978737463	1934.0	1	178717		Hathi
1448	Francis, John Cyril,	1.0	0.05270019164957999	1895.0	1	23530		Hathi
3745	Smithes, M. F.	1.0	0.07742479455011345	1910.0	1	16016		Hathi
1602	Godfrey, Walter Scott,	1.0	0.4234370870802858	1923.0	1	5857		Hathi
1266	Ellis, Edward S. (Edward Sylvester),	1.0	0.04742135260754248	1929.0	3	243716		Hathi
3551	Salamon,	1.0	0.02327743485348057	1911.0	1	106544		Hathi
1843	Harry, Myriam.	1.0	0.025220633742098274	1905.0	1	98335		Hathi
3564	Sanzara, Rahel.	1.0	0.02081452122960977	1929.0	1	119151		Hathi
1853	Harvey, T. Edmund	1.0	0.09131336594363895	1905.0	1	13580		Hathi
542	Brodsky, Anna.	1.0	0.021289990720484455	1910.0	1	58245		Hathi
1863	Haviland, M. D.	1.0	0.021554963748972117	1910.0	1	57529		Hathi
1874	Hayashi, Tadasu,	1.0	0.06098185396811415	1903.0	1	40669		Hathi
909	Court Treatt, Stella.	1.0	0.018862724513456296	1930.0	1	65740		Hathi
923	Cozzens, James Gould,	1.0	0.1925970142040823	1931.0	2	51508		Hathi
3545	Saint-Juirs,	1.0	0.0355290673747813	1896.0	1	34902		Hathi
