	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
10	Bentley, E. C.	0.382716049382716	0.9285548805545112	1913.0	1	86640	White	Prominent
4	Bagnold, Enid	0.3797468354430381	0.8729134938899524	1935.0	1	89887	White	Prominent
37	Hartley, Leslie Poles	0.37556891698857714	0.46036586143674757	1925.0	2	78076	White	Prominent
57	Mason, A. E. W.	0.3750000000000002	1.178592608725802	1902.0	1	141575	White	Prominent
73	Rider Haggard, H.	0.35616572291935467	0.9378457531587161	1886.0	2	278758	White	Prominent
40	Household, Geoffrey	0.3520000000000004	1.793989171468241	1939.0	1	69204	White	Prominent
47	Joyce, James	0.3517643596939299	1.368651865316218	1922.75	4	765878	White	Prominent
80	Smith, Stevie	0.34265373061323706	3.9761815684472004	1937.0	2	146889	White	Prominent
49	Lawrence, D. H.	0.3369852834420588	12.380192030996621	1921.7368421052631	19	2621119	White	Prominent
46	Jerome, Jerome K.	0.323529411764705	2.106726077487492	1889.0	1	80146	White	Prominent
81	Somerville, Edith	0.3125	0.19176826871394576	1899.0	1	165735	White	Prominent
85	Walpole, Hugh	0.3076923076923077	0.49896539663477146	1911.0	1	77631	White	Prominent
23	Douglas, Norman [George]	0.3052634390188427	1.1837676627736218	1916.25	4	349347	White	Prominent
25	Ford, Ford Madox	0.3033009318363413	40.140554302168304	1917.0	29	3355140	White	Prominent
38	Hope, Anthony	0.30000000000000004	0.15044302594378983	1894.0	1	66019	White	Prominent
82	Stevenson, Robert Louis	0.29213683054527845	14.863865799115448	1887.7	10	909088	White	Prominent
65	Pater, Walter	0.264089567426997	0.48061367974297853	1886.0	2	184554	White	Prominent
36	Hardy, Thomas	0.2592944861568881	13.393413629366366	1888.3636363636363	11	1676538	White	Prominent
26	Forster, E. M.	0.25186563185659144	9.043593395162352	1913.375	8	754279	White	Prominent
93	White, T. H.	0.24999999999999994	0.3263022985199495	1939.0	1	109578	White	Prominent
35	Hall, Radclyffe	0.2462311557788945	1.010169492753632	1928.0	1	195659	White	Prominent
75	Sassoon, Siegfried	0.2338515998726891	2.7744633553552127	1933.0	2	155483	White	Prominent
67	Powell, Anthony	0.21428571428571425	0.6699022345445459	1932.0	1	62270	White	Prominent
78	Shorthouse, Joseph Henry	0.2068965517241375	1.8855122136927818	1881.0	1	213864	White	Prominent
97	Yeats, William Butler	0.19495027952782332	0.5546621393204731	1895.0	2	54058	White	Prominent
48	Kipling, Rudyard	0.1917542273072568	9.603379284817185	1897.6	10	1020993	White	Prominent
87	Waugh, Alec	0.18110236220472453	0.9485459937452607	1917.0	1	132980	White	Prominent
74	Rolfe, Frederick	0.16268932761881863	2.555576287083629	1908.4	5	556712	White	Prominent
62	Myers, L. H.	0.1562705790104105	2.1295639834446405	1930.5	6	683667	White	Prominent
13	Burnett, Frances Hodgston	0.1488106089566968	1.6516483352626594	1898.5	2	171937	White	Prominent
68	Powys, John Cowper	0.14801455115761986	8.839722801307735	1929.3333333333333	9	2518278	White	Prominent
31	Graves, Robert	0.12786167180121127	0.8229745191430716	1934.0	2	409424	White	Prominent
89	Webb, Mary	0.04342230778910844	0.5467668411247637	1920.5	2	228558	White	Prominent
30	Grahame, Kenneth	0.0	0.05647810374754027	1908.0	1	70343	White	Prominent
