	author	volumes	weight	pub_date_avg	books	wordcount	ethnicity	corpus
460	Boldrewood, Rolf,	15.0	1.0	1895.9333333333334	15	2264463		Hathi
3087	O'Flaherty, Liam,	14.0	1.0	1930.857142857143	14	1276362		Hathi
4429	Young, Francis Brett,	14.0	1.0	1926.7857142857142	14	1982449		Hathi
1814	Hanley, James,	14.0	1.0	1933.9285714285713	14	1507929		Hathi
3621	Scott, Walter,	14.0	1.0	1912.7142857142858	14	3085209		Hathi
4218	Ward, Humphry,	14.0	1.0	1907.7857142857142	14	1850222		Hathi
755	Chekhov, Anton Pavlovich,	14.0	1.0	1919.0714285714287	14	1202043		Hathi
2847	Merriman, Henry Seton,	14.0	1.0	1897.142857142857	14	1074282		Hathi
1508	Galsworthy, John,	14.0	1.0	1922.7142857142858	14	930128		Hathi
1206	Dumas, Alexandre,	13.0	1.0	1909.0	13	2365816		Hathi
3144	Pain, Barry,	13.0	1.0	1910.076923076923	13	828296		Hathi
625	Burney, Fanny,	13.0	1.0	1904.7692307692307	13	2372893		Hathi
2605	MacDonald, George,	13.0	1.0	1894.076923076923	13	2114436		Hathi
2593	Lytton, Edward Bulwer Lytton,	13.0	1.0	1884.1538461538462	13	2794941		Hathi
941	Crawford, F. Marion	13.0	1.0	1890.8461538461538	13	1386034		Hathi
2326	Kingston, William Henry Giles,	13.0	1.0	1893.076923076923	13	1569494		Hathi
422	Blackmore, R. D.	13.0	1.0	1888.3076923076924	13	2071198		Hathi
933	Craik, Dinah Maria Mulock,	13.0	1.0	1892.6153846153845	13	1993686		Hathi
2054	Housman, Laurence,	13.0	1.0	1912.6153846153845	13	867746		Hathi
2842	Meredith, George,	13.0	1.0	1895.076923076923	13	1549429		Hathi
3742	Smart, Hawley,	13.0	1.0	1887.6153846153845	13	1272626		Hathi
2518	Linton, E. Lynn	13.0	1.0	1889.1538461538462	13	1449883		Hathi
1317	Ewing, Juliana Horatia Gatty,	13.0	1.0	1887.5384615384614	13	648097		Hathi
1333	Farjeon, B. L.	13.0	1.0	1891.0	13	1096150		Hathi
2845	Merrick, Leonard,	12.0	1.0	1901.6666666666667	12	993746		Hathi
2779	Maupassant, Guy de,	12.0	1.0	1916.0	12	1083001		Hathi
2324	Kingsley, Henry,	12.0	1.0	1896.1666666666667	12	2568593		Hathi
3156	Pansy,	12.0	1.0	1890.5833333333333	12	1141061		Hathi
2190	Jefferies, Richard,	12.0	1.0	1894.75	12	1102914		Hathi
3454	Riddell, J. H.,	12.0	1.0	1886.8333333333333	12	1288619		Hathi
252	Baring, Maurice,	12.0	1.0	1922.5833333333333	12	1034097		Hathi
2261	Kaye-Smith, Sheila,	12.0	1.0	1926.0833333333333	12	1343347		Hathi
2744	Masefield, John,	12.0	1.0	1920.4166666666667	12	1109822		Hathi
2167	James, G. P. R.	12.0	1.0	1903.5	12	2417243		Hathi
452	Boccaccio, Giovanni,	12.0	1.0	1910.75	12	1712580		Hathi
293	Bates, H. E. (Herbert Ernest),	11.0	1.0	1931.5454545454545	11	541870		Hathi
2985	Murray, David Christie,	11.0	1.0	1893.909090909091	11	839792		Hathi
423	Blackwood, Algernon,	11.0	1.0	1915.5454545454545	11	1389463		Hathi
2965	Mottram, R. H. (Ralph Hale),	11.0	1.0	1930.6363636363637	11	1007167		Hathi
2722	Marryat, Florence,	11.0	1.0	1893.0	11	1345227		Hathi
562	Broughton, Rhoda,	11.0	1.0	1897.090909090909	11	1303256		Hathi
2008	Holme, Constance.	11.0	1.0	1929.0	11	1005903		Hathi
1669	Grant, James,	11.0	1.0	1887.3636363636363	11	1117361		Hathi
895	Corelli, Marie,	11.0	1.0	1896.3636363636363	11	1093782		Hathi
1978	Hobbes, John Oliver,	11.0	1.0	1900.8181818181818	11	1028382		Hathi
3868	Stern, G. B. (Gladys Bronwyn),	11.0	1.0	1931.7272727272727	11	1006569		Hathi
3785	Somerville, E. Œ.	11.0	1.0	1907.5454545454545	11	873269		Hathi
1946	Hewlett, Maurice,	11.0	1.0	1909.8181818181818	11	856173		Hathi
1066	De la Mare, Walter,	11.0	1.0	1926.7272727272727	11	1345890		Hathi
415	Bjørnson, Bjørnstjerne,	11.0	1.0	1894.1818181818182	11	813655		Hathi
607	Bullen, Frank Thomas,	11.0	1.0	1905.7272727272727	11	1148656		Hathi
2487	Lever, Charles James,	10.0	1.0	1885.3	10	2430327		Hathi
784	Church, Alfred John,	10.0	1.0	1890.3	10	762663		Hathi
3119	Oppenheim, E. Phillips (Edward Phillips),	10.0	1.0	1928.0	10	1124188		Hathi
523	Brereton, F. S.	10.0	1.0	1910.7	10	1195506		Hathi
3457	Ridge, W. Pett	10.0	1.0	1906.5	10	948129		Hathi
3450	Richardson, Samuel,	10.0	1.0	1902.4	10	1813419		Hathi
3951	Swift, Jonathan,	10.0	1.0	1895.2	10	2080374		Hathi
1441	Fothergill, Jessie,	10.0	1.0	1888.6	10	1264299		Hathi
2533	Locke, William John,	10.0	1.0	1907.0	10	994792		Hathi
3939	Surtees, Robert Smith,	10.0	1.0	1899.8	10	1689608		Hathi
3206	Pemberton, Max,	10.0	1.0	1903.0	10	1023931		Hathi
2438	Le Gallienne, Richard,	10.0	1.0	1897.8	10	498806		Hathi
364	Benson, Stella,	10.0	1.0	1926.6	10	652116		Hathi
2568	Lucas, E. V.	10.0	1.0	1912.1	10	718161		Hathi
3823	Stables, Gordon,	10.0	1.0	1896.6	10	963220		Hathi
978	Cunninghame Graham, R. B.	10.0	1.0	1910.1	10	643810		Hathi
4133	Vachell, Horace Annesley,	10.0	1.0	1915.4	10	1073678		Hathi
1639	Gorky, Maksim,	10.0	1.0	1907.9	10	904021		Hathi
477	Borrow, George,	10.0	1.0	1910.7	10	1886143		Hathi
595	Buchan, John,	10.0	1.0	1922.1	10	1265192		Hathi
639	Butler, Samuel,	10.0	1.0	1907.6	10	1112144		Hathi
3572	Saki,	9.0	1.0	1919.0	9	650578		Hathi
1379	Firbank, Ronald,	9.0	1.0	1922.5555555555557	9	292348		Hathi
2385	Lamb, Charles,	9.0	1.0	1897.111111111111	9	1379848		Hathi
853	Collins, Wilkie,	9.0	1.0	1893.0	9	1024400		Hathi
1028	Davidson, John,	9.0	1.0	1895.111111111111	9	517238		Hathi
3771	Smollett, T.	9.0	1.0	1898.0	9	1063021		Hathi
4222	Warden, Florence,	9.0	1.0	1893.3333333333333	9	672708		Hathi
3315	Priestley, J. B. (John Boynton),	9.0	1.0	1930.6666666666667	9	1046583		Hathi
2646	Mackenzie, Compton, Sir,	9.0	1.0	1929.0	9	1340730		Hathi
2969	Mrs., Riddell, J. H.,	9.0	1.0	1900.0	9	1490730		Hathi
4064	Tolstoy, Leo, graf,	9.0	1.0	1929.5555555555557	9	1317530		Hathi
1312	Everett-Green, Evelyn,	9.0	1.0	1896.0	9	1005875		Hathi
3295	Powys, Theodore Francis,	9.0	1.0	1931.0	9	203612		Hathi
1035	Davies, Rhys,	9.0	1.0	1932.3333333333333	9	619380		Hathi
3192	Peacock, Thomas Love,	9.0	1.0	1892.111111111111	9	446310		Hathi
116	Allen, Grant,	9.0	1.0	1890.888888888889	9	647303		Hathi
2681	Mallock, W. H.	9.0	1.0	1895.6666666666667	9	1056199		Hathi
3616	Scott, Hugh Stowell,	9.0	1.0	1902.5555555555557	9	729626		Hathi
4126	Tytler, Sarah,	9.0	1.0	1888.7777777777778	9	592544		Hathi
25	(Henry Major), Tomlinson, H. M.	9.0	1.0	1929.2222222222222	9	748014		Hathi
3912	Strong, L. A. G. (Leonard Alfred George),	9.0	1.0	1928.7777777777778	9	827284		Hathi
644	Byrne, Donn,	9.0	1.0	1926.0	9	838302		Hathi
2093	Hunt, Violet,	9.0	1.0	1911.111111111111	9	1153786		Hathi
2731	Marshall, Emma,	9.0	1.0	1894.6666666666667	9	850152		Hathi
