	author	spec_world_subcity	weight	pub_date_avg	books	wordcount	ethnicity	corpus
45	Jefferies, Richard	0.7610619469026545	0.6146040417354581	1882.0	1	137627	White	Prominent
5	Barrie, J. M.	0.5878110274556174	1.1155935140920363	1897.0	2	100737	White	Prominent
60	Milne, A. A.	0.5714285714285713	0.1475431534076506	1928.0	1	35514	White	Prominent
38	Hope, Anthony	0.5158730158730161	0.7143190286292386	1894.0	1	66019	White	Prominent
6	Beckett, Samuel	0.514150561617882	1.5166196694835838	1935.5	2	133049	White	Prominent
30	Grahame, Kenneth	0.49206349206349187	0.3352048387975615	1908.0	1	70343	White	Prominent
34	Grossmith, George	0.4880000000000002	0.83945225590442	1894.0	1	55732	White	Prominent
86	Walpole, Hugh	0.47126436781609204	0.41944467771562083	1911.0	1	77631	White	Prominent
51	Lewis, C. S.	0.4668683775595201	0.42283407172374093	1935.5	2	147402	White	Prominent
2	Anstey, F.	0.4571428571428564	0.2215992637158417	1882.0	1	118228	White	Prominent
55	Mackenzie, Compton	0.44514501891550706	1.2806293389817913	1913.0	1	231761	White	Prominent
22	Disraeli, Benjamin	0.43587174348697294	1.8433089156505202	1880.0	1	202639	White	Prominent
7	Beerbohm, Max	0.43067577185785966	4.575646845902887	1910.2	5	233577	White	Prominent
39	Hornung, E. W.	0.413427561837454	0.7956594362871044	1899.0	1	133122	White	Prominent
3	Ashford, Daisy	0.3888888888888891	0.8391289593514834	1919.0	1	16057	White	Prominent
14	Carroll, Lewis	0.38823529411764723	0.3700906239541688	1889.0	1	85961	White	Prominent
77	Sayers, Dorothy	0.3880946060762249	1.2674148228349336	1933.5	2	274368	White	Prominent
71	Priestley, J. B.	0.3685771268916353	1.7987381764345556	1929.5	2	542737	White	Prominent
101	du Maurier, George	0.3644067796610179	1.4682079536911101	1894.0	1	60161	White	Prominent
36	Hardy, Thomas	0.3622537016753378	9.73972153505937	1888.3636363636363	11	1676538	White	Prominent
8	Bennett, Arnold	0.3548521494421396	45.0542212289916	1912.825	40	4292264	White	Prominent
29	Gissing, George	0.323989831976267	2.7668841870408225	1889.0	3	595031	White	Prominent
28	Garnett, David	0.31999999999999995	0.33642076098274337	1922.0	1	27813	White	Prominent
84	Thomas, Edward	0.31715210355987067	1.4109621175564657	1913.0	1	81966	White	Prominent
27	Galsworthy, John	0.3162989074905587	23.971288944181527	1916.5	28	3031741	White	Prominent
15	Chesterton, G. K.	0.3157407824286747	17.474227754718704	1919.5294117647059	17	1348440	White	Prominent
97	Woolf, Virginia	0.3138575147674264	7.937100638488507	1924.4	10	1205859	White	Prominent
43	Jacobs, W. W.	0.3100436681222707	0.8328371319860807	1901.0	1	102912	White	Prominent
64	Nesbit, Edith	0.3076923076923077	0.2605254189928667	1906.0	1	74704	White	Prominent
47	Joyce, James	0.3061566218424591	3.7939834354986632	1922.75	4	765878	White	Prominent
48	Kipling, Rudyard	0.2985942800465268	17.017410749162845	1897.6	10	1020993	White	Prominent
9	Benson, E. F.	0.2960122238202047	2.337306813688798	1923.5	2	208292	White	Prominent
19	Conan Doyle, Arthur	0.29586010207781926	9.84739898122366	1896.857142857143	7	967086	White	Prominent
69	Powys, John Cowper	0.2936973768990789	6.518313884249501	1929.3333333333333	9	2518278	White	Prominent
50	Lehmann, Rosamond	0.2918393176201519	1.9288514034835473	1931.25	4	452758	White	Prominent
87	Warner, Sylvia	0.29166666666666663	0.8973173967538607	1926.0	1	60063	White	Prominent
73	Richardson, Dorothy	0.29020246589823023	8.84709178769727	1921.3	10	702486	White	Prominent
83	Stevenson, Robert Louis	0.2896741039970969	12.618226447563218	1887.7	10	909088	White	Prominent
68	Powell, Anthony	0.28859060402684544	0.8955668688978602	1932.0	1	62270	White	Prominent
65	Orwell, George	0.285097946734891	3.410724580861329	1936.0	4	437617	White	Prominent
63	Myers, L. H.	0.28475305310953836	4.0355317397332096	1930.5	6	683667	White	Prominent
70	Powys, Theodore Francis	0.28442936825516046	5.3881459298728185	1928.5294117647059	17	1037683	White	Prominent
33	Greene, Graham	0.28439808143008866	7.397907418820643	1935.375	8	758881	White	Prominent
72	Rhys, Jean	0.2766363003324153	3.160964782564672	1934.6666666666667	3	173364	White	Prominent
41	Huxley, Aldous	0.27647191301277646	11.420104740611425	1926.6923076923076	13	1329804	White	Prominent
10	Bentley, E. C.	0.26907630522088344	1.075651332261334	1913.0	1	86640	White	Prominent
88	Waugh, Alec	0.2656826568265682	0.7627348291270057	1917.0	1	132980	White	Prominent
85	Trollope, Anthony	0.2649738822364435	2.8544125010615957	1881.5	2	519488	White	Prominent
95	Wilde, Oscar	0.264629742653081	2.988656874054246	1890.0	3	233308	White	Prominent
75	Rolfe, Frederick	0.26259529776505786	6.824289648163591	1908.4	5	556712	White	Prominent
92	West, Rebecca	0.26093309139951304	3.707046297704127	1928.0	5	609336	White	Prominent
89	Waugh, Evelyn	0.25604626793039204	7.521439344175133	1933.0	6	465478	White	Prominent
94	White, T. H.	0.25373134328358243	0.2288453273063107	1939.0	1	109578	White	Prominent
24	Firbank, [Arthur Annesley] Ronald	0.25337425409592046	12.044698138558147	1920.0	10	294773	White	Prominent
32	Green, Henry	0.2533024407505043	1.095455325687871	1932.5	2	156592	White	Prominent
80	Sinclair, May	0.25269767012824756	1.1266273203696904	1920.5	2	170662	White	Prominent
44	James, Henry	0.24828505670998335	10.917223440395114	1897.8	15	2284521	White	Prominent
91	Wells, H. G.	0.24771395157671297	65.58470025115409	1916.290909090909	55	5514792	White	Prominent
90	Webb, Mary	0.24704948435775317	0.4503459349856671	1920.5	2	228558	White	Prominent
96	Williams, Charles	0.24593033588244043	2.4994835528750627	1931.3333333333333	3	269757	White	Prominent
23	Douglas, Norman [George]	0.24579233769042322	1.9236124486778396	1916.25	4	349347	White	Prominent
53	MacDonald, George	0.2400000000000001	0.13900953224900886	1883.0	1	67311	White	Prominent
4	Bagnold, Enid	0.23717948717948728	0.6495585869072203	1935.0	1	89887	White	Prominent
46	Jerome, Jerome K.	0.23504273504273424	1.0927595769220466	1889.0	1	80146	White	Prominent
74	Rider Haggard, H.	0.23445940746256685	1.7626189997192274	1886.0	2	278758	White	Prominent
100	du Maurier, Daphne	0.2327272727272728	0.5337771392575823	1938.0	1	192825	White	Prominent
54	Macaulay, Rose	0.23248068430113336	22.939923209219348	1923.1875	16	1579123	White	Prominent
58	Maugham, William Somerset	0.2323848781719597	22.978122506517266	1919.4545454545455	22	2277960	White	Prominent
11	Bowen, Elizabeth	0.23146573999294606	8.85767382775506	1930.7777777777778	9	804859	White	Prominent
78	Schreiner, Olive	0.22699386503067456	0.47252164044635964	1883.0	1	129109	White	Prominent
18	Compton-Burnett, Ivy	0.22605938650315593	2.3385051882478596	1930.0	8	777546	White	Prominent
61	Moore, George	0.22588412320808018	3.17093785195966	1905.0	2	367171	White	Prominent
12	Buchan, John	0.2247515167949581	4.5985082285504815	1913.6666666666667	3	253201	White	Prominent
