	author	intl_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2783	Mauron, Marie,	0.981651376146789	0.64136665277458	1934.0	1	60577		Hathi
30	(Ivan), Nazhivin, Iv.	0.9814814814814815	0.5189535279838295	1931.0	1	111269		Hathi
142	Apollonius,	0.9814814814814815	1.9459052190523578	1889.0	1	89023		Hathi
316	Beals, Carleton,	0.9814814814814815	1.781751254857417	1935.0	1	129633		Hathi
2153	I︠U︡gov, Alekseĭ.	0.9814814814814814	0.3441883094126531	1940.0	1	167767		Hathi
2068	Hubbard, Wilfranc.	0.9814241486068112	1.4648197669397276	1925.0	1	78597		Hathi
2374	Ladd, Anna Coleman.	0.98125	1.135987692663354	1912.0	1	100407		Hathi
2388	Lamprecht, Kurt,	0.98125	1.410914082497334	1932.0	1	80842		Hathi
726	Caṭṭopādhyāya, Śaratcandra,	0.9811320754716981	0.6207732774745995	1922.0	1	60864		Hathi
4106	Tschudi, Clara	0.981111111111111	3.954109324214393	1910.0	1	81130		Hathi
3988	Taylor, Ida Ashworth.	0.981067125645439	2.218734215481043	1907.0	1	93338		Hathi
2168	James, G. P. R. (George Payne Rainsford),	0.9810606060606062	1.3661897980811233	1924.0	1	206634		Hathi
1219	Durov, Vladimir,	0.980952380952381	1.1039881942099086	1937.0	1	33901		Hathi
3983	Taunay, Afonso de E.	0.9809523809523809	0.4955419825213845	1889.0	1	75526		Hathi
3141	Ozaki, Yei Theodora.	0.9807692307692308	0.5112520381696669	1919.0	1	72508		Hathi
1483	Freytag, Gustav,	0.9807692307692308	0.17095753847107467	1887.0	1	325255		Hathi
963	Cross, Ruth,	0.9807692307692307	0.7773333777243185	1930.0	1	95377		Hathi
2704	Marchwitza, Hans.	0.9807692307692307	0.39604554255989505	1932.0	1	93600		Hathi
4233	Wast, Hugo,	0.9807389115635208	1.462900912131524	1929.5	2	169029		Hathi
3166	Parker, H.	0.9806949806949807	0.475041890997142	1910.0	1	194337		Hathi
3213	Pennypacker, Morton,	0.9806451612903226	1.233525043807754	1899.0	1	44789		Hathi
3105	Oemler, Marie Conway,	0.9805825242718447	0.5666307334228853	1937.0	1	129585		Hathi
1260	Eivind, R.	0.9804878048780488	1.3789990677568633	1893.0	1	52988		Hathi
289	Basile, Giambattista,	0.9803921568627451	0.18377704722693158	1893.0	1	98916		Hathi
2022	Homer.	0.9802275695034484	5.8752545988533695	1920.4285714285713	7	900595		Hathi
2772	Matveev, Michel, | Les traqués.	0.9800995024875622	0.823151517734813	1935.0	1	87037		Hathi
1490	Fryer, Alfred Cooper.	0.98	1.2015539804615052	1908.0	1	29665		Hathi
4219	Ward, John, Mrs.	0.98	0.9313848662239489	1881.0	1	57405		Hathi
414	Bjørnson, B.	0.98	0.5398657886585264	1896.0	1	66024		Hathi
145	Archer, Agatha.	0.98	0.18909737517183695	1897.0	1	94248		Hathi
1614	Goetel, Ferdynand,	0.98	0.836009448128121	1931.0	1	63954		Hathi
1253	Edwords, Clarence Edgar,	0.9797979797979799	0.742882420203506	1893.0	1	95002		Hathi
1802	Hamilton, Anthony,	0.9797979797979798	0.6591881088337184	1899.0	1	107064		Hathi
4253	Webb, Edward Meryon.	0.9797297297297297	0.824347067990405	1920.0	1	63994		Hathi
2633	Machar, J. S.,	0.9796747967479675	1.148048275302264	1921.0	1	76377		Hathi
2315	King, Harriet Eleanor (Baillie-Hamilton),	0.9796437659033079	1.9885202413717782	1890.0	1	70445		Hathi
4155	Vereshchagin, Vasiliĭ Vasilʹevich,	0.9794483935679651	3.6890409524597625	1887.0	2	150337		Hathi
721	Caṭṭopādhyāya, Śaratcandra,	0.979381443298969	0.5588113502954297	1922.0	1	61872		Hathi
3175	Pasteur, Violet M.	0.979381443298969	0.9649672304068895	1906.0	1	35830		Hathi
650	Cable, George Washington,	0.979253112033195	0.8650609069428726	1888.0	1	99302		Hathi
722	Caunter, Hobart,	0.9792099792099792	0.8103535220831596	1899.0	1	211572		Hathi
1455	Francis, John Cyril,	0.9791666666666666	0.7271214381040152	1895.0	1	23530		Hathi
1323	Fadeev, Aleksandr,	0.9791666666666666	0.2084196301448102	1929.0	1	82090		Hathi
1188	Driberg, Jack Herbert.	0.9791666666666666	0.2236200161885697	1930.0	1	76510		Hathi
997	Daggett, Mary Stewart,	0.9791666666666666	0.40444813991105627	1899.0	1	84605		Hathi
3513	Rooks, Margarot	0.9790940766550523	1.2772631928684635	1911.0	1	80092		Hathi
3422	Remarque, Erich Maria,	0.9790575916230366	0.6347155887605552	1931.0	1	107261		Hathi
2708	Margueritte, Paul,	0.9790207980519591	6.804412940744254	1905.6666666666667	3	423266		Hathi
2382	Lagerlöf, Selma,	0.979004413967575	1.6862214749296836	1916.5	2	226237		Hathi
2147	Isaacs, Abram S.	0.9789473684210526	0.8263432546456883	1893.0	1	40978		Hathi
