	author	spec_world_subcity	weight	pub_date_avg	books	wordcount	ethnicity	corpus
3113	Omessa, Charles.	0.16374269005847963	2.2031956985348935	1918.0	1	27665		Hathi
1249	Edwards, Dorothy,	0.16346153846153857	0.5848549734724791	1927.0	1	63383		Hathi
2575	Lukash, Ivan,	0.16343825665859524	2.4767630693179017	1930.0	1	118873		Hathi
4107	Tschudi, Clara,	0.16334206825811454	6.674533566904563	1905.0	2	247436		Hathi
2266	Kearton, Cherry,	0.16326729501576895	0.45049401895025215	1931.0	2	84002		Hathi
115	Allan, John R. (John Robertson),	0.1632653061224491	0.32248169178159825	1935.0	1	54160		Hathi
183	Audoux, Marguerite,	0.16326530612244888	0.2587267565385504	1920.0	1	67506		Hathi
1480	Frere, Mary,	0.1632390745501284	1.9148276786176193	1889.0	1	144823		Hathi
3235	Phillimore, Cecily Spencer-Smith.	0.16314199395770387	1.8148558988538956	1927.0	1	65009		Hathi
2257	Kane, James Johnson,	0.16308593750000006	1.989195930127682	1894.0	1	183489		Hathi
734	Chamberlain, Henry Richardson,	0.16302186878727695	2.0430491033873905	1894.0	1	87756		Hathi
628	Burrage, E. Harcourt	0.16296296296296295	0.2284606928001292	1895.0	1	631875		Hathi
2793	Mayer, J. E.	0.16292134831460714	0.5783794991485189	1895.0	1	109697		Hathi
4358	Wilson, Harriette,	0.16292134831460703	1.4329124151518844	1935.0	1	44278		Hathi
792	Clark, Kate McCosh.	0.16290726817042647	2.1705017143833993	1896.0	1	65524		Hathi
3260	Pius Pope,	0.1627906976744186	1.0995740366646058	1929.0	1	27878		Hathi
2356	Krylov, Ivan Andreevich,	0.16270412319149785	1.6463475756139636	1883.0	2	126853		Hathi
4247	Watt, W. M.	0.16266666666666685	1.5705751723023575	1933.0	1	85106		Hathi
1065	De Wet, Oloff.	0.16260162601626027	0.7528891599357801	1938.0	1	116464		Hathi
3576	Salomon, Ernst von,	0.16224188790560412	0.8731437833572343	1935.0	1	138389		Hathi
58	Abbott, Jane,	0.16216216216216225	0.5266058364176849	1920.0	1	75132		Hathi
352	Bengough, M. A.	0.16216216216216214	0.2612013342426276	1891.0	1	50491		Hathi
2392	Lander, Harry.	0.16216216216216187	0.6234873687386614	1897.0	1	84610		Hathi
38	(Pelham Grenville), Wodehouse, P. G.	0.1620031926519622	1.7624214291630493	1929.5	2	227737		Hathi
4331	Wilkinson, Charles Allix	0.16197183098591583	1.7963735214066765	1886.0	1	56352		Hathi
1650	Gowing, Aylmer.	0.16194947969768872	1.3956632787754262	1885.0	2	105509		Hathi
4220	Ward, Josephine Mary Hope-Scott,	0.16187050359712216	0.9530966051582317	1903.0	1	103967		Hathi
2551	Loti, Pierre,	0.16186955098019665	10.858805880820473	1904.0	8	485396		Hathi
564	Brovan, L.	0.16184971098265938	0.8802770977798392	1922.0	1	70051		Hathi
1607	Glover, Archibald Edward,	0.16176470588235292	0.333090373447656	1928.0	1	145534		Hathi
2273	Keith Fraser, Aylmer.	0.16176470588235284	0.3557034267865983	1913.0	1	68141		Hathi
361	Benson, E.F.	0.1617418351477442	1.8532210644237328	1903.0	1	123672		Hathi
3015	Neagoe, Peter.	0.1616541353383452	1.6999095102480342	1934.0	1	111551		Hathi
3112	Omar Khayyam.	0.16161616161616163	1.1763728986927577	1889.0	1	29997		Hathi
1389	Fison, Lois A.	0.1616161616161616	1.3137134820776086	1899.0	1	26861		Hathi
3810	Spettigue, H. H.	0.16161616161616077	1.6132975742736153	1898.0	1	131238		Hathi
42	(Robert Bontine), Cunninghame Graham, R. B.	0.16129032258064535	1.9560401199187585	1936.0	1	33894		Hathi
1235	Eastwick, James.	0.16129032258064518	0.36915911524191736	1895.0	1	29932		Hathi
387	Beyerlein, Franz Adam,	0.16129032258064496	0.2944478442023647	1905.0	1	150107		Hathi
2782	Maurois, André,	0.16128626678817892	6.336638657803681	1924.5	4	231822		Hathi
3864	Stepniak,	0.16109422492401246	0.7226654166249766	1889.0	1	162273		Hathi
3774	Snider, C. H. J.	0.16103896103896173	3.224346060243729	1913.0	1	85121		Hathi
2437	Le Fort, Gertrud, Freiin von,	0.16084831742416045	3.10935238986394	1933.0	2	208413		Hathi
3303	Prevost, Marcel,	0.16082474226804244	1.1266178717285877	1902.0	1	153445		Hathi
1057	De Longueville, Thomas,	0.16077170418006392	1.5743054983741134	1892.0	1	70414		Hathi
2238	Jones, Henry,	0.16071428571428562	1.9742345009216788	1922.0	1	50553		Hathi
472	Boothby, Guy,	0.1606107011730457	2.7902675445883536	1902.5	2	155810		Hathi
2206	Jepson, Edgar,	0.16057684499006533	1.6780039720881934	1906.0	2	182835		Hathi
1814	Hanley, James,	0.16057675412402211	6.066355030791945	1933.9285714285713	14	1507929		Hathi
922	Cox, Edmund Charles,	0.1603498542274044	1.3281254371156082	1905.0	1	92054		Hathi
1213	Dunsany, Edward John Moreton Drax Plunkett, Baron,	0.16030534351145062	1.0868747475719316	1931.0	1	85923		Hathi
284	Barter-Snow, Laura A.	0.16025641025641024	0.8524289705110959	1906.0	1	65231		Hathi
3823	Stables, Gordon,	0.16012981307973834	11.527495426328958	1896.6	10	963220		Hathi
2849	Merydew, J. T.	0.1600000000000007	1.2506026254860056	1888.0	1	92630		Hathi
916	Coutts, Henry Thomas,	0.16000000000000011	0.7647307193819037	1914.0	1	23305		Hathi
3329	Pryde, A.	0.16000000000000003	0.9676561694666974	1907.0	1	73671		Hathi
2504	Lidin, Vladimir Germanovich,	0.16	0.601913249863058	1931.0	1	118436		Hathi
1303	Esmond, Henry.	0.15999999999999995	0.560265621351628	1880.0	1	47715		Hathi
3510	Romer, Mabel.	0.15999999999999995	0.8222019475546819	1920.0	1	10838		Hathi
1242	Edgeworth, Maria,	0.15999534060892892	12.937819560863344	1900.3333333333333	15	2822836		Hathi
1562	Gibbon, Frederick P.	0.15985554920276254	2.256864176677235	1904.0	2	207379		Hathi
2975	Mundy, Talbot,	0.1597051597051594	0.968059644728275	1931.0	1	149858		Hathi
3545	Russell, Percy.	0.15969581749049463	2.6572552666334137	1889.0	1	70557		Hathi
1841	Harraden, Beatrice,	0.15964402853443485	7.705796709859001	1905.0	3	175108		Hathi
4309	Whitechurch, Victor L.	0.15959170645005735	2.472389365520429	1914.3333333333333	3	214070		Hathi
2676	Malet, Edward,	0.1594746716697935	2.5575575402983444	1901.0	1	74283		Hathi
4431	Young, Stuart.	0.15944540727902962	2.093638152282852	1904.0	1	98234		Hathi
3204	Peile, W. O.	0.1594202898550726	0.5173308973931864	1885.0	1	47541		Hathi
581	Browning, H. Ellen.	0.15927977839335158	1.980319140275945	1896.0	1	129954		Hathi
3801	Speigel von und zu Peckelsheim, Edgar,	0.15909090909090917	0.4345516468197566	1919.0	1	36091		Hathi
3494	Robinson, H. Perry	0.1590909090909091	0.309514386638745	1910.0	1	50671		Hathi
2988	Murray, John Wilson,	0.15896188158962105	4.323153045236165	1904.0	1	203320		Hathi
3794	Southey, Robert,	0.15874855156430973	2.215545645063576	1885.0	1	138841		Hathi
1848	Harrison, Charles Yale,	0.1587301587301588	0.516747566806564	1930.0	1	43456		Hathi
2746	Mason, A. E. W. (Alfred Edward Woodley),	0.15873015873015872	1.3180834552612646	1940.0	1	221477		Hathi
3183	Patterson, J. E.	0.15871264193856283	1.345320946816825	1915.0	2	325520		Hathi
2425	Lawrence, Edmund.	0.15863277826468028	3.4071894412495696	1890.0	1	119365		Hathi
3435	Reynolds, Baillie,	0.15862564258640713	1.9361746342507378	1905.6666666666667	3	287715		Hathi
3433	Reyles, Carlos,	0.15856777493606142	1.677803510784523	1929.0	1	83066		Hathi
597	Buchanan, Meriel,	0.15853658536585344	2.3438781909318585	1918.0	1	62350		Hathi
2327	Kinney, Henry W. (Henry Walsworth),	0.15825688073394412	1.2415577836936662	1923.0	1	125172		Hathi
1112	Dick,	0.15822784810126586	0.9057856575663573	1893.0	1	124351		Hathi
4052	Tickell, Jerrard,	0.1582278481012658	2.3237966326672375	1936.0	1	121176		Hathi
3679	Shiel, M. P.	0.15819273704072348	4.779796738929524	1897.0	2	242719		Hathi
621	Burnaby, Fred,	0.15815183265614144	3.7179794360981906	1884.0	2	143566		Hathi
3043	Newton, W. Douglas.	0.15813953488372093	0.9782709637251834	1919.0	1	78337		Hathi
2325	Kingston, Charles.	0.15803923756647004	6.519581119444734	1920.3333333333333	3	274536		Hathi
167	Asch, Sholem,	0.15796295899074347	2.6490888535574544	1934.6666666666667	3	732553		Hathi
1236	Eastwick, Robert William,	0.15795454545454474	2.9215658067252037	1891.0	1	107363		Hathi
4179	Voltaire,	0.15794722330993632	7.198209942820476	1910.0	4	452020		Hathi
878	Conyers, Dorothea,	0.1579356641358662	3.4413455293624517	1906.4	5	527379		Hathi
3787	Songman.	0.1578947368421054	0.5254284599782145	1883.0	1	51557		Hathi
3607	Schmitz, Marie Verhoeven,	0.1578947368421053	0.0725941278126958	1932.0	1	93291		Hathi
3070	Nowakowski, Zygmunt,	0.15789473684210528	0.4202531044228484	1940.0	1	96690		Hathi
4288	Wethered, Charles,	0.15789473684210525	0.2945216803050385	1884.0	1	45989		Hathi
2072	Hudson, W. H. (William Henry),	0.15779667370951223	2.8717423791352417	1925.0	5	459111		Hathi
566	Brown, Beatrice Curtis.	0.15773353751914235	2.9659509322907733	1929.0	1	78476		Hathi
847	Collins, Dale.	0.15771812080536846	2.5344042021083806	1923.0	1	83822		Hathi
3651	Shakespeare, William,	0.1575456053067967	1.525795403510681	1897.0	1	704334		Hathi
3321	Pritchett, V. S. (Victor Sawdon),	0.1574776203988875	0.9706286420775535	1930.5	2	253786		Hathi
705	Carter, Mary Elizabeth.	0.1574608757702917	1.0472951996934943	1886.0	2	102827		Hathi
3036	Newbigging, Thomas.	0.15723270440251572	1.707617497975866	1901.0	1	33189		Hathi
3356	Quelch, H.	0.1571428571428575	1.709490540322247	1914.0	1	87573		Hathi
2659	Macnamara, T. J.	0.15714285714285703	0.8123085421693387	1913.0	1	30716		Hathi
2833	Meik, Vivian.	0.156976744186047	1.237917213291703	1931.0	1	49525		Hathi
1299	Ertz, Susan.	0.15694369671342803	3.137526613503062	1931.0	2	146173		Hathi
3254	Pim, Herbert Moore,	0.15686274509803932	0.5171322211364533	1914.0	1	70305		Hathi
769	Childers, Erskine,	0.156729131175469	1.581236992876353	1913.0	1	132321		Hathi
431	Blaker, Richard,	0.15668789808917163	1.4142839312918152	1932.0	1	197843		Hathi
2158	Jacob, Violet,	0.15667746562340945	0.7195513422130372	1905.5	2	158451		Hathi
3715	Sinnatamby,	0.1566265060240964	1.6693715172793233	1898.0	1	17722		Hathi
2071	Hudson, W. H.	0.15661141026700487	8.535853608565596	1907.142857142857	7	597491		Hathi
389	Biart, Lucien,	0.15659679408138066	2.3454441132542123	1893.0	1	123249		Hathi
3999	Teegan, Thomas Henry.	0.15641791044776027	5.263823522645716	1900.0	1	113423		Hathi
3062	Norman, Ménie Muriel.	0.1563981042654026	1.0087456379967563	1892.0	1	74557		Hathi
148	Arden, Clive,	0.15639097744360822	0.5477384285627434	1931.0	1	432749		Hathi
3434	Reynardson, C. T. S. Birch	0.15636363636363568	1.3079268758482916	1887.0	1	74944		Hathi
479	Boteler, John Harvey.	0.15628815628815498	2.0657031518603195	1883.0	1	141320		Hathi
3397	Rea, Lorna, Mrs.	0.15624999999999997	0.395030533550079	1931.0	1	28874		Hathi
4124	Two friends.	0.15624999999999997	0.9410206769841579	1899.0	1	36363		Hathi
3390	Rawnsley, Willingham Franklin,	0.1562499999999992	2.4063526636550696	1904.0	1	37920		Hathi
2357	Krymov, Vl. (Vladimir),	0.15596640845025453	3.4055783810786093	1936.0	3	317241		Hathi
1657	Graham, William.	0.1559139784946238	1.5901094599828842	1898.0	1	41694		Hathi
4113	Turgenev, Ivan Sergeevich,	0.1558906138266894	16.069050435890112	1904.6	20	1704183		Hathi
4332	Wilkinson, Nevile Rodwell,	0.15588235294117705	2.482128745997488	1922.0	1	48825		Hathi
3147	Pallander, Edwin.	0.15585800844693617	3.3936691892079516	1898.5	2	187475		Hathi
965	Crouch, Archer Philip.	0.15584415584415515	1.5609116831390668	1887.0	1	123083		Hathi
1052	Dàuli, Gian,	0.15579710144927578	1.1537877531446408	1937.0	1	170530		Hathi
440	Bloem, Walter,	0.1557409068370356	2.978497527130877	1922.0	2	209894		Hathi
10	(Colin Metcalfe), Enriquez, C. M.	0.15573770491803293	1.6908373572749749	1939.0	1	51437		Hathi
377	Berkeley, Anthony,	0.15573770491803288	0.4201729607524658	1932.0	1	103495		Hathi
92	Ainsworth, Eustace.	0.1557377049180328	1.0562240551134654	1918.0	1	41171		Hathi
2906	Monck, Frances Elizabeth Owen (Cole)	0.15561959654178578	2.476052708902575	1891.0	1	99905		Hathi
106	Alexander, Alexander,	0.15559440559440682	1.8679955775734585	1919.0	1	109146		Hathi
3880	Stewart, Charles D.	0.15555555555555564	0.3824200575465689	1905.0	1	83886		Hathi
2572	Lucas, Reginald Jaffray,	0.15555555555555536	0.872030833457663	1894.0	1	55181		Hathi
2578	Lyall, Archibald,	0.15552995391705055	3.9430920912493725	1933.0	1	78464		Hathi
2554	Lover, Samuel,	0.15550023194819818	6.97772224919141	1900.142857142857	7	979923		Hathi
3011	Nash, Thomas,	0.15544041450777218	1.272509031328567	1930.0	1	54061		Hathi
35	(Margaret Louisa), Woods, Margaret L.	0.15530303030303064	1.316154230098408	1923.0	1	142993		Hathi
2237	Jones, Henry Festing,	0.15517722674717713	8.635978995189937	1915.25	4	373407		Hathi
2256	Kamyshansky, Boris.	0.15514333895446883	2.174314961776487	1934.0	1	97212		Hathi
443	Blot,	0.15503875968992245	0.9998018589085415	1881.0	1	45990		Hathi
2517	Lintier, Paul,	0.15492957746478847	1.0252654320499652	1917.0	1	74051		Hathi
2638	Mackail, J. W.	0.15486983067585813	4.79837082634255	1897.0	2	111104		Hathi
180	Atherton, Gertrude Franklin Horn,	0.154862932765381	9.374171069240537	1904.4285714285713	7	608552		Hathi
3186	Pavlenko, Petr Andreevich,	0.1548387096774203	2.0491518208971216	1938.0	1	188731		Hathi
2847	Merriman, Henry Seton,	0.15479215429238666	17.952674678258653	1897.142857142857	14	1074282		Hathi
1774	Hales, A. G.	0.15452784922962795	5.625870028146032	1911.2	5	479954		Hathi
3749	Smith, Annie S. Swan,	0.15441176470588264	2.709441601281672	1919.0	1	35783		Hathi
1529	Garstin, Crosbie,	0.1540436456996135	3.808777946952681	1922.0	1	72902		Hathi
1321	Ėrenburg, Ilʹi͡a,	0.1538461538461547	1.5230561701017116	1929.0	1	139950		Hathi
4139	Van Wart, Irving.	0.15384615384615413	1.1549240197737634	1880.0	1	52158		Hathi
4455	[Hawker, Mary Elizabeth]	0.153846153846154	0.32826104051790655	1891.0	1	42348		Hathi
157	Armstrong, Alexander,	0.1538461538461539	0.804966619572041	1896.0	1	40295		Hathi
1890	Hayes, M. Horace	0.1538461538461538	1.1266065762097686	1893.0	1	135729		Hathi
1807	Hamilton, M.	0.15384615384615374	0.29682961087396664	1896.0	1	62443		Hathi
3604	Scarron,	0.15355805243445705	1.2382622890042294	1892.0	1	153715		Hathi
1578	Gilbert, Rosa M.	0.15347669661084362	2.2853262142091477	1897.0	2	202755		Hathi
213	Bailey, Florence M.	0.1534090909090911	1.1679409815405448	1905.0	1	53713		Hathi
3252	Pilkington, Lawrence,	0.15337423312883414	0.5118706761247228	1928.0	1	113505		Hathi
1296	Erckmann, Émile.	0.15331807780320317	3.384129483983821	1900.0	1	92056		Hathi
406	Birmingham, George A.,	0.1530276726240199	20.873931050664662	1916.3157894736842	19	1700672		Hathi
2286	Kennard, Coleridge, Sir, bart.,	0.15300546448087446	1.1216931637710592	1924.0	1	58152		Hathi
1631	Gooch, George Bernard.	0.15294117647058825	0.36043546129853166	1934.0	1	84058		Hathi
2549	Lorey, Eustache de.	0.1528776978417262	1.878423467327986	1910.0	1	105504		Hathi
2036	Hornby, Emily.	0.15279878971255617	1.9724030846606357	1907.0	1	119452		Hathi
4182	Voynich, E. L.	0.1527477929522328	1.8182234584138877	1906.3333333333333	3	280725		Hathi
1268	Elkington, E. Way (Ernest Way),	0.15245478036175755	1.9891942213481828	1906.0	1	69346		Hathi
553	Brooke, Henry,	0.15245355584847559	1.5096669266574239	1907.5	2	451222		Hathi
1377	Finley, Martha,	0.15242494226327843	2.1962141292862603	1890.0	1	70275		Hathi
3983	Taunay, Afonso de E.	0.1523809523809524	0.4955419825213845	1889.0	1	75526		Hathi
4387	Woodward, William Harrison,	0.15228426395938982	3.112435300061825	1929.0	1	90243		Hathi
960	Cronise, Florence M.	0.1521739130434783	0.23044349990835905	1903.0	1	71151		Hathi
3472	Roberts, E P.	0.1519756838905763	2.881941587869204	1902.0	1	81382		Hathi
2295	Kenyon, C. Fred	0.15196078431372537	0.8850287440846738	1919.0	1	82160		Hathi
1137	Diver, Maud,	0.1519555078235449	4.080630984906922	1917.6666666666667	3	451763		Hathi
3902	Straus, Ralph.	0.15189873417721556	0.7929684435477176	1909.0	1	106532		Hathi
533	Brightwen, Eliza,	0.1518987341772154	1.0965706638112278	1909.0	1	51358		Hathi
442	Bloomfield, Robert.	0.15189873417721522	1.6944781607900188	1880.0	1	16618		Hathi
757	Chernova-Kolbasina, Olʹga E.	0.15168539325842748	1.2804281632680479	1936.0	1	99102		Hathi
1559	Ghosh, Sarath Kumar,	0.1516526247569674	2.7443985397143966	1909.0	1	200404		Hathi
745	Charlton, Moyra.	0.1515151515151515	0.45394228982822193	1930.0	1	25912		Hathi
2178	James, Winifred Lewellin.	0.15151515151515144	0.40571718453466094	1913.0	1	28992		Hathi
3288	Potter, Margaret Horton,	0.1515111529883031	1.7284153013066887	1906.5	2	304431		Hathi
1246	Edwardes, Tickner,	0.15140845070422534	0.9873230079129728	1911.0	1	102529		Hathi
1316	Ewers, John Keith,	0.15107913669064765	0.4404574558099927	1933.0	1	112486		Hathi
1982	Hocking, Joseph,	0.15084555685384154	5.259599472363582	1904.6	5	615641		Hathi
561	Broster, D. K. (Dorothy Kathleen)	0.1508379888268155	0.3535023763707236	1931.0	1	180488		Hathi
3534	Ruffini, Giovanni,	0.15083798882681526	1.9454724690629022	1891.0	1	163978		Hathi
3610	Schultz, James Willard,	0.15082644628099243	1.1085742819997908	1907.0	1	155621		Hathi
2207	Jerome, Jerome K.	0.1506661455283322	8.925994547013838	1900.1666666666667	6	281785		Hathi
1843	Harris, Frank,	0.1505448589198638	6.131884884743699	1907.3333333333333	6	513709		Hathi
510	Brady, Cyrus Townsend,	0.15037593984962383	0.8614692248667911	1904.0	1	55030		Hathi
825	Clutterbuck, Walter J.	0.1501706484641636	1.5744856789893797	1890.0	1	66331		Hathi
1633	Goodwin, Clarissa Garland,	0.15015974440894586	3.6719885903012264	1922.0	1	91149		Hathi
1424	Forbes, Rosita.	0.15011547344110884	1.2953005626009468	1937.0	1	119153		Hathi
1771	Hainsselin, Montague Thomas,	0.15000000000000024	0.5832395004481872	1917.0	1	61114		Hathi
1487	Frost, Robert,	0.15	0.3302214084712855	1914.0	1	21588		Hathi
3996	Tańska-Hoffmanowa, Klementyna,	0.15	1.6669969313734938	1897.0	1	38488		Hathi
2770	Maturin, Edith (Money)	0.14999999999999955	1.2942417447539938	1909.0	1	104654		Hathi
2855	Metternich-Winneburg, Pauline Clementine Marie Walburga Sándor von Szlavnicza,	0.14985590778097937	2.5519430321962475	1921.0	1	48467		Hathi
