	author	spec_nongb_subcountry	weight	pub_date_avg	books	wordcount	ethnicity	corpus
920	Cowper, Frank,	0.6962616822429902	1.1401652955726778	1897.0	1	93522		Hathi
4360	Wilson, Richard.	0.696236559139785	2.3155247843571924	1916.0	1	80050		Hathi
3140	Ozaki, Yei Theodora.	0.6960784313725483	0.7009419878902102	1919.0	1	72508		Hathi
3151	Palmer, Vance,	0.6960542657787289	1.0685765737648976	1931.0	2	201526		Hathi
2410	Latto, William Duncan.	0.6956521739130436	0.23054066143612612	1894.0	1	99421		Hathi
1587	Gillham-Thomsett, Richard.	0.6956521739130435	2.3126408133025005	1884.0	1	49555		Hathi
3718	Sir, Besant, Walter,	0.6956521739130431	0.17585585430095071	1900.0	1	195506		Hathi
2796	Mayo, Isabella Fyvie,	0.695652173913043	0.88094484314134	1910.0	1	143100		Hathi
2327	Kipling, Rudyard,	0.6955040519726411	17.37048091283236	1909.9375	16	1251401		Hathi
3230	Philips, Austin.	0.6952380952380952	0.5228369222115347	1914.0	1	100067		Hathi
3704	Simpson, E. Blantyre	0.6951871657754001	1.4107063291379687	1914.0	1	66050		Hathi
639	Butler, Samuel,	0.6951549460942684	4.716425371246212	1907.6	10	1112144		Hathi
893	Copping, Arthur Edward,	0.6951219512195125	0.6897451043202918	1917.0	1	59237		Hathi
2321	Kingsford, A. R. (Alfred Reginald),	0.6951219512195121	1.3814257951996889	1930.0	1	59154		Hathi
3976	Tanton, Ernest Coveney.	0.6951219512195114	0.5520141419487575	1937.0	1	74017		Hathi
3865	Stern, G. B.	0.6950703399539462	1.783295253060313	1917.3333333333333	3	468992		Hathi
1025	Davidson, Gladys	0.6950354609929081	1.065672181942477	1922.0	1	65927		Hathi
663	Calthrop, Dion Clayton,	0.6948540824868099	1.0563252175038516	1922.5	2	91600		Hathi
1324	Fagan, Elisabeth.	0.6948051948051959	1.0303201841208032	1922.0	1	74476		Hathi
2827	Mears, A. Garland	0.694767441860465	2.3119247330609993	1895.0	1	74140		Hathi
4247	Watts-Dunton, Theodore,	0.6947366022104202	1.1641495031276636	1925.0	2	304117		Hathi
1688	Greene, Graham,	0.6944495069990609	4.722242066502969	1926.8333333333333	6	449586		Hathi
1247	Edwards, Annie,	0.6944479208370002	2.7271333889925864	1894.0	3	451850		Hathi
311	Baynes, Dorothy Julia	0.6944444444444481	1.5395091669844023	1936.0	1	139820		Hathi
3573	Salaman, Malcolm C.	0.6944444444444442	0.3208458117618232	1892.0	1	55908		Hathi
2150	Israëls, Jozef,	0.6943699731903493	2.9274659778137133	1900.0	1	63487		Hathi
2820	McNeile, H. C.	0.6941831300249082	1.1225216619391865	1917.5	2	137279		Hathi
1062	De Selincourt, Hugh,	0.6938775510204083	0.22126425064696584	1915.0	1	110345		Hathi
1543	Gautier, Théophile,	0.6937905335447009	4.499522352179693	1904.8	5	567530		Hathi
215	Bailey, Henry Christopher,	0.6937799043062203	2.3422939783976147	1908.0	1	133381		Hathi
3626	Seaman, Owen,	0.6936936936936933	1.3686801180138164	1902.0	1	40410		Hathi
3424	Renan, Ernest,	0.6936274509803914	2.084099877306849	1896.0	1	97546		Hathi
3713	Singmaster, Elsie,	0.6935483870967712	0.9103210864844663	1923.0	1	101809		Hathi
1816	Hansson, Laura (Mohr),	0.6934865900383143	2.1002470150490913	1896.0	1	61921		Hathi
656	Caine, Hall,	0.693372579299139	7.835328077876562	1897.5	8	1054729		Hathi
1474	Freeman, Lewis R.	0.6933333333333332	1.8153893499741702	1921.0	1	102927		Hathi
749	Charrière, Isabelle de,	0.693333333333333	0.9207735653909818	1925.0	1	81172		Hathi
2618	Macaulay, James.	0.6930693069306959	3.0772358590946487	1902.0	1	98125		Hathi
1472	Frederic, Harold,	0.6929435434042649	4.112964511470951	1895.25	4	365000		Hathi
905	Cost, March,	0.6929133858267701	0.3927553394960038	1935.0	1	161120		Hathi
699	Carrel, Frederic.	0.6926865210119767	1.1937564952347661	1896.5	2	283021		Hathi
3654	Sharp, Evelyn,	0.6925339320640406	1.1381854141650527	1911.0	3	223984		Hathi
1452	Francillon, R. E.	0.6924623273366566	3.354851130857704	1889.0	4	598687		Hathi
534	Brinig, Myron,	0.6924493554327809	1.4869913400531938	1930.0	1	181953		Hathi
1507	Gallon, Tom,	0.6923717246584614	0.6561566913599528	1899.5	2	175221		Hathi
1140	Dixie, Florence,	0.6923399756689703	0.8575689403731549	1889.5	2	139640		Hathi
4083	Tregarthen, John Coulson,	0.6923076923076926	0.2568827765569257	1912.0	1	50432		Hathi
1006	Dandurova, Aleksandra Ivanovna.	0.6923076923076925	0.2925804716324492	1934.0	1	221394		Hathi
4463	[Ridder, André de]	0.6923076923076924	0.39437175608276664	1917.0	1	32850		Hathi
3677	Shew, E. L.	0.6923076923076924	0.5017666132429176	1894.0	1	51638		Hathi
1894	Hayward, Jane Mary.	0.6923076923076923	0.13628639554081598	1895.0	1	47529		Hathi
4132	Vachell, Horace Annesley.	0.6923076923076923	0.6081768138261687	1908.0	1	95857		Hathi
1787	Hall, Henry Rushton.	0.6923076923076922	0.21192724010009634	1920.0	1	30565		Hathi
3340	Punshon, E. R.	0.6923076923076918	0.19621228284795217	1905.0	1	99039		Hathi
4252	Webb, Mary Gladys Meredith,	0.6922963092293648	1.4206358331193272	1929.5714285714287	7	682589		Hathi
1135	Disraeli, Benjamin,	0.6922578667328471	32.4174645299258	1903.8095238095239	21	3808027		Hathi
4124	Tytler, Sarah,	0.6921688786844442	8.658737602496728	1888.7777777777778	9	592544		Hathi
1713	Gribble, Francis Henry,	0.6920980926430504	2.191617723839734	1911.0	1	83439		Hathi
1626	Golovina, V. N.	0.6918555835432434	3.3221769619401713	1910.0	1	178631		Hathi
4053	Tilden, William A.	0.6915760869565132	3.5669895499577957	1918.0	1	102812		Hathi
3744	Smedley, Francis Edward	0.6914893617021267	0.18996168659096413	1904.0	1	246564		Hathi
1728	Grimmelshausen, Hans Jakob Christoph von,	0.6911522153144086	5.256086342094835	1915.0	4	751164		Hathi
1362	Feuillet, Octave,	0.6910569105691059	0.8588274728417327	1904.0	1	71362		Hathi
2516	Lintier, Paul,	0.690821256038646	1.3928592990355977	1917.0	1	74051		Hathi
2464	Lehmann, Rosamond,	0.6907284441989731	0.4488022445631725	1928.5	2	224245		Hathi
3896	Strang, Herbert.	0.6906413867377938	3.1910458467068628	1910.0	2	232280		Hathi
2903	Molesworth,	0.690535064391348	7.293708611874764	1891.6666666666667	15	960150		Hathi
853	Collins, Wilkie,	0.6905214518411588	6.450611334641054	1893.0	9	1024400		Hathi
3401	Reade, Alfred Arthur.	0.690476190476191	0.549551979149094	1884.0	1	38081		Hathi
4060	Tolstoy, Aleksey Nikolayevich, graf,	0.6904761904761904	0.47565717930714996	1940.0	1	43997		Hathi
521	Brennan, Frederick Hazlitt.	0.6904024767801855	1.2482634798705796	1928.0	1	128933		Hathi
2929	Moore, George,	0.690278334878572	20.008125499310104	1903.6	15	1765724		Hathi
1665	Grant, Colquhoun,	0.6902662034707677	6.007484283706883	1909.5	2	154203		Hathi
310	Bayly, George,	0.6901140684410637	3.347192728415274	1885.0	1	78302		Hathi
1378	Finnemore, John,	0.690089489423156	0.7303403027584943	1911.5	2	214234		Hathi
3498	Rodziewiczówna, Maria,	0.6900237568863311	1.6890504299741285	1900.6666666666667	3	247609		Hathi
2627	Macdonald, W. A.	0.6896551724137933	0.20651021586230517	1908.0	1	69972		Hathi
2457	Lefroy, Edward Cracroft,	0.6896551724137931	0.2684015235677548	1897.0	1	53837		Hathi
4106	Tucker, A. N. (Archibald Norman),	0.689655172413793	0.6603268667146746	1937.0	1	21883		Hathi
4093	Trevelyan, Marie.	0.6894736842105281	0.9099836949985186	1894.0	1	104037		Hathi
1463	Franzos, Karl Emil,	0.6894409937888201	0.9823788693775952	1890.0	1	81661		Hathi
3171	Parry, Edward Abbott,	0.6892452706466323	0.9390323517145632	1896.5	2	95283		Hathi
2853	Metternich-Winneburg, Pauline Clementine Marie Walburga (Sándor von Szlavnicza) fürstin von,	0.6892230576441093	3.342993134818294	1922.0	1	59471		Hathi
748	Charrière, Isabelle de,	0.6891891891891891	0.9076355986976389	1925.0	1	81249		Hathi
972	Cuming, Edward William Dirom,	0.6891891891891889	0.9579611083118431	1893.0	1	115471		Hathi
4281	Westbury, Hugh.	0.6891448954662184	3.051306941882648	1892.0	3	209350		Hathi
2814	McIver, G. M.	0.6888888888888891	0.5887129349902855	1894.0	1	76174		Hathi
1118	Dickie, John Low.	0.688888888888889	0.7236154310740154	1921.0	1	61973		Hathi
4198	Walker, Whimsical,	0.6888888888888888	2.073397184740093	1922.0	1	75700		Hathi
3458	Riley, W. (William),	0.6885587491934476	0.9499297116559776	1921.0	4	453694		Hathi
4365	Wingfield, Lewis,	0.688178697448536	1.8230559683633862	1884.0	3	368314		Hathi
303	Baum, Vicki,	0.6881092492880466	2.989553451308293	1937.0	3	461998		Hathi
2083	Hull, Eleanor,	0.6879795396419439	2.0774680780064974	1930.0	1	93780		Hathi
499	Boyd, Martin,	0.6878402903811247	2.281745318157875	1928.0	1	120324		Hathi
4329	Wilkinson, Charles Allix	0.6878306878306897	1.6711687274789686	1886.0	1	56352		Hathi
460	Boldrewood, Rolf,	0.6878148414995172	19.785086605251426	1895.9333333333334	15	2264463		Hathi
3320	Pritchett, V. S. (Victor Sawdon),	0.6875369257452717	0.9037871241593199	1930.5	2	253786		Hathi
1801	Hamer, Sarah Selina.	0.6875000000000002	0.36627100249580113	1895.0	1	65299		Hathi
1385	Fisher, Lala Richardson,	0.6875000000000001	1.011466218048437	1899.0	1	78820		Hathi
869	Concannon, Thomas,	0.6875	1.4790053637338596	1914.0	1	59294		Hathi
2294	Kenward, James,	0.6874999999999999	0.13530849848366902	1935.0	1	58920		Hathi
2651	Maclagan, Robert Craig,	0.6874999999999999	0.3332654765762804	1902.0	1	71766		Hathi
1124	Digges, West.	0.6874999999999996	0.23280410952424535	1888.0	1	68490		Hathi
2558	Lowndes, Marie Belloc,	0.6868601496402025	1.6224823451212553	1924.0	2	137065		Hathi
4427	Young, Francis Brett,	0.6866787720343873	11.222816834806652	1926.7857142857142	14	1982449		Hathi
4478	pseud. Oliver, Jane,	0.6866485013623984	0.9720679310627898	1939.0	1	188121		Hathi
823	Clouston, W. A.	0.686608641175153	4.283698832120684	1888.3333333333333	3	330323		Hathi
1648	Gowans, Adam L.	0.6865671641791045	0.3863747923664347	1912.0	1	86404		Hathi
1957	Higginson, Alexander Henry,	0.686567164179104	2.037368946639171	1939.0	1	16386		Hathi
3931	Sullivan, James Frank,	0.6865671641791036	0.4194906897155105	1900.0	1	79583		Hathi
3120	Orczy, Emmuska Orczy,	0.686534130120131	7.344055889645591	1910.8333333333333	6	692154		Hathi
2735	Martin, Catherine,	0.6865031962472172	2.539484456185052	1888.0	2	132316		Hathi
3593	Saunders, Marshall,	0.6864864864864867	0.9247653084694066	1903.0	1	99680		Hathi
3433	Reynardson, C. T. S. Birch	0.6864864864864861	1.22999314085491	1887.0	1	74944		Hathi
2263	Keable, Robert,	0.6864161275782333	6.669389336250702	1922.8333333333333	6	717084		Hathi
4345	Williamson, Henry,	0.6863728233424748	2.264941603747888	1930.2	5	445435		Hathi
4259	Weindel, Henri de.	0.6863636363636351	5.177234753184137	1914.0	1	84694		Hathi
784	Church, Alfred John,	0.6862736737061531	19.264932522765015	1890.3	10	762663		Hathi
1167	Douie, Marjorie.	0.6861313868613126	0.7501233558921937	1917.0	1	91003		Hathi
360	Benson, E. F. (Edward Frederic),	0.6860524824442472	2.5169102656601585	1925.3333333333333	6	557676		Hathi
3618	Scott, P. E. S.	0.686009183966263	4.7342224234422945	1916.0	7	721380		Hathi
4187	Wace,	0.6859734822051644	4.670010928602051	1937.0	1	152896		Hathi
898	Corner, Caroline.	0.6858407079646024	1.228694176983533	1908.0	1	91650		Hathi
2635	Mack, Louise,	0.6858142148750805	5.808193480264506	1913.6666666666667	3	290596		Hathi
3625	Seago, Edward,	0.6857847148020635	1.8497123235924202	1934.0	2	185056		Hathi
2741	Martineau, Harriet,	0.6857436395514412	1.9717442269314642	1899.6666666666667	3	632540		Hathi
2270	Keary, C. F.	0.6857198793430929	1.8471324589931197	1895.5	2	185362		Hathi
3010	Nash, Thomas,	0.6857142857142859	1.2903626716719192	1930.0	1	54061		Hathi
3386	Ratcliff, A. J. J. (Arthur James John),	0.6857142857142857	0.6728663403632142	1936.0	1	77755		Hathi
2538	Lombard, Louis,	0.6857142857142845	2.1873289976563313	1898.0	1	47838		Hathi
1177	Doyle, Lynn,	0.685642619819779	0.6575137653021516	1928.5	2	171019		Hathi
4199	Walker, William Sylvester,	0.6852312488341713	2.6257537267328326	1905.0	3	266538		Hathi
2445	Lean, Florence,	0.685174625758904	3.0037760257475314	1884.2	5	246179		Hathi
4278	West, Rebecca,	0.6851256825317695	2.7166122443146263	1932.3333333333333	3	216530		Hathi
3833	Stanley, Henry M.	0.6851106316070447	4.831913941430117	1891.0	2	235486		Hathi
2416	Lawler, O'Dermid W.	0.6849315068493159	0.7218346298669623	1910.0	1	100782		Hathi
1868	Harwood, John Berwick.	0.6849315068493141	0.8141360140030025	1886.0	1	44678		Hathi
4038	Thormanby.	0.6849100934816291	2.23601214268516	1902.6666666666667	3	237274		Hathi
926	"Coxon, Muriel (Hine) ""Mrs. Sidney Coxon."""	0.6847826086956521	0.4067358697598346	1912.0	1	112705		Hathi
2610	MacGill, Patrick,	0.6845250692077138	0.7939438514383826	1915.5	2	174704		Hathi
1838	Harland, Henry,	0.6843552037970416	8.51212798190746	1898.375	8	588446		Hathi
300	Battersea, Constance Flower,	0.6842105263157896	0.8681747288013403	1921.0	1	76333		Hathi
2110	Huth, Alfred Henry,	0.6842105263157894	0.8245131465596889	1894.0	1	68893		Hathi
1739	Growden, Oliver H.	0.6842105263157894	0.4509585046636394	1892.0	1	125961		Hathi
3854	Stephen, A. Condie.	0.6842105263157894	0.26230736361676027	1892.0	1	36092		Hathi
1109	Devi, Shovona.	0.6842105263157893	0.16633046431104595	1915.0	1	56918		Hathi
1431	Forrester,	0.6842105263157893	0.18964738316618815	1894.0	1	49920		Hathi
1396	Fitzgerald, G. Beresford	0.6838709677419355	1.8520959131474166	1889.0	1	41700		Hathi
4040	Thorndike, Arthur Russell,	0.6838235294117648	0.4552827979373511	1933.0	1	148842		Hathi
1060	De Morgan, William,	0.6837723127029114	1.9502266065992615	1909.5	4	1131203		Hathi
4178	Von Arnim, Elizabeth,	0.6836861276947179	2.982096797147759	1910.4285714285713	7	643657		Hathi
4466	[Woodward, William Arthur]	0.683673469387754	0.49701073268205237	1934.0	1	98249		Hathi
1400	Fitzpatrick, Benedict,	0.6836158192090399	1.779584285052191	1931.0	1	99118		Hathi
2025	Hood, Thomas,	0.6832747816179272	0.549080164791262	1889.0	2	164862		Hathi
3858	Stephens, James,	0.6832741715278643	0.9534548061367021	1912.0	2	114169		Hathi
4315	Whyte-Melville, G. J.	0.6832490211719918	15.78538971206349	1898.75	28	4278267		Hathi
2259	Katherine,	0.683168316831683	2.317124550498508	1900.0	1	65157		Hathi
1407	Flecker, James Elroy,	0.6831350414957137	2.1873240211215847	1912.3333333333333	3	171041		Hathi
2214	Jessopp, Augustus,	0.6830428277569125	0.9959459362450713	1894.5	2	46402		Hathi
1580	Gilbert, William,	0.6829268292682927	0.2688691449594714	1907.0	1	75982		Hathi
2882	Milman, Constance.	0.6829268292682926	0.6784860635108123	1892.0	1	30110		Hathi
1655	Graham, Harry,	0.6829268292682922	1.0748258732209484	1934.0	1	19007		Hathi
559	Brophy, John,	0.6827192392279402	2.18098387929638	1935.5	2	225047		Hathi
2130	Im, Pang,	0.6826923076923075	0.930817084877058	1913.0	1	55672		Hathi
4181	Voynich, E. L. (Ethel Lillian),	0.6826568265682655	1.101763469937304	1938.0	1	122560		Hathi
4205	Walmsley, Leo,	0.6825396825396826	0.2886656371449523	1935.0	1	108746		Hathi
3164	Parker, Gilbert,	0.6824918026414506	9.248534983989549	1915.0	7	884994		Hathi
1806	Hamilton, Harry,	0.6822660098522123	1.8323028389544331	1936.0	1	110407		Hathi
895	Corelli, Marie,	0.6821481695525601	6.404318631910043	1896.3636363636363	11	1093782		Hathi
1299	Ertz, Susan.	0.6820788769385389	2.6965320383270464	1931.0	2	146173		Hathi
2873	Milit͡syna, E.	0.6818181818181825	0.7279379775984092	1918.0	1	45177		Hathi
