	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
17	Christie, Agatha	166.6840418319866	2.0	1930.0	2	166406	White	Prominent
45	Jefferies, Richard	164.21196422213671	1.0	1882.0	1	137627	White	Prominent
37	Hartley, Leslie Poles	158.14540822092053	2.0	1925.0	2	78076	White	Prominent
80	Sinclair, May	150.50802847132974	2.0	1920.5	2	170662	White	Prominent
5	Barrie, J. M.	149.03400383216214	2.0	1897.0	2	100737	White	Prominent
32	Green, Henry	146.34370955392598	2.0	1932.5	2	156592	White	Prominent
100	du Maurier, Daphne	142.6163619862568	1.0	1938.0	1	192825	White	Prominent
50	Lehmann, Rosamond	128.8392428905438	4.0	1931.25	4	452758	White	Prominent
23	Douglas, Norman [George]	128.4893025221535	4.0	1916.25	4	349347	White	Prominent
78	Schreiner, Olive	126.24991286432402	1.0	1883.0	1	129109	White	Prominent
82	Somerville, Edith	125.50155368509941	1.0	1899.0	1	165735	White	Prominent
56	Mansfield, Katherine	114.55083670783402	6.0	1921.6666666666667	6	378856	White	Prominent
86	Walpole, Hugh	112.06863237624141	1.0	1911.0	1	77631	White	Prominent
14	Carroll, Lewis	98.88205116273652	1.0	1889.0	1	85961	White	Prominent
67	Potter, Beatrix	93.31259720062208	1.0	1902.0	1	3215	White	Prominent
28	Garnett, David	89.88602452090751	1.0	1922.0	1	27813	White	Prominent
30	Grahame, Kenneth	89.56115036322028	1.0	1908.0	1	70343	White	Prominent
99	de la Mare, Walter	89.45334069574844	1.0	1921.0	1	181100	White	Prominent
70	Powys, Theodore Francis	84.68369748714397	17.0	1928.5294117647059	17	1037683	White	Prominent
18	Compton-Burnett, Ivy	78.10120505014652	8.0	1930.0	8	777546	White	Prominent
64	Nesbit, Edith	69.60805311629898	1.0	1906.0	1	74704	White	Prominent
94	White, T. H.	61.14366022376747	1.0	1939.0	1	109578	White	Prominent
90	Webb, Mary	60.162466841767085	2.0	1920.5	2	228558	White	Prominent
2	Anstey, F.	59.20763270967966	1.0	1882.0	1	118228	White	Prominent
51	Lewis, C. S.	56.48711100380767	2.0	1935.5	2	147402	White	Prominent
60	Milne, A. A.	39.421073379512315	1.0	1928.0	1	35514	White	Prominent
53	MacDonald, George	37.14103192643103	1.0	1883.0	1	67311	White	Prominent
