	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
3300	Preedy, George,	348.17464823415986	1.0	1930.0	1	146191		Hathi
753	Chaves Nogales, Manuel,	348.08848337966674	1.0	1938.0	1	84174		Hathi
1723	Griffiths, Arthur,	347.98598152413405	4.0	1886.0	4	382477		Hathi
3420	Reid, T. Wemyss	347.7995495969509	1.0	1887.0	1	190052		Hathi
595	Buchan, John,	347.7881649901223	10.0	1922.1	10	1265192		Hathi
3604	Scarron,	347.3961552223262	1.0	1892.0	1	153715		Hathi
4391	Worboise, Emma Jane,	347.36394557823223	1.0	1888.0	1	235200		Hathi
3361	Quiller-Couch, Arthur,	347.30155939527583	16.0	1913.375	16	1565396		Hathi
2833	Meik, Vivian.	347.29934376577387	1.0	1931.0	1	49525		Hathi
2018	Holt-White, William Edward Bradden,	347.0143669560002	1.0	1910.0	1	106912		Hathi
1518	Gardiner, Frederic John	346.5851172273183	1.0	1908.0	1	63765		Hathi
2032	Hopford, Wim.	346.4451053131797	1.0	1919.0	1	32617		Hathi
268	Baron, Phillimore, Godfrey Walter Phillimore,	346.36511761779036	1.0	1930.0	1	102493		Hathi
3766	Smith, Stevie,	346.3471827284611	1.0	1938.0	1	74203		Hathi
1379	Firbank, Ronald,	346.20509315449186	9.0	1922.5555555555557	9	292348		Hathi
2508	Lillie, Arthur,	346.0877562380509	1.0	1890.0	1	41319		Hathi
3213	Pennypacker, Morton,	346.0671146933407	1.0	1899.0	1	44789		Hathi
3742	Smart, Hawley,	346.0537109493917	13.0	1887.6153846153845	13	1272626		Hathi
333	Belden, Jessie Perry Van Zile,	346.04423938119135	1.0	1898.0	1	14738		Hathi
3457	Ridge, W. Pett	345.9609367276673	10.0	1906.5	10	948129		Hathi
2003	Holland, W. A.	345.9282109805449	1.0	1898.0	1	56081		Hathi
4126	Tytler, Sarah,	345.701488798703	9.0	1888.7777777777778	9	592544		Hathi
2092	Hunt, Leigh,	345.6981100160169	2.0	1887.0	2	227362		Hathi
709	Casanova, Giacomo,	345.64809016906554	1.0	1892.0	1	159700		Hathi
176	Ashton-Wolfe, Harry,	345.2945159106307	1.0	1929.0	1	88620		Hathi
2336	Knight.	345.22144222994973	1.0	1910.0	1	77921		Hathi
4013	Thayer, William M.,	344.75480194188384	1.0	1920.0	1	113704		Hathi
